baseline_lambda_start_frac,baseline_lambda_block_cca,baseline_dimension,lambda_start_frac,lambda_block_cca,dimension,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
1.0,0.5,128,1.0,10.0,128,embedding_val_zeta,5,0;1;2;3;4,0.4510677682,0.3856608914,-0.0654068768,-0.1045975992,-0.02621615445,0.03919072235,-4.633714105,0.009779946118
1.0,0.5,128,1.0,10.0,128,mean_val_zeta,5,0;1;2;3;4,0.4929746389,0.1470285743,-0.3459460646,-0.3735708033,-0.3183213259,0.02762473873,-34.76956894,4.082844824e-06
1.0,0.5,128,1.0,10.0,128,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.2543978,0.0029762,-0.2514216,-0.2760737408,-0.2267694592,0.02465214084,-28.31633468,9.255519017e-06
1.0,0.5,128,1.0,10.0,128,checkpoint_regularization_lambda,5,0;1;2;3;4,0.5,10,9.5,9.5,9.5,0,inf,0
1.0,0.5,128,1.0,10.0,128,frozen_decoder_rmse_x,5,0;1;2;3;4,75.45834045,80.62470551,5.166365051,3.380093762,6.95263634,1.786271289,8.030207421,0.001305051565
1.0,0.5,128,1.0,10.0,128,frozen_decoder_rmse_y,5,0;1;2;3;4,81.87742615,85.25298157,3.37555542,2.166875276,4.584235564,1.208680144,7.753949104,0.001490648657
1.0,0.5,128,1.0,10.0,128,frozen_decoder_rmse_mean,5,0;1;2;3;4,78.73738251,82.97514496,4.237762451,3.541026483,4.93449842,0.6967359685,16.88719306,7.208358416e-05
1.0,0.5,128,1.0,10.0,128,frozen_decoder_r2_x,5,0;1;2;3;4,0.9107011437,0.8980656147,-0.01263552904,-0.01694906681,-0.008321991269,0.004313537772,-8.132965239,0.001243380481
1.0,0.5,128,1.0,10.0,128,frozen_decoder_r2_y,5,0;1;2;3;4,0.8735342145,0.8629017591,-0.01063245535,-0.01439311855,-0.006871792145,0.003760663204,-7.849793243,0.001422767084
1.0,0.5,128,1.0,10.0,128,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8921176672,0.880483675,-0.0116339922,-0.01370383987,-0.009564144522,0.002069847673,-15.60556417,9.845487741e-05
1.0,0.5,128,1.0,10.0,128,finetuned_decoder_rmse_x,5,0;1;2;3;4,70.01808472,69.83790894,-0.1801757812,-0.8518942925,0.49154273,0.6717185112,-0.7447288672,0.4978107632
