config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
lambda_block_cca=0.5,lambda_block_cca=10,mean_val_zeta,5,0.4929746389,0.1470285743,-0.3459460646,-0.3735708033,-0.3183213259,0.02762473873,-34.76956894,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,embedding_val_zeta,5,0.4510677682,0.3856608914,-0.0654068768,-0.1045975992,-0.02621615445,0.03919072235,-4.633714105,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,embedding_whole_val_regularization_raw,5,0.2543978,0.0029762,-0.2514216,-0.2760737408,-0.2267694592,0.02465214084,-28.31633468,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,frozen_decoder_r2_mean,5,0.8921176672,0.880483675,-0.0116339922,-0.01370383987,-0.009564144522,0.002069847673,-15.60556417,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,frozen_decoder_rmse_mean,5,78.73738251,82.97514496,4.237762451,3.541026483,4.93449842,0.6967359685,16.88719306,5,0,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,finetuned_decoder_r2_mean,5,0.908440721,0.909151721,0.0007109999657,-0.001150847651,0.002572847582,0.001861847617,1.060265275,4,1,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=10,finetuned_decoder_rmse_mean,5,72.57956543,72.31233215,-0.2672332764,-0.9719257375,0.4374591848,0.7046924611,-1.05288273,1,4,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,mean_val_zeta,5,0.4929746389,0.3057508767,-0.1872237623,-0.2293541805,-0.145093344,0.04213041824,-12.33827054,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,embedding_val_zeta,5,0.4510677682,0.4560344411,0.004966672924,-0.02249074027,0.03242408612,0.0274574132,0.5022211899,4,1,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,embedding_whole_val_regularization_raw,5,0.2543978,0.0322264,-0.2221714,-0.2485335341,-0.1958092659,0.02636213414,-23.39896659,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,frozen_decoder_r2_mean,5,0.8921176672,0.8903966069,-0.001721060276,-0.01365636058,0.01021424003,0.0119353003,-0.4003610516,3,2,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,frozen_decoder_rmse_mean,5,78.73738251,79.30671692,0.5693344116,-3.691269396,4.829938219,4.260603808,0.3710097938,2,3,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,finetuned_decoder_r2_mean,5,0.908440721,0.9116021752,0.003161454201,0.0009194500345,0.005403458367,0.002242004166,3.915070352,5,0,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=2,finetuned_decoder_rmse_mean,5,72.57956543,71.31014557,-1.269419861,-2.218430211,-0.3204095102,0.9490103506,-3.713842064,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,mean_val_zeta,5,0.4929746389,0.07630797625,-0.4166666627,-0.4355145364,-0.397818789,0.01884787374,-61.37838846,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,embedding_val_zeta,5,0.4510677682,0.3124912626,-0.1385765056,-0.1572365596,-0.1199164516,0.01866005397,-20.61891467,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,embedding_whole_val_regularization_raw,5,0.2543978,0.0026362,-0.2517616,-0.276095355,-0.227427845,0.02433375499,-28.72562259,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,frozen_decoder_r2_mean,5,0.8921176672,0.8476329088,-0.04448475838,-0.05175936727,-0.03721014949,0.007274608888,-16.9781622,0,5,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,frozen_decoder_rmse_mean,5,78.73738251,93.57944031,14.8420578,12.83833277,16.84578283,2.003725033,20.56577527,5,0,0,0;1;2;3;4
lambda_block_cca=0.5,lambda_block_cca=20,finetuned_decoder_r2_mean,5,0.908440721,0.9070356369,-0.001405084133,-0.00450584208,0.001695673813,0.003100757946,-1.258124314,1,4,0,0;1;2;3;4
