lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,0.5,128,embedding_val_zeta,5,0.4510677682,0.4398311262,0.4623044102,0.01123664197
1.0,0.5,128,mean_val_zeta,5,0.4929746389,0.4815883452,0.5043609327,0.01138629372
1.0,0.5,128,embedding_whole_val_regularization_raw,5,0.2543978,0.2301831983,0.2786124017,0.02421460173
1.0,0.5,128,checkpoint_regularization_lambda,5,0.5,0.5,0.5,0
1.0,0.5,128,frozen_decoder_rmse_x,5,75.45834045,73.94494229,76.97173861,1.51339816
1.0,0.5,128,frozen_decoder_rmse_y,5,81.87742615,80.52063143,83.23422086,1.356794716
1.0,0.5,128,frozen_decoder_rmse_mean,5,78.73738251,77.70317532,79.7715897,1.034207191
1.0,0.5,128,frozen_decoder_r2_x,5,0.9107011437,0.9071295927,0.9142726948,0.003571551014
1.0,0.5,128,frozen_decoder_r2_y,5,0.8735342145,0.8674506144,0.8796178146,0.006083600057
1.0,0.5,128,frozen_decoder_r2_mean,5,0.8921176672,0.8889510388,0.8952842956,0.003166628366
1.0,0.5,128,finetuned_decoder_rmse_x,5,70.01808472,67.9294743,72.10669513,2.088610415
1.0,0.5,128,finetuned_decoder_rmse_y,5,75.04316864,74.15869962,75.92763767,0.884469025
1.0,0.5,128,finetuned_decoder_rmse_mean,5,72.57956543,71.45125804,73.70787282,1.128307389
1.0,0.5,128,finetuned_decoder_r2_x,5,0.9230852604,0.9182124592,0.9279580616,0.004872801168
1.0,0.5,128,finetuned_decoder_r2_y,5,0.8937961817,0.8904887698,0.8971035936,0.003307411912
1.0,0.5,128,finetuned_decoder_r2_mean,5,0.908440721,0.905618093,0.911263349,0.002822627986
1.0,10.0,128,embedding_val_zeta,5,0.3856608914,0.3561301479,0.4151916349,0.02953074351
1.0,10.0,128,mean_val_zeta,5,0.1470285743,0.1295892308,0.1644679179,0.01743934351
1.0,10.0,128,embedding_whole_val_regularization_raw,5,0.0029762,0.002386872204,0.003565527796,0.0005893277959
1.0,10.0,128,checkpoint_regularization_lambda,5,10,10,10,0
1.0,10.0,128,frozen_decoder_rmse_x,5,80.62470551,78.30915425,82.94025676,2.315551259
1.0,10.0,128,frozen_decoder_rmse_y,5,85.25298157,84.26549126,86.24047188,0.9874903086
1.0,10.0,128,frozen_decoder_rmse_mean,5,82.97514496,81.50424476,84.44604516,1.470900202
1.0,10.0,128,frozen_decoder_r2_x,5,0.8980656147,0.8934964458,0.9026347836,0.004569168915
1.0,10.0,128,frozen_decoder_r2_y,5,0.8629017591,0.8570710759,0.8687324424,0.005830683235
1.0,10.0,128,frozen_decoder_r2_mean,5,0.880483675,0.8756678214,0.8852995286,0.004815853618
1.0,10.0,128,finetuned_decoder_rmse_x,5,69.83790894,68.06825611,71.60756177,1.769652831
1.0,10.0,128,finetuned_decoder_rmse_y,5,74.69197235,73.26544176,76.11850295,1.426530596
1.0,10.0,128,finetuned_decoder_rmse_mean,5,72.31233215,71.30928682,73.31537749,1.003045337
1.0,10.0,128,finetuned_decoder_r2_x,5,0.9234927893,0.9193696848,0.9276158938,0.004123104518
1.0,10.0,128,finetuned_decoder_r2_y,5,0.8948106527,0.8922182306,0.8974030749,0.00259242212
1.0,10.0,128,finetuned_decoder_r2_mean,5,0.909151721,0.9071333044,0.9111701376,0.002018416613
1.0,2.0,128,embedding_val_zeta,5,0.4560344411,0.4330231059,0.4790457764,0.02301133527
1.0,2.0,128,mean_val_zeta,5,0.3057508767,0.2625778838,0.3489238695,0.04317299285
1.0,2.0,128,embedding_whole_val_regularization_raw,5,0.0322264,0.02857236706,0.03588043294,0.003654032939
1.0,2.0,128,checkpoint_regularization_lambda,5,2,2,2,0
1.0,2.0,128,frozen_decoder_rmse_x,5,76.11070251,70.16990178,82.05150324,5.94080073
1.0,2.0,128,frozen_decoder_rmse_y,5,82.37160187,77.93034504,86.8128587,4.441256828
1.0,2.0,128,frozen_decoder_rmse_mean,5,79.30671692,74.1497768,84.46365704,5.156940122
1.0,2.0,128,frozen_decoder_r2_x,5,0.9089486837,0.8953141438,0.9225832237,0.01363453993
1.0,2.0,128,frozen_decoder_r2_y,5,0.871844542,0.8574030139,0.8862860701,0.01444152809
1.0,2.0,128,frozen_decoder_r2_mean,5,0.8903966069,0.8764587546,0.9043344593,0.01393785234
1.0,2.0,128,finetuned_decoder_rmse_x,5,68.73200073,65.9931474,71.47085406,2.73885333
1.0,2.0,128,finetuned_decoder_rmse_y,5,73.7884613,72.44623172,75.13069089,1.342229582
1.0,2.0,128,finetuned_decoder_rmse_mean,5,71.31014557,69.44843056,73.17186057,1.861715005
1.0,2.0,128,finetuned_decoder_r2_x,5,0.9258839846,0.9203582336,0.9314097355,0.005525750924
1.0,2.0,128,finetuned_decoder_r2_y,5,0.8973203897,0.8936609054,0.9009798741,0.00365948437
1.0,2.0,128,finetuned_decoder_r2_mean,5,0.9116021752,0.9075712839,0.9156330666,0.004030891348
1.0,20.0,128,embedding_val_zeta,5,0.3124912626,0.2972126227,0.3277699025,0.0152786399
1.0,20.0,128,mean_val_zeta,5,0.07630797625,0.06804159338,0.08457435911,0.008266382866
1.0,20.0,128,embedding_whole_val_regularization_raw,5,0.0026362,0.002388618924,0.002883781076,0.000247581076
1.0,20.0,128,checkpoint_regularization_lambda,5,20,20,20,0
1.0,20.0,128,frozen_decoder_rmse_x,5,89.81634674,88.28953587,91.34315762,1.526810875
1.0,20.0,128,frozen_decoder_rmse_y,5,97.18669128,94.16876656,100.204616,3.017924726
1.0,20.0,128,frozen_decoder_rmse_mean,5,93.57944031,91.54105706,95.61782355,2.038383244
1.0,20.0,128,frozen_decoder_r2_x,5,0.8734847307,0.868791819,0.8781776424,0.004692911672
1.0,20.0,128,frozen_decoder_r2_y,5,0.8217811108,0.8096619893,0.8339002323,0.01211912151
1.0,20.0,128,frozen_decoder_r2_mean,5,0.8476329088,0.8393291444,0.8559366732,0.008303764373
1.0,20.0,128,finetuned_decoder_rmse_x,5,70.74753418,68.8914453,72.60362306,1.856088884
1.0,20.0,128,finetuned_decoder_rmse_y,5,75.46699982,74.23445918,76.69954046,1.232540642
1.0,20.0,128,finetuned_decoder_rmse_mean,5,73.14963379,71.89562962,74.40363796,1.25400417
