config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",mean_val_zeta,5,0.1699718297,0.2716234058,0.1016515762,0.08000197995,0.1233011724,0.02164959621,13.03627183,5,0,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",embedding_val_zeta,5,0.4215861281,0.4680859056,0.0464997775,0.0001509028324,0.09284865217,0.04634887467,2.785484665,4,1,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",embedding_whole_val_regularization_raw,5,0.0043064,0.004732,0.0004256,-0.002362795942,0.003213995942,0.002788395942,0.4237759133,3,2,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",frozen_decoder_r2_mean,5,0.8888941765,0.8977631927,0.008869016171,0.0015743327,0.01616369964,0.00729468347,3.375655247,5,0,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",frozen_decoder_rmse_mean,5,80.00848846,76.73706207,-3.271426392,-5.970927102,-0.5719256808,2.699500711,-3.364672495,0,5,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",finetuned_decoder_r2_mean,5,0.9114963055,0.9133017778,0.001805472374,-0.0003870361241,0.003997980872,0.002192508498,2.286328623,4,1,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.05,lambda_block_cca=20",finetuned_decoder_rmse_mean,5,71.38239288,70.65007477,-0.7323181152,-1.645849635,0.1812134044,0.9135315196,-2.22569337,1,4,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.1,lambda_block_cca=10",mean_val_zeta,5,0.1699718297,0.3229138553,0.1529420256,0.1108027597,0.1950812916,0.04213926596,10.07694673,5,0,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.1,lambda_block_cca=10",embedding_val_zeta,5,0.4215861281,0.4683750431,0.046788915,-0.009976329257,0.1035541593,0.05676524426,2.288492822,4,1,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.1,lambda_block_cca=10",embedding_whole_val_regularization_raw,5,0.0043064,0.015403,0.0110966,0.006712521825,0.01548067817,0.004384078175,7.027498034,5,0,0,0;1;2;3;4
"lambda_start_frac=0.02,lambda_block_cca=50","lambda_start_frac=0.1,lambda_block_cca=10",frozen_decoder_r2_mean,5,0.8888941765,0.8984918118,0.009597635269,0.0005538207454,0.01864144979,0.009043814524,2.946467709,5,0,0,0;1;2;3;4
