lambda_start_frac,lambda_block_cca,seed,dimension,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
1.0,1.0,0,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104259_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,80,best_val_zeta,1.000000,1.0,0.4647115270296733,0.112576,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104259_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.50880432128906,80.21664428710938,77.41629028320312,0.9157192707061768,0.8800330758094788,0.8978761434555054,hidden,512,69.51110076904297,74.89291381835938,72.25289916992188,0.92664635181427,0.8954283595085144,0.9110373258590698
1.0,1.0,1,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104626_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,79,best_val_zeta,1.000000,1.0,0.4628902276357015,0.099187,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104626_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.9576644897461,78.38672637939453,77.1823959350586,0.9091676473617554,0.882978618144989,0.8960731029510498,hidden,512,70.37630462646484,74.20127868652344,72.31488800048828,0.9220259189605713,0.8951416611671448,0.9085837602615356
1.0,1.0,2,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104951_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,68,best_val_zeta,1.000000,1.0,0.46937696801291573,0.102492,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_104951_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.78614044189453,80.2994613647461,77.11216735839844,0.9139615893363953,0.8761934638023376,0.8950775265693665,hidden,512,67.98238372802734,73.29077911376953,70.68724822998047,0.926964282989502,0.8968623876571655,0.9119133353233337
1.0,1.0,3,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_105319_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,63,best_val_zeta,1.000000,1.0,0.45379386014408535,0.100055,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_105319_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.05194854736328,79.4271240234375,77.2712173461914,0.9102851748466492,0.8838012218475342,0.8970432281494141,hidden,512,69.91024780273438,74.0647201538086,72.01820373535156,0.922156572341919,0.8989615440368652,0.9105590581893921
1.0,1.0,4,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_105645_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,49,best_val_zeta,1.000000,1.0,0.4614308045970069,0.094923,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_105645_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.4848861694336,79.850830078125,77.69935607910156,0.9102262258529663,0.8789814710617065,0.8946038484573364,hidden,512,69.97787475585938,73.81587982177734,71.92328643798828,0.922847330570221,0.896582841873169,0.9097150564193726
0.2,2.0,0,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_110011_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,72,best_val_zeta,0.581208,1.162416,0.43825392921765643,0.163524,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_110011_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,76.24632263183594,83.37092590332031,79.88909149169922,0.911742627620697,0.8704128861427307,0.8910777568817139,hidden,512,69.31913757324219,77.3489990234375,73.44473266601562,0.9270509481430054,0.8884571194648743,0.9077540636062622
0.2,2.0,1,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_110630_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,80,best_val_zeta,0.624161,1.248322,0.44779543413056266,0.152856,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_110630_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.4767837524414,80.54509735107422,79.02656555175781,0.9054980874061584,0.8764455318450928,0.8909717798233032,hidden,512,71.68550109863281,74.75379180908203,73.23654174804688,0.9190978407859802,0.8935742974281311,0.9063360691070557
0.2,2.0,2,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_111235_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2,59,best_val_zeta,0.511409,1.022818,0.46148550179269576,0.163197,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_111235_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.25448608398438,80.45947265625,77.41976165771484,0.912865936756134,0.8756995797157288,0.8942827582359314,hidden,512,69.0153579711914,74.46793365478516,71.79427337646484,0.9247279167175293,0.8935227394104004,0.9091253280639648
0.2,2.0,3,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_111830_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3,73,best_val_zeta,0.586577,1.173154,0.49529074960284764,0.159700,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_111830_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.0712661743164,82.82062530517578,79.04177856445312,0.9102389812469482,0.8736599683761597,0.891949474811554,hidden,512,69.31507110595703,75.92097473144531,72.69379425048828,0.9234763383865356,0.8938334584236145,0.9086549282073975
0.2,2.0,4,128,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_112431_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4,79,best_val_zeta,0.618792,1.237584,0.4473392532931434,0.151600,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/cca_warmup_finetune_sweep/logs/lsf0p2_lcca2p0_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_112431_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,76.15289306640625,82.5664291381836,79.42515563964844,0.9086303114891052,0.8706101775169373,0.8896202445030212,hidden,512,69.7283935546875,75.09146118164062,72.46044158935547,0.9233964681625366,0.8929777145385742,0.9081870913505554
