lambda_start_frac,lambda_block_cca,dimension,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.02,50.0,128,embedding_val_zeta,5,0.4215861281,0.37884774,0.4643245162,0.04273838809
0.02,50.0,128,mean_val_zeta,5,0.1699718297,0.1462822066,0.1936614527,0.02368962302
0.02,50.0,128,embedding_whole_val_regularization_raw,5,0.0043064,0.003026790216,0.005586009784,0.001279609784
0.02,50.0,128,checkpoint_regularization_lambda,5,28.42686,19.89279778,36.96092222,8.534062218
0.02,50.0,128,frozen_decoder_rmse_x,5,77.80992889,74.77188251,80.84797528,3.038046388
0.02,50.0,128,frozen_decoder_rmse_y,5,82.14294434,79.08512031,85.20076836,3.057824027
0.02,50.0,128,frozen_decoder_rmse_mean,5,80.00848846,77.0616916,82.95528533,2.946796868
0.02,50.0,128,frozen_decoder_r2_x,5,0.905061996,0.8996282231,0.9104957689,0.005433772884
0.02,50.0,128,frozen_decoder_r2_y,5,0.872726357,0.8643730002,0.8810797137,0.008353356747
0.02,50.0,128,frozen_decoder_r2_mean,5,0.8888941765,0.8823112938,0.8954770591,0.006582882634
0.02,50.0,128,finetuned_decoder_rmse_x,5,69.06235352,67.78370826,70.34099877,1.278645254
0.02,50.0,128,finetuned_decoder_rmse_y,5,73.62428589,72.5609364,74.68763538,1.063349491
0.02,50.0,128,finetuned_decoder_rmse_mean,5,71.38239288,70.43994252,72.32484325,0.9424503666
0.02,50.0,128,finetuned_decoder_r2_x,5,0.925201726,0.9225388886,0.9278645633,0.002662837319
0.02,50.0,128,finetuned_decoder_r2_y,5,0.897790885,0.8954986446,0.9000831254,0.002292240398
0.02,50.0,128,finetuned_decoder_r2_mean,5,0.9114963055,0.9097289459,0.9132636651,0.001767359612
0.05,20.0,128,embedding_val_zeta,5,0.4680859056,0.4367045737,0.4994672375,0.03138133188
0.05,20.0,128,mean_val_zeta,5,0.2716234058,0.248018504,0.2952283076,0.02360490178
0.05,20.0,128,embedding_whole_val_regularization_raw,5,0.004732,0.002209929012,0.007254070988,0.002522070988
0.05,20.0,128,checkpoint_regularization_lambda,5,16.608052,12.90394123,20.31216277,3.704110772
0.05,20.0,128,frozen_decoder_rmse_x,5,74.4398407,73.63935442,75.24032698,0.800486277
0.05,20.0,128,frozen_decoder_rmse_y,5,78.95983887,77.30389794,80.6157798,1.655940932
0.05,20.0,128,frozen_decoder_rmse_mean,5,76.73706207,75.88399343,77.59013071,0.853068638
0.05,20.0,128,frozen_decoder_r2_x,5,0.9130867958,0.9098621188,0.9163114728,0.003224676987
0.05,20.0,128,frozen_decoder_r2_y,5,0.8824396014,0.8787703531,0.8861088498,0.003669248362
0.05,20.0,128,frozen_decoder_r2_mean,5,0.8977631927,0.8960338325,0.8994925528,0.001729360165
0.05,20.0,128,finetuned_decoder_rmse_x,5,68.3602066,67.33097422,69.38943899,1.029232381
0.05,20.0,128,finetuned_decoder_rmse_y,5,72.85887756,71.52700015,74.19075498,1.331877418
0.05,20.0,128,finetuned_decoder_rmse_mean,5,70.65007477,70.05149043,71.24865911,0.5985843394
0.05,20.0,128,finetuned_decoder_r2_x,5,0.9266930103,0.9233016753,0.9300843454,0.003391335077
0.05,20.0,128,finetuned_decoder_r2_y,5,0.8999105334,0.8975845538,0.9022365131,0.002325979659
0.05,20.0,128,finetuned_decoder_r2_mean,5,0.9133017778,0.9123644523,0.9142391033,0.0009373254994
0.1,10.0,128,embedding_val_zeta,5,0.4683750431,0.4513577433,0.4853923428,0.01701729976
0.1,10.0,128,mean_val_zeta,5,0.3229138553,0.2923163008,0.3535114098,0.03059755452
0.1,10.0,128,embedding_whole_val_regularization_raw,5,0.015403,0.0117465486,0.0190594514,0.003656451396
0.1,10.0,128,checkpoint_regularization_lambda,5,6.991946,5.377790313,8.606101687,1.614155687
0.1,10.0,128,frozen_decoder_rmse_x,5,73.82760162,73.06156563,74.59363762,0.7660359971
0.1,10.0,128,frozen_decoder_rmse_y,5,78.94694824,77.32074747,80.57314901,1.626200768
0.1,10.0,128,frozen_decoder_rmse_mean,5,76.43406372,75.62251299,77.24561446,0.8115507343
0.1,10.0,128,frozen_decoder_r2_x,5,0.9145135164,0.9115254854,0.9175015475,0.002988031049
0.1,10.0,128,frozen_decoder_r2_y,5,0.8824701071,0.878364245,0.8865759692,0.004105862098
0.1,10.0,128,frozen_decoder_r2_mean,5,0.8984918118,0.895725785,0.9012578385,0.002766026708
0.1,10.0,128,finetuned_decoder_rmse_x,5,68.7025589,67.01046954,70.39464826,1.692089364
0.1,10.0,128,finetuned_decoder_rmse_y,5,73.19939575,72.13241557,74.26637593,1.066980181
0.1,10.0,128,finetuned_decoder_rmse_mean,5,70.9900589,69.86592137,72.11419643,1.124137528
0.1,10.0,128,finetuned_decoder_r2_x,5,0.9259362817,0.9212808842,0.9305916792,0.00465539747
0.1,10.0,128,finetuned_decoder_r2_y,5,0.8989760399,0.8976384329,0.9003136469,0.001337606983
