config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=256,mean_val_zeta,5,0.3229138553,0.2900084793,-0.03290537596,-0.07549949996,0.009688748038,0.042594124,-2.14489609,1,4,0,0;1;2;3;4
dimension=128,dimension=256,embedding_val_zeta,5,0.4683750431,0.4533131593,-0.01506188379,-0.04704883695,0.01692506936,0.03198695315,-1.307360952,3,2,0,0;1;2;3;4
dimension=128,dimension=256,embedding_whole_val_regularization_raw,5,0.015403,0.018973,0.00357,-0.001566774916,0.008706774916,0.005136774916,1.929597693,4,1,0,0;1;2;3;4
dimension=128,dimension=256,frozen_decoder_r2_mean,5,0.8984918118,0.8967314005,-0.001760411263,-0.01059454543,0.007073722907,0.00883413417,-0.5532726965,3,2,0,0;1;2;3;4
dimension=128,dimension=256,frozen_decoder_rmse_mean,5,76.43406372,77.07216187,0.6380981445,-2.712505368,3.988701657,3.350603513,0.5287538389,1,4,0,0;1;2;3;4
dimension=128,dimension=256,finetuned_decoder_r2_mean,5,0.9124561548,0.9134255767,0.0009694218636,-0.003435454454,0.005374298181,0.004404876318,0.6110379484,4,1,0,0;1;2;3;4
dimension=128,dimension=256,finetuned_decoder_rmse_mean,5,70.9900589,70.52880859,-0.4612503052,-2.265313633,1.342813023,1.804063328,-0.7098620832,1,4,0,0;1;2;3;4
dimension=128,dimension=32,mean_val_zeta,5,0.3229138553,0.3394174039,0.01650354862,-0.01926273373,0.05226983097,0.03576628235,1.281128308,3,2,0,0;1;2;3;4
dimension=128,dimension=32,embedding_val_zeta,5,0.4683750431,0.4417427149,-0.02663232817,-0.07032747208,0.01706281575,0.04369514392,-1.692252057,0,5,0,0;1;2;3;4
dimension=128,dimension=32,embedding_whole_val_regularization_raw,5,0.015403,0.0076754,-0.0077276,-0.01350674382,-0.001948456184,0.005779143816,-3.712532146,0,5,0,0;1;2;3;4
dimension=128,dimension=32,frozen_decoder_r2_mean,5,0.8984918118,0.8814297676,-0.01706204414,-0.02297231716,-0.01115177113,0.005910273014,-8.01516763,0,5,0,0;1;2;3;4
dimension=128,dimension=32,frozen_decoder_rmse_mean,5,76.43406372,82.66648865,6.232424927,4.2246808,8.240169054,2.007744127,8.618620992,5,0,0,0;1;2;3;4
dimension=128,dimension=32,finetuned_decoder_r2_mean,5,0.9124561548,0.9052085638,-0.007247591019,-0.01122455639,-0.003270625645,0.003976965374,-5.059772142,0,5,0,0;1;2;3;4
dimension=128,dimension=32,finetuned_decoder_rmse_mean,5,70.9900589,73.86422272,2.874163818,1.301594437,4.4467332,1.572569382,5.074471217,5,0,0,0;1;2;3;4
dimension=128,dimension=64,mean_val_zeta,5,0.3229138553,0.3554592669,0.0325454116,-0.01588966141,0.08098048461,0.04843507301,1.86560158,4,1,0,0;1;2;3;4
dimension=128,dimension=64,embedding_val_zeta,5,0.4683750431,0.4908451868,0.02247014377,-0.009569865219,0.05451015276,0.03204000899,1.947163021,5,0,0,0;1;2;3;4
dimension=128,dimension=64,embedding_whole_val_regularization_raw,5,0.015403,0.010012,-0.005391,-0.01154813602,0.0007661360234,0.006157136023,-2.430970423,1,4,0,0;1;2;3;4
dimension=128,dimension=64,frozen_decoder_r2_mean,5,0.8984918118,0.8907823801,-0.007709431648,-0.01425560577,-0.00116325753,0.006546174118,-3.269820414,0,5,0,0;1;2;3;4
dimension=128,dimension=64,frozen_decoder_rmse_mean,5,76.43406372,79.31570435,2.881640625,0.3764460623,5.386835188,2.505194563,3.193650955,5,0,0,0;1;2;3;4
dimension=128,dimension=64,finetuned_decoder_r2_mean,5,0.9124561548,0.9089540482,-0.003502106667,-0.00729290379,0.0002886904572,0.003790797124,-2.565003242,1,4,0,0;1;2;3;4
dimension=128,dimension=64,finetuned_decoder_rmse_mean,5,70.9900589,72.38790894,1.397850037,-0.2008760897,2.996576163,1.598726126,2.427591461,4,1,0,0;1;2;3;4
dimension=256,dimension=32,mean_val_zeta,5,0.2900084793,0.3394174039,0.04940892458,0.03253822803,0.06627962113,0.01687069655,8.131327975,5,0,0,0;1;2;3;4
dimension=256,dimension=32,embedding_val_zeta,5,0.4533131593,0.4417427149,-0.01157044437,-0.04438193353,0.02124104478,0.03281148916,-0.979068749,1,4,0,0;1;2;3;4
dimension=256,dimension=32,embedding_whole_val_regularization_raw,5,0.018973,0.0076754,-0.0112976,-0.0165521792,-0.006043020803,0.005254579197,-5.96949157,0,5,0,0;1;2;3;4
dimension=256,dimension=32,frozen_decoder_r2_mean,5,0.8967314005,0.8814297676,-0.01530163288,-0.0263037511,-0.004299514661,0.01100211822,-3.861451301,0,5,0,0;1;2;3;4
dimension=256,dimension=32,frozen_decoder_rmse_mean,5,77.07216187,82.66648865,5.594326782,1.632953169,9.555700395,3.961373613,3.92094832,5,0,0,0;1;2;3;4
dimension=256,dimension=32,finetuned_decoder_r2_mean,5,0.9134255767,0.9052085638,-0.008217012882,-0.01221978238,-0.004214243388,0.004002769494,-5.699575064,0,5,0,0;1;2;3;4
dimension=256,dimension=32,finetuned_decoder_rmse_mean,5,70.52880859,73.86422272,3.335414124,1.790288873,4.880539374,1.545125251,5.993426237,5,0,0,0;1;2;3;4
dimension=256,dimension=64,mean_val_zeta,5,0.2900084793,0.3554592669,0.06545078756,0.02381986033,0.1070817148,0.04163092723,4.365036545,5,0,0,0;1;2;3;4
