dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
128,0.1,10.0,embedding_val_zeta,5,0.4683750431,0.4513577433,0.4853923428,0.01701729976
128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.015403,0.0117465486,0.0190594514,0.003656451396
128,0.1,10.0,checkpoint_regularization_lambda,5,6.991946,5.377790313,8.606101687,1.614155687
128,0.1,10.0,frozen_decoder_rmse_x,5,73.82760162,73.06156563,74.59363762,0.7660359971
128,0.1,10.0,frozen_decoder_rmse_y,5,78.94694824,77.32074747,80.57314901,1.626200768
128,0.1,10.0,frozen_decoder_rmse_mean,5,76.43406372,75.62251299,77.24561446,0.8115507343
128,0.1,10.0,frozen_decoder_r2_x,5,0.9145135164,0.9115254854,0.9175015475,0.002988031049
128,0.1,10.0,frozen_decoder_r2_y,5,0.8824701071,0.878364245,0.8865759692,0.004105862098
128,0.1,10.0,frozen_decoder_r2_mean,5,0.8984918118,0.895725785,0.9012578385,0.002766026708
128,0.1,10.0,finetuned_decoder_rmse_x,5,68.7025589,67.01046954,70.39464826,1.692089364
128,0.1,10.0,finetuned_decoder_rmse_y,5,73.19939575,72.13241557,74.26637593,1.066980181
128,0.1,10.0,finetuned_decoder_rmse_mean,5,70.9900589,69.86592137,72.11419643,1.124137528
128,0.1,10.0,finetuned_decoder_r2_x,5,0.9259362817,0.9212808842,0.9305916792,0.00465539747
128,0.1,10.0,finetuned_decoder_r2_y,5,0.8989760399,0.8976384329,0.9003136469,0.001337606983
128,0.1,10.0,finetuned_decoder_r2_mean,5,0.9124561548,0.9099090212,0.9150032884,0.002547133588
256,0.1,10.0,embedding_val_zeta,5,0.4533131593,0.4350136304,0.4716126882,0.01829952892
256,0.1,10.0,embedding_whole_val_regularization_raw,5,0.018973,0.01550897319,0.02243702681,0.003464026815
256,0.1,10.0,checkpoint_regularization_lambda,5,7.016108,5.868095471,8.164120529,1.148012529
256,0.1,10.0,frozen_decoder_rmse_x,5,74.20560913,70.44241945,77.96879881,3.763189681
256,0.1,10.0,frozen_decoder_rmse_y,5,79.82443695,77.18154901,82.46732489,2.642887938
256,0.1,10.0,frozen_decoder_rmse_mean,5,77.07216187,74.06170013,80.0826236,3.010461731
256,0.1,10.0,frozen_decoder_r2_x,5,0.9136362195,0.906813671,0.920458768,0.006822548496
256,0.1,10.0,frozen_decoder_r2_y,5,0.8798265457,0.8730894998,0.8865635916,0.006737045931
256,0.1,10.0,frozen_decoder_r2_mean,5,0.8967314005,0.8902246084,0.9032381926,0.006506792129
256,0.1,10.0,finetuned_decoder_rmse_x,5,67.42498779,66.27520728,68.57476831,1.149780517
256,0.1,10.0,finetuned_decoder_rmse_y,5,73.49667511,71.30062038,75.69272984,2.196054728
256,0.1,10.0,finetuned_decoder_rmse_mean,5,70.52880859,68.92365805,72.13395913,1.605150539
256,0.1,10.0,finetuned_decoder_r2_x,5,0.9287195086,0.927225657,0.9302133603,0.001493851644
256,0.1,10.0,finetuned_decoder_r2_y,5,0.8981316566,0.8931501946,0.9031131187,0.004981462091
256,0.1,10.0,finetuned_decoder_r2_mean,5,0.9134255767,0.9105634905,0.9162876629,0.00286208619
