source_condition,model,embedder_init,feature_layer,metric,n,mean,ci95_low,ci95_high,ci95_half_width
,finetuned_mlp,pretrained,hidden,mse_x,1,4607.165527,,,
,finetuned_mlp,pretrained,hidden,mse_y,1,5100.098145,,,
,finetuned_mlp,pretrained,hidden,rmse_x,1,67.87610626,,,
,finetuned_mlp,pretrained,hidden,rmse_y,1,71.4149704,,,
,finetuned_mlp,pretrained,hidden,rmse_mean,1,69.66861725,,,
,finetuned_mlp,pretrained,hidden,r2_x,1,0.9289384484,,,
,finetuned_mlp,pretrained,hidden,r2_y,1,0.9031095505,,,
,finetuned_mlp,pretrained,hidden,r2_mean,1,0.9160239697,,,
,finetuned_mlp,pretrained,hidden,corr_x,1,0.9644553271,,,
,finetuned_mlp,pretrained,hidden,corr_y,1,0.9507278384,,,
,finetuned_mlp,pretrained,hidden,best_val_mse_z,1,0.08348207341,,,
,finetuned_mlp,random,hidden,mse_x,1,5781.783203,,,
,finetuned_mlp,random,hidden,mse_y,1,6379.890625,,,
,finetuned_mlp,random,hidden,rmse_x,1,76.03804016,,,
,finetuned_mlp,random,hidden,rmse_y,1,79.87421417,,,
,finetuned_mlp,random,hidden,rmse_mean,1,77.98082733,,,
,finetuned_mlp,random,hidden,r2_x,1,0.910820961,,,
,finetuned_mlp,random,hidden,r2_y,1,0.878796339,,,
,finetuned_mlp,random,hidden,r2_mean,1,0.89480865,,,
,finetuned_mlp,random,hidden,corr_x,1,0.9544827417,,,
,finetuned_mlp,random,hidden,corr_y,1,0.9374532297,,,
,finetuned_mlp,random,hidden,best_val_mse_z,1,0.1045825432,,,
