dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
128,0.1,10.0,embedding_val_zeta,5,0.4663476653,0.4393585922,0.4933367383,0.02698907306
128,0.1,10.0,mean_val_zeta,5,0.3196860373,0.3016416744,0.3377304002,0.01804436287
128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0132182,0.009285228217,0.01715117178,0.003932971783
128,0.1,10.0,checkpoint_regularization_lambda,5,7.910066,5.940267408,9.879864592,1.969798592
128,0.1,10.0,frozen_decoder_rmse_x,5,74.49741211,73.63833083,75.35649339,0.8590812832
128,0.1,10.0,frozen_decoder_rmse_y,5,78.24697266,77.44432743,79.04961788,0.8026452262
128,0.1,10.0,frozen_decoder_rmse_mean,5,76.39624329,75.6348152,77.15767138,0.7614280909
128,0.1,10.0,frozen_decoder_r2_x,5,0.914392221,0.9124124223,0.9163720197,0.001979798711
128,0.1,10.0,frozen_decoder_r2_y,5,0.8836781383,0.8812857303,0.8860705463,0.002392407998
128,0.1,10.0,frozen_decoder_r2_mean,5,0.8990351915,0.8970250212,0.9010453619,0.00201017036
128,0.1,10.0,finetuned_decoder_rmse_x,5,68.91706085,68.11515968,69.71896202,0.8019011719
128,0.1,10.0,finetuned_decoder_rmse_y,5,71.8552124,71.08977355,72.62065126,0.7654388547
128,0.1,10.0,finetuned_decoder_rmse_mean,5,70.40253143,69.67170427,71.1333586,0.7308271674
128,0.1,10.0,finetuned_decoder_r2_x,5,0.9267369866,0.9250376945,0.9284362788,0.001699292181
128,0.1,10.0,finetuned_decoder_r2_y,5,0.901905489,0.8998108943,0.9040000836,0.002094594637
128,0.1,10.0,finetuned_decoder_r2_mean,5,0.9143212438,0.9125475711,0.9160949164,0.001773672614
