baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
128,0.1,10.0,256,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4672007832,0.450374149,-0.01682663427,-0.05270209221,0.01904882366,0.03587545794,-1.30223359,0.2627583624
128,0.1,10.0,256,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.3245419502,0.2947935939,-0.02974835632,-0.06878099862,0.009284285981,0.0390326423,-2.116041175,0.1017949843
128,0.1,10.0,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.013998,0.016205,0.002207,-0.0008725179659,0.005286517966,0.003079517966,1.98979659,0.1174779811
128,0.1,10.0,256,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.451008,8.731542,1.280534,-0.006977383903,2.568045384,1.287511384,2.761398773,0.05077670631
128,0.1,10.0,256,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,73.69447632,74.62383728,0.9293609619,-4.144074823,6.002796747,5.073435785,0.5085941368,0.637804886
128,0.1,10.0,256,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,78.89742737,79.61886292,0.7214355469,-2.374801435,3.817672529,3.096236982,0.646922766,0.5529326353
128,0.1,10.0,256,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,76.34406433,77.17085876,0.8267944336,-3.022437892,4.676026759,3.849232325,0.5963654994,0.5830414583
128,0.1,10.0,256,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.914819777,0.9126204371,-0.002199339867,-0.01407569847,0.009677018737,0.0118763586,-0.5141598205,0.6342418393
128,0.1,10.0,256,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8826262236,0.8804319024,-0.002194321156,-0.01154007729,0.007151434975,0.00934575613,-0.6518907777,0.5500325328
128,0.1,10.0,256,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8987229943,0.8965261817,-0.00219681263,-0.01225947541,0.007865850151,0.01006266278,-0.6061347583,0.5771396933
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.5473465,68.23694305,-0.3104034424,-3.704831689,3.084024804,3.394428247,-0.2538919829,0.8120956901
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,73.06969452,73.31564789,0.2459533691,-1.735711727,2.227618465,1.981665096,0.3445970912,0.7477527639
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,70.84730682,70.8253418,-0.02196502686,-2.610144611,2.566214557,2.588179584,-0.02356277427,0.9823299631
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9262846112,0.9269815564,0.0006969451904,-0.006542318685,0.007936209066,0.007239263875,0.2672965229,0.8024567016
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.89933182,0.8986277223,-0.0007040977478,-0.006212161924,0.004803966428,0.005508064176,-0.3549139376,0.7405764776
128,0.1,10.0,256,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.9128082156,0.9128046393,-3.576278687e-06,-0.006198459036,0.006191306479,0.006194882758,-0.0016028296,0.9987978784
128,0.1,10.0,32,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4672007832,0.4404796236,-0.02672115962,-0.07144065951,0.01799834028,0.04471949989,-1.659004081,0.1724536807
128,0.1,10.0,32,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.3245419502,0.3398562968,0.01531434656,-0.02000512732,0.05063382044,0.03531947388,1.203852659,0.2950146386
128,0.1,10.0,32,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.013998,0.0069786,-0.0070194,-0.0134375395,-0.0006012604966,0.006418139503,-3.036546457,0.03853239489
