config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=256,mean_val_zeta,5,0.3245419502,0.2947935939,-0.02974835632,-0.06878099862,0.009284285981,0.0390326423,-2.116041175,1,4,0,0;1;2;3;4
dimension=128,dimension=256,embedding_val_zeta,5,0.4672007832,0.450374149,-0.01682663427,-0.05270209221,0.01904882366,0.03587545794,-1.30223359,2,3,0,0;1;2;3;4
dimension=128,dimension=256,embedding_whole_val_regularization_raw,5,0.013998,0.016205,0.002207,-0.0008725179659,0.005286517966,0.003079517966,1.98979659,4,1,0,0;1;2;3;4
dimension=128,dimension=256,frozen_decoder_r2_mean,5,0.8987229943,0.8965261817,-0.00219681263,-0.01225947541,0.007865850151,0.01006266278,-0.6061347583,4,1,0,0;1;2;3;4
dimension=128,dimension=256,frozen_decoder_rmse_mean,5,76.34406433,77.17085876,0.8267944336,-3.022437892,4.676026759,3.849232325,0.5963654994,1,4,0,0;1;2;3;4
dimension=128,dimension=256,finetuned_decoder_r2_mean,5,0.9128082156,0.9128046393,-3.576278687e-06,-0.006198459036,0.006191306479,0.006194882758,-0.0016028296,4,1,0,0;1;2;3;4
dimension=128,dimension=256,finetuned_decoder_rmse_mean,5,70.84730682,70.8253418,-0.02196502686,-2.610144611,2.566214557,2.588179584,-0.02356277427,1,4,0,0;1;2;3;4
dimension=128,dimension=32,mean_val_zeta,5,0.3245419502,0.3398562968,0.01531434656,-0.02000512732,0.05063382044,0.03531947388,1.203852659,3,2,0,0;1;2;3;4
dimension=128,dimension=32,embedding_val_zeta,5,0.4672007832,0.4404796236,-0.02672115962,-0.07144065951,0.01799834028,0.04471949989,-1.659004081,1,4,0,0;1;2;3;4
dimension=128,dimension=32,embedding_whole_val_regularization_raw,5,0.013998,0.0069786,-0.0070194,-0.0134375395,-0.0006012604966,0.006418139503,-3.036546457,0,5,0,0;1;2;3;4
dimension=128,dimension=32,frozen_decoder_r2_mean,5,0.8987229943,0.8817330122,-0.01698998213,-0.02280469507,-0.01117526919,0.00581471294,-8.112481769,0,5,0,0;1;2;3;4
dimension=128,dimension=32,frozen_decoder_rmse_mean,5,76.34406433,82.56383972,6.219775391,4.26120833,8.178342451,1.95856706,8.817091479,5,0,0,0;1;2;3;4
dimension=128,dimension=32,finetuned_decoder_r2_mean,5,0.9128082156,0.9051752806,-0.007632935047,-0.01080780743,-0.004458062665,0.003174872382,-6.675047876,0,5,0,0;1;2;3;4
dimension=128,dimension=32,finetuned_decoder_rmse_mean,5,70.84730682,73.87935791,3.032051086,1.801997645,4.262104528,1.230053442,6.843868008,5,0,0,0;1;2;3;4
dimension=128,dimension=64,mean_val_zeta,5,0.3245419502,0.3613257825,0.0367838323,-0.01525514965,0.08882281425,0.05203898195,1.962534379,4,1,0,0;1;2;3;4
dimension=128,dimension=64,embedding_val_zeta,5,0.4672007832,0.4866351902,0.01943440702,-0.01073012832,0.04959894236,0.03016453534,1.78880807,4,1,0,0;1;2;3;4
dimension=128,dimension=64,embedding_whole_val_regularization_raw,5,0.013998,0.0067872,-0.0072108,-0.01169526257,-0.002726337435,0.004484462565,-4.464390119,0,5,0,0;1;2;3;4
dimension=128,dimension=64,frozen_decoder_r2_mean,5,0.8987229943,0.8912806988,-0.007442295551,-0.01485036956,-3.422153832e-05,0.007408074013,-2.789270871,0,5,0,0;1;2;3;4
dimension=128,dimension=64,frozen_decoder_rmse_mean,5,76.34406433,79.12347412,2.77940979,-0.05083775161,5.609657332,2.830247542,2.726573769,5,0,0,0;1;2;3;4
dimension=128,dimension=64,finetuned_decoder_r2_mean,5,0.9128082156,0.9092445493,-0.003563666344,-0.007307707287,0.0001803745992,0.003744040943,-2.642685838,1,4,0,0;1;2;3;4
dimension=128,dimension=64,finetuned_decoder_rmse_mean,5,70.84730682,72.26536407,1.418057251,-0.1224916258,2.958606128,1.540548877,2.555685297,4,1,0,0;1;2;3;4
dimension=256,dimension=32,mean_val_zeta,5,0.2947935939,0.3398562968,0.04506270288,0.02994740931,0.06017799645,0.01511529357,8.277319937,5,0,0,0;1;2;3;4
dimension=256,dimension=32,embedding_val_zeta,5,0.450374149,0.4404796236,-0.009894525343,-0.04440189731,0.02461284663,0.03450737197,-0.7961083354,1,4,0,0;1;2;3;4
dimension=256,dimension=32,embedding_whole_val_regularization_raw,5,0.016205,0.0069786,-0.0092264,-0.01442467105,-0.004028128954,0.005198271046,-4.927906392,0,5,0,0;1;2;3;4
dimension=256,dimension=32,frozen_decoder_r2_mean,5,0.8965261817,0.8817330122,-0.0147931695,-0.02803823983,-0.001548099163,0.01324507034,-3.100959225,1,4,0,0;1;2;3;4
dimension=256,dimension=32,frozen_decoder_rmse_mean,5,77.17085876,82.56383972,5.392980957,0.5677828941,10.21817902,4.825198063,3.103150458,4,1,0,0;1;2;3;4
dimension=256,dimension=32,finetuned_decoder_r2_mean,5,0.9128046393,0.9051752806,-0.007629358768,-0.01393647818,-0.001322239361,0.006307119408,-3.358505593,1,4,0,0;1;2;3;4
dimension=256,dimension=32,finetuned_decoder_rmse_mean,5,70.8253418,73.87935791,3.054016113,0.5221669769,5.58586525,2.531849136,3.349057401,4,1,0,0;1;2;3;4
dimension=256,dimension=64,mean_val_zeta,5,0.2947935939,0.3613257825,0.06653218862,0.01820863352,0.1148557437,0.0483235551,3.822627889,5,0,0,0;1;2;3;4
dimension=256,dimension=64,embedding_val_zeta,5,0.450374149,0.4866351902,0.0362610413,0.005164178376,0.06735790422,0.03109686292,3.237522411,4,1,0,0;1;2;3;4
dimension=256,dimension=64,embedding_whole_val_regularization_raw,5,0.016205,0.0067872,-0.0094178,-0.01247859499,-0.006357005008,0.003060794992,-8.542880127,0,5,0,0;1;2;3;4
dimension=256,dimension=64,frozen_decoder_r2_mean,5,0.8965261817,0.8912806988,-0.005245482922,-0.01505867883,0.004567712989,0.009813195911,-1.484103193,1,4,0,0;1;2;3;4
dimension=256,dimension=64,frozen_decoder_rmse_mean,5,77.17085876,79.12347412,1.952615356,-1.64817362,5.553404333,3.600788976,1.505594853,4,1,0,0;1;2;3;4
dimension=256,dimension=64,finetuned_decoder_r2_mean,5,0.9128046393,0.9092445493,-0.003560090065,-0.009970096233,0.002849916103,0.006410006168,-1.54202576,1,4,0,0;1;2;3;4
dimension=256,dimension=64,finetuned_decoder_rmse_mean,5,70.8253418,72.26536407,1.440022278,-1.187851357,4.067895913,2.627873635,1.521436477,4,1,0,0;1;2;3;4
