dimension,seed,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,mean_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
32,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221303_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,71,best_val_mean_plane_zeta,0.522819,5.228190000000001,0.4485583073563046,0.3465867043,0.002504,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221303_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.45662689208984,83.0367660522461,81.2672348022461,0.9041541218757629,0.8714495897293091,0.8878018856048584,hidden,512,71.27548217773438,76.87733459472656,74.13043975830078,0.9228752851486206,0.8898133039474487,0.9063442945480347
32,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221612_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,26,best_val_mean_plane_zeta,0.251007,2.51007,0.4437132610215081,0.336877346,0.009973,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221612_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,84.01486206054688,85.0400161743164,84.52982330322266,0.8888755440711975,0.8622705340385437,0.8755730390548706,hidden,512,73.85912322998047,77.25180053710938,75.575439453125,0.9141172766685486,0.8863427042961121,0.9002299904823303
32,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221923_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,37,best_val_mean_plane_zeta,0.317450,3.1745,0.4487889077928331,0.3209376633,0.005990,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_221923_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.9798355102539,86.04730224609375,83.06986999511719,0.8989110589027405,0.8578349351882935,0.8783730268478394,hidden,512,70.56058502197266,75.74749755859375,73.20089721679688,0.9213195443153381,0.8898321390151978,0.9055758714675903
32,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222232_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,38,best_val_mean_plane_zeta,0.323490,3.2349,0.39504507515165543,0.3361181617,0.007891,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222232_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.45899200439453,83.5073013305664,81.02328491210938,0.9019549489021301,0.871556282043457,0.8867555856704712,hidden,512,70.64958190917969,75.43714141845703,73.0834732055664,0.9205014109611511,0.8951823115348816,0.9078418612480164
32,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222539_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,36,best_val_mean_plane_zeta,0.311409,3.11409,0.4662925667232937,0.3587616086,0.008535,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d32_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222539_d32_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,81.41960144042969,84.40986633300781,82.92898559570312,0.8955550789833069,0.8647680282592773,0.8801615238189697,hidden,512,71.12371826171875,75.61897277832031,73.40653991699219,0.9203000068664551,0.8914688229560852,0.9058843851089478
64,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222848_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,85,best_val_mean_plane_zeta,0.607383,6.07383,0.4804578522841136,0.3423911631,0.006788,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_222848_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,79.21009826660156,82.56846618652344,80.90746307373047,0.9047479629516602,0.8728954792022705,0.8888217210769653,hidden,512,69.8202896118164,76.12452697753906,73.04139709472656,0.9259923696517944,0.8919606804847717,0.9089765548706055
64,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_223202_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,106,best_val_mean_plane_zeta,0.734228,7.34228,0.5083716809749603,0.3692599833,0.004789,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_223202_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.35610961914062,80.29448699951172,78.839599609375,0.905792236328125,0.8772132396697998,0.8915027379989624,hidden,512,71.7917251586914,73.90674591064453,72.85781860351562,0.9188578724861145,0.895972490310669,0.9074151515960693
64,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_223515_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,98,best_val_mean_plane_zeta,0.685906,6.85906,0.49112969305780196,0.405883193,0.007397,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_223515_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.29301452636719,79.40350341796875,76.4101791381836,0.915107786655426,0.8789408802986145,0.8970243334770203,hidden,512,68.22351837158203,73.89328002929688,71.11581420898438,0.9264452457427979,0.8951597213745117,0.9108024835586548
64,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_224150_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,109,best_val_mean_plane_zeta,0.752349,7.523490000000001,0.4861505693859524,0.3594354391,0.005337,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_224150_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.7125473022461,80.93082427978516,77.4066162109375,0.9134587645530701,0.8793598413467407,0.896409273147583,hidden,512,67.55066680908203,73.9098129272461,70.80253601074219,0.9273225665092468,0.8993837237358093,0.9133531451225281
64,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_224749_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,78,best_val_mean_plane_zeta,0.565101,5.651009999999999,0.4670661555396186,0.3296591341,0.009625,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/dim_train_finetune_sweep_mean_plane_zeta/logs/d64_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260730_224749_d64_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,80.43376159667969,83.64054107666016,82.05351257324219,0.8980690240859985,0.8672218322753906,0.8826454281806946,hidden,512,71.4589614868164,75.50215911865234,73.5092544555664,0.919546902179718,0.8918038606643677,0.9056754112243652
