config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=16,best_val_zeta,5,0.4689213283,0.4177196642,-0.05120166408,-0.08635731085,-0.01604601731,0.03515564677,-4.043692057,0,5,0,0;1;2;3;4
dimension=128,dimension=16,mean_val_zeta,5,0.5179907679,0.3837741554,-0.1342166126,-0.2218822177,-0.04655100744,0.08766560512,-4.250755544,0,5,0,0;1;2;3;4
dimension=128,dimension=16,best_val_s,5,0.8413408346,0.5769555913,-0.2643852433,-0.3920299688,-0.1367405177,0.1276447256,-5.750735969,0,5,0,0;1;2;3;4
dimension=128,dimension=16,best_val_c_plus,5,1.795446184,1.389047265,-0.4063989189,-0.73319655,-0.0796012878,0.3267976311,-3.452730931,0,5,0,0;1;2;3;4
dimension=128,dimension=16,regularization_whole_batch_total_raw,5,0.1614258,0.0055648,-0.155861,-0.1839937481,-0.1277282519,0.02813274805,-15.38205616,0,5,0,0;1;2;3;4
dimension=128,dimension=256,best_val_zeta,5,0.4689213283,0.4607758674,-0.008145460818,-0.02968778519,0.01339686356,0.02154232437,-1.049813587,1,4,0,0;1;2;3;4
dimension=128,dimension=256,mean_val_zeta,5,0.5179907679,0.5062118173,-0.01177895066,-0.03484466174,0.01128676042,0.02306571108,-1.417845294,1,4,0,0;1;2;3;4
dimension=128,dimension=256,best_val_s,5,0.8413408346,0.8434886018,0.002147767279,-0.004214764859,0.008510299417,0.006362532138,0.9372303069,2,3,0,0;1;2;3;4
dimension=128,dimension=256,best_val_c_plus,5,1.795446184,1.831209381,0.03576319748,-0.04641953623,0.1179459312,0.0821827337,1.20821674,4,1,0,0;1;2;3;4
dimension=128,dimension=256,regularization_whole_batch_total_raw,5,0.1614258,0.1928742,0.0314484,0.003590537365,0.05930626263,0.02785786263,3.134294881,5,0,0,0;1;2;3;4
dimension=128,dimension=32,best_val_zeta,5,0.4689213283,0.4618989812,-0.007022347053,-0.04010449739,0.02605980329,0.03308215034,-0.5893559186,2,3,0,0;1;2;3;4
dimension=128,dimension=32,mean_val_zeta,5,0.5179907679,0.3755454361,-0.1424453318,-0.1622466655,-0.1226439981,0.01980133365,-19.97298016,0,5,0,0;1;2;3;4
dimension=128,dimension=32,best_val_s,5,0.8413408346,0.5160427901,-0.3252980444,-0.3736151267,-0.2769809622,0.04831708224,-18.69260562,0,5,0,0;1;2;3;4
dimension=128,dimension=32,best_val_c_plus,5,1.795446184,1.127473161,-0.667973023,-0.854765722,-0.481180324,0.186792699,-9.928602348,0,5,0,0;1;2;3;4
dimension=128,dimension=32,regularization_whole_batch_total_raw,5,0.1614258,0.0156804,-0.1457454,-0.1783318022,-0.1131589978,0.03258640224,-12.41788214,0,5,0,0;1;2;3;4
dimension=128,dimension=512,best_val_zeta,5,0.4689213283,0.4620149003,-0.00690642794,-0.02930069277,0.01548783689,0.02239426483,-0.8562602163,2,3,0,0;1;2;3;4
dimension=128,dimension=512,mean_val_zeta,5,0.5179907679,0.5102752686,-0.00771549938,-0.02964618822,0.01421518946,0.02193068884,-0.9767892217,2,3,0,0;1;2;3;4
dimension=128,dimension=512,best_val_s,5,0.8413408346,0.841709182,0.0003683474329,-0.005545077511,0.006281772376,0.005913424944,0.1729448563,3,2,0,0;1;2;3;4
