dimension,seed,run_dir,best_epoch,checkpoint_selection,best_val_zeta,best_val_s,best_val_c_plus,best_val_loss,validation_batches,regularization_train_log_equiv,regularization_whole_batch_log_equiv,regularization_total_scaled,regularization_whole_batch_total_scaled,train_log
32,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_142440_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,17,best_val_zeta,0.3562457528379228,0.13772552046510908,0.38686322172482807,-0.11642942163679335,9,0.021296,0.018508,0.021296,0.018508,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed0.log
32,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_142631_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,83,best_val_zeta,0.3512583275636037,0.20312046507994333,0.5783330069647895,-0.16701582902007633,9,0.036105,0.032574,0.036105,0.032574,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed1.log
32,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_142831_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,50,best_val_zeta,0.3599925637245178,0.19367436899079216,0.5379719734191895,-0.1623056580622991,9,0.031369,0.027448,0.031369,0.027448,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed2.log
32,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143016_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,57,best_val_zeta,0.3362419605255127,0.21071818470954895,0.6266267034742568,-0.17917455070548588,9,0.031544,0.028369,0.031544,0.028369,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed3.log
32,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143201_d32_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,29,best_val_zeta,0.34956780076026917,0.13029827343093026,0.37301727798249984,-0.11639815900060865,9,0.013900,0.011335,0.013900,0.011335,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d32_seed4.log
64,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143340_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,34,best_val_zeta,0.3269163833724128,0.1275598332285881,0.39033861292733085,-0.09911122586992052,9,0.028449,0.025945,0.028449,0.025945,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed0.log
64,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143456_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,47,best_val_zeta,0.34361786643664044,0.14550192322995928,0.4235777391327752,-0.11107510162724389,9,0.034427,0.031746,0.034427,0.031746,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed1.log
64,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143651_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,64,best_val_zeta,0.32639215721024406,0.15996420052316454,0.4900815420680576,-0.12073092410961787,9,0.039233,0.036647,0.039233,0.036647,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed2.log
64,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_143851_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,75,best_val_zeta,0.3294987115595076,0.16882186300224727,0.512238535616133,-0.1277397887574302,9,0.041082,0.038216,0.041082,0.038216,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed3.log
64,4,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_144020_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,75,best_val_zeta,0.3568652802043491,0.1678963369793362,0.47041044301456875,-0.1291421800851822,9,0.038754,0.035845,0.038754,0.035845,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d64_seed4.log
128,0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_144133_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,58,best_val_zeta,0.33234672082795036,0.13327123721440634,0.4012518955601586,-0.09886178705427381,9,0.034409,0.031901,0.034409,0.031901,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed0.log
128,1,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_144339_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,63,best_val_zeta,0.3281206124358707,0.12767498029602897,0.38922367493311566,-0.0925655538837115,9,0.035109,0.032753,0.035109,0.032753,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed1.log
128,2,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_144521_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,42,best_val_zeta,0.3207242753770616,0.10742202318376964,0.33507383863131207,-0.07943381783035067,9,0.027988,0.025796,0.027988,0.025796,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed2.log
128,3,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260721_144723_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,92,best_val_zeta,0.33356985449790955,0.15242911875247955,0.4569425582885742,-0.10933785802788204,9,0.043091,0.040470,0.043091,0.040470,/home/omo26/Non-Rev-Owen/mcmaze/embedding_dim_seed_sweep/logs/d128_seed3.log
