embedding_dim,seed,run_name,output_dir,model,embedder_init,feature_layer,feature_dim,mse_x,mse_y,rmse_x,rmse_y,rmse_mean,r2_x,r2_y,r2_mean,corr_x,corr_y,best_val_mse_z
32,4,20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim32_seed4_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5084.29931640625,5829.025390625,71.30427551269531,76.34805297851562,73.87032318115234,0.9215790629386902,0.8892615437507629,0.9054203033447266,0.9602806430543953,0.9435982220318211,0.09402931812736723
32,4,20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim32_seed4_100ms_hidden,frozen_mlp,pretrained,hidden,256,5797.62646484375,6739.6572265625,76.14214324951172,82.09541320800781,79.17569732666016,0.910576581954956,0.8719615936279297,0.8912690877914429,0.9542799475809165,0.9340161845357147,0.10804809629917145
32,4,20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim32_seed4_100ms,finetuned_mlp,pretrained,output,32,4858.80859375,5625.8291015625,69.70515441894531,75.00552368164062,72.40480041503906,0.925057053565979,0.8931218385696411,0.9090894460678101,0.9618038079358885,0.9451825686146343,0.0903616597255071
32,4,20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093518_d32_h256_dep2_bs64_ep200_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim32_seed4_100ms,frozen_mlp,pretrained,output,32,6198.91162109375,7176.8623046875,78.73316955566406,84.71636199951172,81.78038024902344,0.9043871164321899,0.8636556267738342,0.8840214014053345,0.951174837530831,0.9294967369657934,0.11525183916091919
64,0,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed0_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5141.26171875,5838.1083984375,71.70259094238281,76.40751647949219,74.093505859375,0.9207004904747009,0.8890889883041382,0.9048947095870972,0.9600147577395227,0.943032207740758,0.0945314144094785
64,0,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed0_100ms_hidden,frozen_mlp,pretrained,hidden,256,5905.080078125,7056.62255859375,76.84452056884766,84.00370788574219,80.5044937133789,0.9089192152023315,0.8659399151802063,0.8874295949935913,0.9533813306241457,0.930915460739525,0.11185096204280853
64,0,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed0_100ms,finetuned_mlp,pretrained,output,64,4954.01513671875,5646.1552734375,70.384765625,75.14089965820312,72.80274200439453,0.9235885739326477,0.8927356600761414,0.9081621170043945,0.9610543450232972,0.9449740620583565,0.0912865118847953
64,0,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed0_100ms,frozen_mlp,pretrained,output,64,6243.267578125,7048.94970703125,79.01435089111328,83.95802307128906,81.52462005615234,0.903702974319458,0.8660857081413269,0.8848943710327148,0.9506509989072186,0.9306729848559572,0.11439576745033264
64,1,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed1_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5139.68701171875,5765.0341796875,71.69161224365234,75.92782592773438,73.84139251708984,0.9207247495651245,0.8904772400856018,0.9056010246276855,0.9595805417529526,0.9439633449977005,0.09382932633161545
64,1,20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093604_d64_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim64_seed1_100ms_hidden,frozen_mlp,pretrained,hidden,256,5936.9775390625,7038.3388671875,77.05178833007812,83.89480590820312,80.54680633544922,0.9084272384643555,0.8662872910499573,0.887357234954834,0.9531229129654243,0.9307728602664948,0.1119263544678688
