embedding_dim,feature_layer,model,metric,n,mean,ci95_low,ci95_high,ci95_half_width
32,hidden,finetuned_mlp,best_val_mse_z,1,0.09402931812736723,nan,nan,nan
32,hidden,finetuned_mlp,corr_x,1,0.9602806430543953,nan,nan,nan
32,hidden,finetuned_mlp,corr_y,1,0.9435982220318211,nan,nan,nan
32,hidden,finetuned_mlp,mse_x,1,5084.29931640625,nan,nan,nan
32,hidden,finetuned_mlp,mse_y,1,5829.025390625,nan,nan,nan
32,hidden,finetuned_mlp,r2_mean,1,0.9054203033447266,nan,nan,nan
32,hidden,finetuned_mlp,r2_x,1,0.9215790629386902,nan,nan,nan
32,hidden,finetuned_mlp,r2_y,1,0.8892615437507629,nan,nan,nan
32,hidden,finetuned_mlp,rmse_mean,1,73.87032318115234,nan,nan,nan
32,hidden,finetuned_mlp,rmse_x,1,71.30427551269531,nan,nan,nan
32,hidden,finetuned_mlp,rmse_y,1,76.34805297851562,nan,nan,nan
32,hidden,frozen_mlp,best_val_mse_z,1,0.10804809629917145,nan,nan,nan
32,hidden,frozen_mlp,corr_x,1,0.9542799475809165,nan,nan,nan
32,hidden,frozen_mlp,corr_y,1,0.9340161845357147,nan,nan,nan
32,hidden,frozen_mlp,mse_x,1,5797.62646484375,nan,nan,nan
32,hidden,frozen_mlp,mse_y,1,6739.6572265625,nan,nan,nan
32,hidden,frozen_mlp,r2_mean,1,0.8912690877914429,nan,nan,nan
32,hidden,frozen_mlp,r2_x,1,0.910576581954956,nan,nan,nan
32,hidden,frozen_mlp,r2_y,1,0.8719615936279297,nan,nan,nan
32,hidden,frozen_mlp,rmse_mean,1,79.17569732666016,nan,nan,nan
32,hidden,frozen_mlp,rmse_x,1,76.14214324951172,nan,nan,nan
32,hidden,frozen_mlp,rmse_y,1,82.09541320800781,nan,nan,nan
32,output,finetuned_mlp,best_val_mse_z,1,0.0903616597255071,nan,nan,nan
32,output,finetuned_mlp,corr_x,1,0.9618038079358885,nan,nan,nan
32,output,finetuned_mlp,corr_y,1,0.9451825686146343,nan,nan,nan
32,output,finetuned_mlp,mse_x,1,4858.80859375,nan,nan,nan
32,output,finetuned_mlp,mse_y,1,5625.8291015625,nan,nan,nan
32,output,finetuned_mlp,r2_mean,1,0.9090894460678101,nan,nan,nan
32,output,finetuned_mlp,r2_x,1,0.925057053565979,nan,nan,nan
32,output,finetuned_mlp,r2_y,1,0.8931218385696411,nan,nan,nan
32,output,finetuned_mlp,rmse_mean,1,72.40480041503906,nan,nan,nan
32,output,finetuned_mlp,rmse_x,1,69.70515441894531,nan,nan,nan
32,output,finetuned_mlp,rmse_y,1,75.00552368164062,nan,nan,nan
32,output,frozen_mlp,best_val_mse_z,1,0.11525183916091919,nan,nan,nan
32,output,frozen_mlp,corr_x,1,0.951174837530831,nan,nan,nan
32,output,frozen_mlp,corr_y,1,0.9294967369657934,nan,nan,nan
32,output,frozen_mlp,mse_x,1,6198.91162109375,nan,nan,nan
32,output,frozen_mlp,mse_y,1,7176.8623046875,nan,nan,nan
32,output,frozen_mlp,r2_mean,1,0.8840214014053345,nan,nan,nan
32,output,frozen_mlp,r2_x,1,0.9043871164321899,nan,nan,nan
32,output,frozen_mlp,r2_y,1,0.8636556267738342,nan,nan,nan
32,output,frozen_mlp,rmse_mean,1,81.78038024902344,nan,nan,nan
32,output,frozen_mlp,rmse_x,1,78.73316955566406,nan,nan,nan
32,output,frozen_mlp,rmse_y,1,84.71636199951172,nan,nan,nan
64,hidden,finetuned_mlp,best_val_mse_z,5,0.09426732079850302,0.09366557111838968,0.09486907047861635,0.0006017496801133432
64,hidden,finetuned_mlp,corr_x,5,0.9597230168278525,0.9588256188572692,0.9606204147984359,0.0008973979705833138
64,hidden,finetuned_mlp,corr_y,5,0.9434411010610895,0.9429270860051888,0.9439551161169901,0.0005140150559007065
64,hidden,finetuned_mlp,mse_x,5,5140.1845703125,5032.69091199237,5247.67822863263,107.49365832013015
64,hidden,finetuned_mlp,mse_y,5,5810.476171875,5751.859176838564,5869.093166911435,58.616995036435135
64,hidden,finetuned_mlp,r2_mean,5,0.9051655054092407,0.9045689841159836,0.9057620267024977,0.0005965212932570565
64,hidden,finetuned_mlp,r2_x,5,0.9207170844078064,0.9190590813314272,0.9223750874841856,0.0016580030763792214
64,hidden,finetuned_mlp,r2_y,5,0.889613938331604,0.8885003327609605,0.8907275439022474,0.0011136055706434526
64,hidden,finetuned_mlp,rmse_mean,5,73.99642333984374,73.72987585671682,74.26297082297067,0.26654748312692617
64,hidden,finetuned_mlp,rmse_x,5,71.69303894042969,70.94183137898744,72.44424650187193,0.7512075614422467
64,hidden,finetuned_mlp,rmse_y,5,76.22597808837891,75.84181790744786,76.61013826930996,0.38416018093105414
64,hidden,frozen_mlp,best_val_mse_z,5,0.11199968755245208,0.11138093796092491,0.11261843714397926,0.0006187495915271727
64,hidden,frozen_mlp,corr_x,5,0.9526205214199763,0.9516912095900044,0.9535498332499482,0.0009293118299719491
64,hidden,frozen_mlp,corr_y,5,0.9314598289950322,0.9305927594160287,0.9323268985740357,0.0008670695790035314
64,hidden,frozen_mlp,mse_x,5,6015.339453125,5867.017321127519,6163.661585122481,148.3221319974805
64,hidden,frozen_mlp,mse_y,5,6981.5466796875,6894.776953453399,7068.316405921601,86.76972623410094
64,hidden,frozen_mlp,r2_mean,5,0.8872923970222473,0.8866789759865106,0.887905818057984,0.000613421035736674
64,hidden,frozen_mlp,r2_x,5,0.9072185754776001,0.9049308285709646,0.9095063223842356,0.0022877469066354948
64,hidden,frozen_mlp,r2_y,5,0.8673662066459655,0.8657177692931775,0.8690146439987536,0.001648437352788063
64,hidden,frozen_mlp,rmse_mean,5,80.61334991455078,80.34471799057397,80.8819818385276,0.2686319239768068
64,hidden,frozen_mlp,rmse_x,5,77.55557708740234,76.6018298877645,78.50932428704019,0.95374719963785
64,hidden,frozen_mlp,rmse_y,5,83.55481262207032,83.03534051403223,84.0742847301084,0.5194721080380905
64,output,finetuned_mlp,best_val_mse_z,5,0.09104120218091541,0.09002884951765255,0.09205355484417826,0.0010123526632628596
64,output,finetuned_mlp,corr_x,5,0.9612329238765248,0.9607290987001265,0.9617367490529232,0.0005038251763983206
64,output,finetuned_mlp,corr_y,5,0.9451400120121172,0.9444812238179705,0.9457988002062638,0.0006587881941466785
64,output,finetuned_mlp,mse_x,5,4948.9001953125,4887.233911530476,5010.566479094524,61.66628378202371
64,output,finetuned_mlp,mse_y,5,5624.59462890625,5556.816471312602,5692.372786499899,67.7781575936485
64,output,finetuned_mlp,r2_mean,5,0.9084063768386841,0.9073915056848353,0.9094212479925329,0.0010148711538488402
64,output,finetuned_mlp,r2_x,5,0.9236674666404724,0.9227163066108132,0.9246186266701316,0.0009511600296591902
64,output,finetuned_mlp,r2_y,5,0.8931452751159668,0.8918576496450659,0.8944329005868676,0.001287625470900905
64,output,finetuned_mlp,rmse_mean,5,72.71041259765624,72.30661733861812,73.11420785669436,0.403795259038121
64,output,finetuned_mlp,rmse_x,5,70.34771118164062,69.90878098696251,70.78664137631873,0.43893019467811056
64,output,finetuned_mlp,rmse_y,5,74.99658660888672,74.54374685474944,75.44942636302399,0.4528397541372791
64,output,frozen_mlp,best_val_mse_z,5,0.11397330313920975,0.11350362949063575,0.11444297678778376,0.0004696736485740017
64,output,frozen_mlp,corr_x,5,0.9510827589312733,0.9504994443888286,0.9516660734737179,0.0005833145424446225
64,output,frozen_mlp,corr_y,5,0.9309514538279521,0.9304907448320813,0.9314121628238229,0.0004607089958708349
64,output,frozen_mlp,mse_x,5,6215.2486328125,6167.30020357076,6263.19706205424,47.9484292417402
64,output,frozen_mlp,mse_y,5,7027.01982421875,6993.485343253239,7060.554305184261,33.534480965510944
64,output,frozen_mlp,r2_mean,5,0.8853187322616577,0.8848474897756184,0.8857899747476969,0.00047124248603920994
64,output,frozen_mlp,r2_x,5,0.9041351556777955,0.9033955944983826,0.9048747168572083,0.0007395611794128854
64,output,frozen_mlp,r2_y,5,0.866502320766449,0.8658652434458998,0.8671393980869981,0.0006370773205492153
64,output,frozen_mlp,rmse_mean,5,81.37117614746094,81.1971670423403,81.54518525258159,0.17400910512064538
64,output,frozen_mlp,rmse_x,5,78.83654479980468,78.53263952980336,79.14045006980601,0.3039052700013207
64,output,frozen_mlp,rmse_y,5,83.827197265625,83.62709361552498,84.02730091572502,0.20010365010002504
128,hidden,finetuned_mlp,best_val_mse_z,5,0.08990099098947313,0.08888247982128678,0.09091950215765948,0.001018511168186359
128,hidden,finetuned_mlp,corr_x,5,0.9612462862194369,0.9607170054524639,0.9617755669864099,0.0005292807669730451
128,hidden,finetuned_mlp,corr_y,5,0.9467401394225707,0.9459693545569842,0.9475109242881573,0.0007707848655866085
128,hidden,finetuned_mlp,mse_x,5,4961.61748046875,4885.990951596901,5037.2440093405985,75.62652887184908
128,hidden,finetuned_mlp,mse_y,5,5491.9822265625,5385.8296091189195,5598.13484400608,106.15261744358007
128,hidden,finetuned_mlp,r2_mean,5,0.9095679521560669,0.9085321124186895,0.9106037918934443,0.0010358397373774137
128,hidden,finetuned_mlp,r2_x,5,0.9234713196754456,0.9223048659998906,0.9246377733510006,0.001166453675555062
128,hidden,finetuned_mlp,r2_y,5,0.8956646084785461,0.8936479495311881,0.8976812674259042,0.002016658947358049
128,hidden,finetuned_mlp,rmse_mean,5,72.29716491699219,71.90059977132033,72.69373006266405,0.39656514567185347
128,hidden,finetuned_mlp,rmse_x,5,70.43768463134765,69.90025028927099,70.97511897342432,0.5374343420766603
128,hidden,finetuned_mlp,rmse_y,5,74.10610809326172,73.38933788820967,74.82287829831378,0.7167702050520509
128,hidden,frozen_mlp,best_val_mse_z,5,0.1064620479941368,0.10504287942541692,0.1078812165628567,0.0014191685687198832
128,hidden,frozen_mlp,corr_x,5,0.9537561716635048,0.9529265735873302,0.9545857697396793,0.000829598076174566
128,hidden,frozen_mlp,corr_y,5,0.936618551332119,0.935505321780801,0.937731780883437,0.0011132295513180054
128,hidden,frozen_mlp,mse_x,5,5885.80498046875,5784.09240052034,5987.51756041716,101.7125799484102
128,hidden,frozen_mlp,mse_y,5,6497.841015625,6391.768844119977,6603.913187130023,106.07217150502306
128,hidden,frozen_mlp,r2_mean,5,0.8928860187530517,0.8914574281297959,0.8943146093763076,0.001428590623255824
128,hidden,frozen_mlp,r2_x,5,0.9092165470123291,0.9076477249174729,0.9107853691071853,0.0015688220948562547
128,hidden,frozen_mlp,r2_y,5,0.8765555143356323,0.874540377104363,0.8785706515669015,0.0020151372312692778
128,hidden,frozen_mlp,rmse_mean,5,78.68789672851562,78.16444637995112,79.21134707708013,0.5234503485645078
128,hidden,frozen_mlp,rmse_x,5,76.71752471923828,76.05681632182436,77.37823311665221,0.6607083974139243
128,hidden,frozen_mlp,rmse_y,5,80.60779724121093,79.95060964755524,81.26498483486662,0.6571875936556926
128,output,finetuned_mlp,best_val_mse_z,5,0.08915978537665473,0.08873253334854006,0.08958703740476939,0.00042725202811466287
128,output,finetuned_mlp,corr_x,5,0.9617182079206291,0.9613620244891646,0.9620743913520936,0.00035618343146443275
128,output,finetuned_mlp,corr_y,5,0.9466588502847951,0.9462117208211657,0.9471059797484246,0.0004471294636294992
128,output,finetuned_mlp,mse_x,5,4882.276953125,4843.5183904231735,4921.035515826826,38.7585627018257
128,output,finetuned_mlp,mse_y,5,5477.97314453125,5443.266208270122,5512.680080792378,34.70693626112865
128,output,finetuned_mlp,r2_mean,5,0.9103129386901856,0.9098746043581999,0.9107512730221713,0.00043833433198574713
128,output,finetuned_mlp,r2_x,5,0.924695098400116,0.9240972819916686,0.9252929148085633,0.0005978164084474083
128,output,finetuned_mlp,r2_y,5,0.8959307432174682,0.89527139248448,0.8965900939504565,0.000659350732988295
128,output,finetuned_mlp,rmse_mean,5,71.97403869628906,71.79589577166622,72.15218162091189,0.1781429246228312
128,output,finetuned_mlp,rmse_x,5,69.87300567626953,69.59541179989144,70.15059955264762,0.2775938763780894
128,output,finetuned_mlp,rmse_y,5,74.01313629150391,73.77842351084593,74.2478490721619,0.2347127806579823
128,output,frozen_mlp,best_val_mse_z,5,0.11016343384981156,0.109352989239815,0.11097387845980812,0.0008104446099965575
128,output,frozen_mlp,corr_x,5,0.9527211473239887,0.9519667439412022,0.9534755507067753,0.0007544033827865649
128,output,frozen_mlp,corr_y,5,0.9333040078939117,0.9330753847873204,0.9335326310005029,0.00022862310659124935
128,output,frozen_mlp,mse_x,5,5999.2951171875,5885.974249514959,6112.615984860041,113.32086767254064
128,output,frozen_mlp,mse_y,5,6798.8671875,6763.523668434819,6834.210706565181,35.34351906518039
128,output,frozen_mlp,r2_mean,5,0.8891513824462891,0.8883434343676357,0.8899593305249425,0.0008079480786533985
