source_condition,model,metric,n,paired_seeds,pretrained_mean,random_mean,mean_delta_pretrained_minus_random,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
even_odd_50_50,finetuned_mlp,mse_x,5,0;1;2;3;4,4699.712012,5714.071289,-1014.359277,-1163.672916,-865.0456391,149.3136382,-18.86172545,4.65297655e-05
even_odd_50_50,finetuned_mlp,mse_y,5,0;1;2;3;4,5339.494043,6402.138379,-1062.644336,-1152.650581,-972.6380908,90.0062451,-32.77965503,5.164686824e-06
even_odd_50_50,finetuned_mlp,rmse_x,5,0;1;2;3;4,68.5473465,75.57574005,-7.028393555,-7.92854903,-6.128238079,0.9001554758,-21.67842046,2.678581636e-05
even_odd_50_50,finetuned_mlp,rmse_y,5,0;1;2;3;4,73.06969452,80.01093597,-6.941241455,-7.513571461,-6.368911449,0.5723300062,-33.67283849,4.639628005e-06
even_odd_50_50,finetuned_mlp,rmse_mean,5,0;1;2;3;4,70.84730682,77.83072662,-6.9834198,-7.311064642,-6.655774958,0.3276448418,-59.17713099,4.883253921e-07
even_odd_50_50,finetuned_mlp,r2_x,5,0;1;2;3;4,0.9262846112,0.9103815317,0.01590307951,0.01357201092,0.0182341481,0.002331068589,18.94153929,4.575759358e-05
even_odd_50_50,finetuned_mlp,r2_y,5,0;1;2;3;4,0.89933182,0.8792971015,0.02003471851,0.01838049516,0.02168894186,0.001654223351,33.62623078,4.665328761e-06
even_odd_50_50,finetuned_mlp,r2_mean,5,0;1;2;3;4,0.9128082156,0.8948393226,0.01796889305,0.01705787151,0.0188799146,0.000911021544,54.76231104,6.65670555e-07
even_odd_50_50,finetuned_mlp,corr_x,5,0;1;2;3;4,0.9628572799,0.9542839438,0.008573336077,0.00734517163,0.009801500524,0.001228164447,19.38127833,4.177850289e-05
even_odd_50_50,finetuned_mlp,corr_y,5,0;1;2;3;4,0.9486724199,0.9377960982,0.01087632171,0.009989732555,0.01176291087,0.000886589159,34.06031969,4.432663527e-06
even_odd_50_50,finetuned_mlp,best_val_mse_z,5,0;1;2;3;4,0.08636939029,0.1041738836,-0.01780449334,-0.01879678401,-0.01681220267,0.0009922906701,-49.81725605,9.715525779e-07
