source_condition,model,embedder_init,feature_layer,metric,n,mean,ci95_low,ci95_high,ci95_half_width
even_odd_50_50,finetuned_mlp,pretrained,hidden,mse_x,5,4699.712012,4512.07685,4887.347173,187.6351614
even_odd_50_50,finetuned_mlp,pretrained,hidden,mse_y,5,5339.494043,5225.976449,5453.011637,113.5175939
even_odd_50_50,finetuned_mlp,pretrained,hidden,rmse_x,5,68.5473465,67.17782668,69.91686632,1.369519819
even_odd_50_50,finetuned_mlp,pretrained,hidden,rmse_y,5,73.06969452,72.29224216,73.84714688,0.7774523627
even_odd_50_50,finetuned_mlp,pretrained,hidden,rmse_mean,5,70.84730682,70.00908615,71.6855275,0.8382206716
even_odd_50_50,finetuned_mlp,pretrained,hidden,r2_x,5,0.9262846112,0.9223621657,0.9302070568,0.003922445536
even_odd_50_50,finetuned_mlp,pretrained,hidden,r2_y,5,0.89933182,0.8986242717,0.9000393684,0.0007075483578
even_odd_50_50,finetuned_mlp,pretrained,hidden,r2_mean,5,0.9128082156,0.9108813989,0.9147350323,0.00192681667
even_odd_50_50,finetuned_mlp,pretrained,hidden,corr_x,5,0.9628572799,0.9607925168,0.964922043,0.002064763091
even_odd_50_50,finetuned_mlp,pretrained,hidden,corr_y,5,0.9486724199,0.9482273037,0.9491175361,0.0004451161878
even_odd_50_50,finetuned_mlp,pretrained,hidden,best_val_mse_z,5,0.08636939029,0.08419524288,0.0885435377,0.002174147406
even_odd_50_50,finetuned_mlp,random,hidden,mse_x,5,5714.071289,5392.208338,6035.93424,321.862951
even_odd_50_50,finetuned_mlp,random,hidden,mse_y,5,6402.138379,6263.2379,6541.038858,138.9004791
even_odd_50_50,finetuned_mlp,random,hidden,rmse_x,5,75.57574005,73.43469953,77.71678058,2.141040524
even_odd_50_50,finetuned_mlp,random,hidden,rmse_y,5,80.01093597,79.14561117,80.87626078,0.865324801
even_odd_50_50,finetuned_mlp,random,hidden,rmse_mean,5,77.83072662,76.69170169,78.96975155,1.139024931
even_odd_50_50,finetuned_mlp,random,hidden,r2_x,5,0.9103815317,0.9046153074,0.916147756,0.005766224302
even_odd_50_50,finetuned_mlp,random,hidden,r2_y,5,0.8792971015,0.8783006651,0.8802935379,0.0009964363977
even_odd_50_50,finetuned_mlp,random,hidden,r2_mean,5,0.8948393226,0.892152028,0.8975266171,0.002687294547
even_odd_50_50,finetuned_mlp,random,hidden,corr_x,5,0.9542839438,0.9512887854,0.9572791022,0.002995158389
even_odd_50_50,finetuned_mlp,random,hidden,corr_y,5,0.9377960982,0.9372093746,0.9383828218,0.0005867235614
even_odd_50_50,finetuned_mlp,random,hidden,best_val_mse_z,5,0.1041738836,0.1010818049,0.1072659623,0.003092078715
