condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,embedding_val_zeta,5,0.3979615933,0.3886220088,0.4073011779,0.009339584535
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,mean_val_zeta,5,0.2875782728,0.2705483884,0.3046081573,0.01702988447
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0253146,0.01639554934,0.03423365066,0.008919050657
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,checkpoint_regularization_lambda,5,5.179864,2.783739016,7.575988984,2.396124984
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_rmse_x,5,79.06608429,77.14112704,80.99104154,1.924957249
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_rmse_y,5,83.95604401,82.91191704,85.00017097,1.044126962
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_rmse_mean,5,81.55280762,80.52157017,82.58404507,1.031237451
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_r2_x,5,0.9019764781,0.8985353609,0.9054175953,0.003441117212
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_r2_y,5,0.8671021342,0.8657725442,0.8684317243,0.00132959007
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,frozen_decoder_r2_mean,5,0.8845393062,0.8829545638,0.8861240485,0.001584742383
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_x,5,73.7611084,71.94959855,75.57261825,1.811509853
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_y,5,78.3807663,76.87698136,79.88455123,1.503784932
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_mean,5,76.10845795,74.57287178,77.64404411,1.535586165
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_r2_x,5,0.9146601915,0.9103473439,0.9189730392,0.004312847627
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_r2_y,5,0.8841573,0.8807885964,0.8875260035,0.003368703553
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,finetuned_decoder_r2_mean,5,0.8994087696,0.8958730038,0.9029445354,0.003535765784
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,embedding_val_zeta,5,0.4672007832,0.450374443,0.4840271234,0.01682634021
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,mean_val_zeta,5,0.3245419502,0.293858758,0.3552251424,0.03068319219
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0.013998,0.009960215492,0.01803578451,0.004037784508
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,checkpoint_regularization_lambda,5,7.451008,6.027590717,8.874425283,1.423417283
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_x,5,73.69447632,72.86769217,74.52126047,0.8267841525
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_y,5,78.89742737,77.6507486,80.14410613,1.246678764
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_mean,5,76.34406433,75.8674253,76.82070337,0.4766390347
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_x,5,0.914819777,0.9117024762,0.9179370778,0.003117300781
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_y,5,0.8826262236,0.8798169298,0.8854355173,0.002809293726
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_mean,5,0.8987229943,0.8967522027,0.900693786,0.00197079167
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_x,5,68.5473465,67.17782668,69.91686632,1.369519819
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_y,5,73.06969452,72.29224216,73.84714688,0.7774523627
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_mean,5,70.84730682,70.00908615,71.6855275,0.8382206716
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_x,5,0.9262846112,0.9223621657,0.9302070568,0.003922445536
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_y,5,0.89933182,0.8986242717,0.9000393684,0.0007075483578
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_mean,5,0.9128082156,0.9108813989,0.9147350323,0.00192681667
