baseline_condition,baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_dimension,baseline_hidden_dim,baseline_lambda_start_frac,baseline_lambda_block_cca,condition,odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4568590323,0.4672007832,0.01034175091,-0.02444327879,0.04512678062,0.03478502971,0.8254500267,0.4555010781
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.34226771,0.3245419502,-0.01772575974,-0.05710519977,0.02165368028,0.03937944003,-1.249753649,0.2795206742
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.0195342,0.013998,-0.0055362,-0.008640345145,-0.002432054855,0.003104145145,-4.951751504,0.00775152047
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.716778,7.451008,-0.26577,-1.512437196,0.9808971961,1.246667196,-0.5918947879,0.5857555116
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,77.58323517,73.69447632,-3.88875885,-5.377606632,-2.399911068,1.488847782,-7.251866581,0.00191959426
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,82.02962799,78.89742737,-3.132200623,-4.048279545,-2.2161217,0.9160789222,-9.493050082,0.0006871703688
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,79.8431778,76.34406433,-3.499113464,-4.481507534,-2.516719395,0.9823940699,-9.889205105,0.000586766772
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.9056171179,0.914819777,0.00920265913,0.005808161479,0.01259715678,0.003394497651,7.527086634,0.001667993338
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8731266737,0.8826262236,0.009499549866,0.00674039767,0.01225870206,0.002759152196,9.559088029,0.0006690308213
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8893718958,0.8987229943,0.009351098537,0.00682412749,0.01187806959,0.002526971048,10.27428145,0.0005060619306
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,73.99943085,68.5473465,-5.452084351,-7.98385319,-2.920315512,2.531768839,-5.978986973,0.003932768966
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,77.93704376,73.06969452,-4.867349243,-5.828939954,-3.905758532,0.9615907107,-14.05372143,0.0001487534627
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,75.99919281,70.84730682,-5.151885986,-6.683729703,-3.62004227,1.531843716,-9.337720602,0.0007323031298
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9141000867,0.9262846112,0.01218452454,0.006556790387,0.01781225868,0.005627734149,6.011240512,0.003855989834
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8854763985,0.89933182,0.01385542154,0.01114904969,0.0165617934,0.002706371854,14.21416546,0.0001422557583
all_even,0.0,0,64,128,512,0.1,10.0,even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.8997882366,0.9128082156,0.013019979,0.009355345028,0.01668461297,0.003664633972,9.864356779,0.0005925053347
