condition,odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
all_even,0.0,0,64,128,512,0.1,10.0,embedding_val_zeta,5,0.4568590323,0.4334273484,0.4802907162,0.0234316839
all_even,0.0,0,64,128,512,0.1,10.0,mean_val_zeta,5,0.34226771,0.3166171704,0.3679182495,0.02565053956
all_even,0.0,0,64,128,512,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0195342,0.01411547849,0.02495292151,0.005418721513
all_even,0.0,0,64,128,512,0.1,10.0,checkpoint_regularization_lambda,5,7.716778,5.843733357,9.589822643,1.873044643
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_rmse_x,5,77.58323517,76.31816489,78.84830544,1.265070276
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_rmse_y,5,82.02962799,80.34105864,83.71819734,1.688569353
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_rmse_mean,5,79.8431778,79.02826778,80.65808781,0.8149100163
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_r2_x,5,0.9056171179,0.9032133171,0.9080209186,0.002403800758
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_r2_y,5,0.8731266737,0.8696230329,0.8766303145,0.003503640769
all_even,0.0,0,64,128,512,0.1,10.0,frozen_decoder_r2_mean,5,0.8893718958,0.8874561891,0.8912876025,0.00191570669
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_rmse_x,5,73.99943085,72.1999521,75.79890959,1.799478746
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_rmse_y,5,77.93704376,76.38214582,79.49194171,1.554897946
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_rmse_mean,5,75.99919281,74.75634359,77.24204203,1.242849217
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_r2_x,5,0.9141000867,0.9095119946,0.9186881787,0.004588092041
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_r2_y,5,0.8854763985,0.882856878,0.888095919,0.002619520502
all_even,0.0,0,64,128,512,0.1,10.0,finetuned_decoder_r2_mean,5,0.8997882366,0.8973426199,0.9022338533,0.002445616687
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,embedding_val_zeta,5,0.4672007832,0.450374443,0.4840271234,0.01682634021
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,mean_val_zeta,5,0.3245419502,0.293858758,0.3552251424,0.03068319219
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0.013998,0.009960215492,0.01803578451,0.004037784508
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,checkpoint_regularization_lambda,5,7.451008,6.027590717,8.874425283,1.423417283
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_x,5,73.69447632,72.86769217,74.52126047,0.8267841525
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_y,5,78.89742737,77.6507486,80.14410613,1.246678764
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_rmse_mean,5,76.34406433,75.8674253,76.82070337,0.4766390347
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_x,5,0.914819777,0.9117024762,0.9179370778,0.003117300781
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_y,5,0.8826262236,0.8798169298,0.8854355173,0.002809293726
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,frozen_decoder_r2_mean,5,0.8987229943,0.8967522027,0.900693786,0.00197079167
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_x,5,68.5473465,67.17782668,69.91686632,1.369519819
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_y,5,73.06969452,72.29224216,73.84714688,0.7774523627
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_rmse_mean,5,70.84730682,70.00908615,71.6855275,0.8382206716
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_x,5,0.9262846112,0.9223621657,0.9302070568,0.003922445536
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_y,5,0.89933182,0.8986242717,0.9000393684,0.0007075483578
even_odd_50_50,0.5,32,32,128,256,0.1,10.0,finetuned_decoder_r2_mean,5,0.9128082156,0.9108813989,0.9147350323,0.00192681667
