baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.4200669361,0.4442407191,0.02417378293,0.01055882644,0.03778873942,0.01361495649,4.9296655,0.007874727402
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.2896418691,0.3315376461,0.041895777,0.01300204818,0.07078950582,0.02889372882,4.025832931,0.01578793745
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.0207278,0.0237958,0.003068,-4.870215975e-05,0.00618470216,0.00311670216,2.733059865,0.05227783755
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,7.451006,5.868456,-1.58255,-2.761743597,-0.4033564031,1.179193597,-3.726159312,0.02036488726
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,77.30098419,74.94563751,-2.35534668,-5.071897328,0.3612039685,2.716550648,-2.407277319,0.07377205251
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,82.0153595,79.64460297,-2.370756531,-5.972063116,1.230550055,3.601306585,-1.827746461,0.1415975008
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,79.69804535,77.33515167,-2.362893677,-5.448420345,0.7226329916,3.085526668,-2.126199281,0.1006373055
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.9062877774,0.9118070006,0.005519223213,-0.0008264484189,0.01186489485,0.006345671632,2.414846081,0.07316989636
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8731585264,0.8803019643,0.007143437862,-0.003742860298,0.01802973602,0.01088629816,1.821864769,0.142567937
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8897231579,0.8960544825,0.006331324577,-0.002087942946,0.0147505921,0.008419267523,2.087898393,0.105080042
0.0,0,64,128,0.1,10.0,0.25,16,48,128,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,68.82897491,68.25728455,-0.5716903687,-2.027361188,0.8839804505,1.455670819,-1.09040238,0.3368202701
