config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
odd_plane_fraction=0,odd_plane_fraction=0.25,mean_val_zeta,5,0.2896418691,0.3315376461,0.041895777,0.01300204818,0.07078950582,0.02889372882,4.025832931,5,0,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,embedding_val_zeta,5,0.4200669361,0.4442407191,0.02417378293,0.01055882644,0.03778873942,0.01361495649,4.9296655,5,0,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,embedding_whole_val_regularization_raw,5,0.0207278,0.0237958,0.003068,-4.870215975e-05,0.00618470216,0.00311670216,2.733059865,4,1,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,frozen_decoder_r2_mean,5,0.8897231579,0.8960544825,0.006331324577,-0.002087942946,0.0147505921,0.008419267523,2.087898393,4,1,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,frozen_decoder_rmse_mean,5,79.69804535,77.33515167,-2.362893677,-5.448420345,0.7226329916,3.085526668,-2.126199281,1,4,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,finetuned_decoder_r2_mean,5,0.9122146249,0.9122694612,5.483627319e-05,-0.002950774036,0.003060446582,0.003005610309,0.05065523692,3,2,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.25,finetuned_decoder_rmse_mean,5,71.0962616,71.0197403,-0.07652130127,-1.291640143,1.138597541,1.215118842,-0.1748447847,1,4,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,mean_val_zeta,5,0.2896418691,0.3229138553,0.03327198624,0.00094758068,0.0655963918,0.03232440556,2.857835797,5,0,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_val_zeta,5,0.4200669361,0.4683750431,0.04830810693,0.02910674699,0.06750946686,0.01920135994,6.985172273,5,0,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_whole_val_regularization_raw,5,0.0207278,0.015403,-0.0053248,-0.0120420786,0.001392478602,0.006717278602,-2.200893512,0,5,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_r2_mean,5,0.8897231579,0.8984918118,0.00876865387,0.003688518908,0.01384878883,0.005080134962,4.792330577,5,0,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_rmse_mean,5,79.69804535,76.43406372,-3.263981628,-5.122294924,-1.405668333,1.858313296,-4.876608179,0,5,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,finetuned_decoder_r2_mean,5,0.9122146249,0.9124561548,0.0002415299416,-0.001838300454,0.002321360337,0.002079830396,0.3224275525,3,2,0,0;1;2;3;4
odd_plane_fraction=0,odd_plane_fraction=0.5,finetuned_decoder_rmse_mean,5,71.0962616,70.9900589,-0.1062026978,-0.9793675942,0.7669621987,0.8731648965,-0.3376979097,2,3,0,0;1;2;3;4
