odd_plane_fraction,odd_plane_percent,antisymmetric_planes,symmetric_planes,n_planes,dimension,seed,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,mean_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
0.0,0.0,0,64,64,128,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_152713_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,147,best_val_zeta,0.981879,9.81879,0.4267387456364102,0.2931935191,0.016785,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_152713_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.5871353149414,82.04513549804688,80.33554077148438,0.9062403440475464,0.8745015859603882,0.8903709650039673,hidden,512,68.56752014160156,73.33167266845703,70.99038696289062,0.9286243319511414,0.8997427821159363,0.9141835570335388
0.0,0.0,0,64,64,128,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_153039_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,105,best_val_zeta,0.728188,7.281879999999999,0.42843759391042924,0.2949365675,0.019631,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_153039_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.4751968383789,79.70355224609375,78.59798431396484,0.9055019617080688,0.8790138959884644,0.8922579288482666,hidden,512,70.19546508789062,72.25123596191406,71.2315673828125,0.9224261045455933,0.9005807042121887,0.9115034341812134
0.0,0.0,0,64,64,128,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_153635_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,96,best_val_zeta,0.673826,6.73826,0.4154740042156643,0.2800022364,0.020184,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_153635_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,75.62349700927734,81.4901351928711,78.61238861083984,0.909623384475708,0.8724946975708008,0.8910590410232544,hidden,512,68.18881225585938,72.46796417236328,70.36170196533203,0.926520049571991,0.8991652131080627,0.9128426313400269
0.0,0.0,0,64,64,128,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_154231_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,58,best_val_zeta,0.444295,4.44295,0.41724764969613815,0.2878561616,0.029985,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0_ap0_d128_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_154231_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.6037368774414,85.53833770751953,82.14508819580078,0.9015928506851196,0.8652323484420776,0.8834125995635986,hidden,512,69.26770782470703,75.23735809326172,72.31491088867188,0.9235808849334717,0.895736813545227,0.9096588492393494
0.25,25.0,16,48,64,128,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161142_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,118,best_val_zeta,0.806711,8.06711,0.4431510070959727,0.3202403188,0.015595,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161142_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.70035552978516,76.83872985839844,75.28659057617188,0.9175382852554321,0.8899239301681519,0.903731107711792,hidden,512,66.98123931884766,73.157470703125,70.13819122314453,0.9318886399269104,0.9002185463905334,0.9160535931587219
0.25,25.0,16,48,64,128,1,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161510_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,83,best_val_zeta,0.595302,5.95302,0.4627106322182549,0.3681177497,0.024433,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161510_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.46419525146484,82.1443862915039,80.3262710571289,0.9030739665031433,0.8714902997016907,0.887282133102417,hidden,512,71.18731689453125,74.35210418701172,72.78797912597656,0.9202184081077576,0.8947149515151978,0.9074666500091553
0.25,25.0,16,48,64,128,2,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161842_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,82,best_val_zeta,0.589262,5.892619999999999,0.4521579709317949,0.3391866088,0.024283,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_161842_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,72.12522888183594,79.32697296142578,75.8122329711914,0.9177914261817932,0.8791741132736206,0.8984827995300293,hidden,512,66.46934509277344,72.5138931274414,69.55818176269531,0.9301791191101074,0.8990373611450195,0.9146082401275635
0.25,25.0,16,48,64,128,3,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_162252_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,44,best_val_zeta,0.359732,3.59732,0.4390946063730452,0.3199303746,0.032828,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_162252_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,76.72395324707031,82.1976089477539,79.50865936279297,0.9062433242797852,0.8755536079406738,0.8908984661102295,hidden,512,68.48214721679688,75.89891815185547,72.2864990234375,0.9253044128417969,0.893895149230957,0.909599781036377
0.25,25.0,16,48,64,128,4,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_162853_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,81,best_val_zeta,0.583221,5.83221,0.42408937878078884,0.3102131784,0.021840,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p25_ap16_d128_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_162853_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.7144546508789,77.71531677246094,75.74200439453125,0.9143880009651184,0.8853678703308105,0.8998779058456421,hidden,512,68.16637420654297,72.42335510253906,70.32785034179688,0.9267901182174683,0.9004479646682739,0.9136190414428711
0.5,50.0,32,32,64,128,0,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_163444_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,99,best_val_zeta,0.691946,6.919459999999999,0.482837223344379,0.3486758471,0.015613,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p5_ap32_d128_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/odd_plane_fraction_finetune_sweep/logs/odd0p5_ap32_d128_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260729_163444_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.3281478881836,78.57363891601562,75.99681854248047,0.9183691143989563,0.8848971128463745,0.9016331434249878,hidden,512,67.46463012695312,73.91188049316406,70.76245880126953,0.9309020042419434,0.8981499671936035,0.9145259857177734
