odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.0,0,64,128,0.1,10.0,embedding_val_zeta,5,0.4200669361,0.4112466404,0.4288872319,0.008820295716
0.0,0,64,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0207278,0.01403440989,0.02742119011,0.006693390114
0.0,0,64,128,0.1,10.0,checkpoint_regularization_lambda,5,7.451006,4.853261018,10.04875098,2.597744982
0.0,0,64,128,0.1,10.0,frozen_decoder_rmse_x,5,77.30098419,75.61507909,78.98688929,1.6859051
0.0,0,64,128,0.1,10.0,frozen_decoder_rmse_y,5,82.0153595,79.34182635,84.68889264,2.673533144
0.0,0,64,128,0.1,10.0,frozen_decoder_rmse_mean,5,79.69804535,77.7753614,81.6207293,1.922683948
0.0,0,64,128,0.1,10.0,frozen_decoder_r2_x,5,0.9062877774,0.9024308302,0.9101447247,0.003856947243
0.0,0,64,128,0.1,10.0,frozen_decoder_r2_y,5,0.8731585264,0.8669102721,0.8794067808,0.006248254351
0.0,0,64,128,0.1,10.0,frozen_decoder_r2_mean,5,0.8897231579,0.8852607593,0.8941855565,0.004462398585
0.0,0,64,128,0.1,10.0,finetuned_decoder_rmse_x,5,68.82897491,67.69191099,69.96603884,1.137063927
0.0,0,64,128,0.1,10.0,finetuned_decoder_rmse_y,5,73.28605042,71.82076411,74.75133672,1.465286301
0.0,0,64,128,0.1,10.0,finetuned_decoder_rmse_mean,5,71.0962616,70.15106559,72.0414576,0.9451960073
0.0,0,64,128,0.1,10.0,finetuned_decoder_r2_x,5,0.9256916523,0.9224648194,0.9289184852,0.003226832913
0.0,0,64,128,0.1,10.0,finetuned_decoder_r2_y,5,0.8987375855,0.8964421249,0.9010330461,0.002295460599
0.0,0,64,128,0.1,10.0,finetuned_decoder_r2_mean,5,0.9122146249,0.9100858134,0.9143434364,0.00212881151
0.25,16,48,128,0.1,10.0,embedding_val_zeta,5,0.4442407191,0.4262733752,0.462208063,0.01796734391
0.25,16,48,128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.0237958,0.01610894964,0.03148265036,0.007686850364
0.25,16,48,128,0.1,10.0,checkpoint_regularization_lambda,5,5.868456,3.905096335,7.831815665,1.963359665
0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_x,5,74.94563751,71.74585838,78.14541664,3.199779128
0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_y,5,79.64460297,76.57398057,82.71522537,3.070622399
0.25,16,48,128,0.1,10.0,frozen_decoder_rmse_mean,5,77.33515167,74.37560359,80.29469975,2.959548078
0.25,16,48,128,0.1,10.0,frozen_decoder_r2_x,5,0.9118070006,0.9034190361,0.9201949651,0.008387964505
0.25,16,48,128,0.1,10.0,frozen_decoder_r2_y,5,0.8803019643,0.8710996088,0.8895043198,0.009202355476
0.25,16,48,128,0.1,10.0,frozen_decoder_r2_mean,5,0.8960544825,0.8876563789,0.904452586,0.008398103552
0.25,16,48,128,0.1,10.0,finetuned_decoder_rmse_x,5,68.25728455,65.97882803,70.53574106,2.278456514
0.25,16,48,128,0.1,10.0,finetuned_decoder_rmse_y,5,73.66914825,71.84991647,75.48838004,1.819231784
0.25,16,48,128,0.1,10.0,finetuned_decoder_rmse_mean,5,71.0197403,69.2502776,72.78920299,1.769462692
