sweep,dimension,lambda_start_frac,lambda_block_cca,odd_plane_fraction,antisymmetric_planes,symmetric_planes,n_planes,checkpoint_selection,n,zeta_emb_mean,zeta_emb_ci95,zeta_mean_mean,zeta_mean_ci95,frozen_decoder_r2_mean_mean,frozen_decoder_r2_mean_ci95,frozen_decoder_rmse_mean_mean,frozen_decoder_rmse_mean_ci95
cca_sweep_constant_lambda,128,1.0,0.5,,,,,best_val_mean_plane_zeta,5,0.45061154564221706,0.007796766444253443,0.49349797962,0.008069891751560252,0.8921122074127197,0.0019665364376230516,78.753564453125,0.6334011227857184
cca_sweep_constant_lambda,128,1.0,1.0,,,,,best_val_mean_plane_zeta,5,0.4481436649958293,0.004219409190773792,0.4947603046599999,0.005096131682538323,0.8950591325759888,0.0018102452025664552,77.71165924072265,0.23994885792162424
cca_sweep_constant_lambda,128,1.0,2.0,,,,,best_val_mean_plane_zeta,5,0.4304546462164985,0.025186219218654958,0.33775718212,0.011641479282674274,0.8910340309143067,0.009510339306785642,79.12600250244141,3.6954284873518937
cca_sweep_constant_lambda,128,1.0,5.0,,,,,best_val_mean_plane_zeta,5,0.4435951299137539,0.009900151673042014,0.25409676434,0.020340765131542766,0.8851383566856384,0.002595590823118357,81.34402008056641,0.8793567906515675
cca_sweep_constant_lambda,128,1.0,10.0,,,,,best_val_mean_plane_zeta,5,0.3847127199172974,0.02062476689261092,0.14889142216,0.012127731832924562,0.8823479890823365,0.0020639527237011853,82.32510375976562,0.5972532293004845
cca_sweep_constant_lambda,128,1.0,20.0,,,,,best_val_mean_plane_zeta,5,0.2901620222462548,0.052535639580763474,0.07130532711599999,0.01443801044880641,0.803121817111969,0.08832156899748582,104.22953033447266,21.018939985092167
cca_sweep_constant_lambda,128,1.0,40.0,,,,,best_val_mean_plane_zeta,5,0.17852773368358613,0.0025521663911227213,0.040228691697999995,0.0010024805558226588,0.6069761514663696,0.010147999116550645,150.80916748046874,1.2619803023039546
cca_sweep_constant_lambda,128,0.1,10.0,,,,,best_val_mean_plane_zeta,5,0.4672007832262251,0.011878364439272173,0.32454195022,0.021660452263477195,0.8987229943275452,0.0013912580751249226,76.34406433105468,0.3364779322360958
cca_warmup_finetune_sweep,128,1.0,1.0,,,,,best_val_zeta,5,0.4624406774838765,0.004982763190439843,0.43752629162000006,0.02362933642995119,0.8961347699165344,0.00118599962678083,77.33628540039062,0.20386158475996569
cca_warmup_finetune_sweep,128,0.2,2.0,,,,,best_val_zeta,5,0.45803297360738116,0.019651066389571613,0.5064564406800001,0.02112953123165795,0.8915804028511047,0.00151213932981247,78.9604705810547,0.8155852415761474
cca_warmup_finetune_sweep,128,0.2,5.0,,,,,best_val_zeta,5,0.46098093721601696,0.008903916907773935,0.35455738902,0.019037694678651112,0.8979864358901978,0.0016965835507670815,76.6127914428711,0.4222465815256055
cca_warmup_finetune_sweep,128,0.1,10.0,,,,,best_val_zeta,5,0.4683750430742899,0.012013170174147674,0.32291385530000005,0.021599997333094027,0.8984918117523193,0.0019526452503042017,76.43406372070312,0.5729050562871362
cca_warmup_finetune_sweep,128,0.05,20.0,,,,,best_val_zeta,5,0.46808590557840135,0.022153296086257504,0.27162340581999994,0.016663613267437944,0.897763192653656,0.0012208222370284556,76.7370620727539,0.6022141504983518
cca_warmup_finetune_sweep,128,0.02,50.0,,,,,best_val_zeta,5,0.4215861280759176,0.030170681386499806,0.16997182966000002,0.01672342126989318,0.8888941764831543,0.004647111494562203,80.00848846435547,2.080257899257335
dim_train_finetune_sweep,32,0.1,10.0,,,,,best_val_zeta,5,0.44174271490838796,0.02408223976544972,0.33941740392,0.011857785967150813,0.8814297676086426,0.004405768501049047,82.66648864746094,1.1902397135697342
dim_train_finetune_sweep,64,0.1,10.0,,,,,best_val_zeta,5,0.4908451868428124,0.014627200245804606,0.35545926689999996,0.024255290109476323,0.890782380104065,0.004923936296444955,79.31570434570312,1.9596400302371415
dim_train_finetune_sweep,128,0.1,10.0,,,,,best_val_zeta,5,0.4683750430742899,0.012013170174147674,0.32291385530000005,0.021599997333094027,0.8984918117523193,0.0019526452503042017,76.43406372070312,0.5729050562871362
dim_train_finetune_sweep,256,0.1,10.0,,,,,best_val_zeta,5,0.45331315928035315,0.012918345341110648,0.29000847934,0.0118518628263976,0.8967314004898072,0.004593396263897247,77.07216186523438,2.1252013887966417
dim_train_finetune_sweep_mean_plane_zeta,32,0.1,10.0,,,,,best_val_mean_plane_zeta,5,0.44047962360911896,0.023501094618461824,0.33985629678,0.012267405721343438,0.8817330121994018,0.004674544838569474,82.56383972167968,1.2633247642882248
dim_train_finetune_sweep_mean_plane_zeta,64,0.1,10.0,,,,,best_val_mean_plane_zeta,5,0.4866351902484894,0.01325007162203098,0.36132578251999997,0.02560477341909674,0.8912806987762452,0.005184846234683717,79.12347412109375,2.0630290673420686
dim_train_finetune_sweep_mean_plane_zeta,128,0.1,10.0,,,,,best_val_mean_plane_zeta,5,0.4672007832262251,0.011878364439272173,0.32454195022,0.021660452263477195,0.8987229943275452,0.0013912580751249226,76.34406433105468,0.3364779322360958
dim_train_finetune_sweep_mean_plane_zeta,256,0.1,10.0,,,,,best_val_mean_plane_zeta,5,0.4503741489516364,0.01574520286101324,0.29479359390000004,0.013135038596859166,0.8965261816978455,0.005770881668224453,77.17085876464844,2.583082926503697
odd_plane_fraction_finetune_sweep,128,0.1,10.0,0.0,0,64,64,best_val_zeta,5,0.4200669361485375,0.006226587938396243,0.28964186906,0.005248456153175153,0.8897231578826904,0.0031501797786670466,79.69804534912109,1.357296973302737
odd_plane_fraction_finetune_sweep,128,0.1,10.0,0.25,16,48,64,best_val_zeta,5,0.4442407190799713,0.012683843091088545,0.33153764605999997,0.020149438173229763,0.896054482460022,0.005928546158163949,77.33515167236328,2.0892594712017285
odd_plane_fraction_finetune_sweep,128,0.1,10.0,0.5,32,32,64,best_val_zeta,5,0.4683750430742899,0.012013170174147674,0.32291385530000005,0.021599997333094027,0.8984918117523193,0.0019526452503042017,76.43406372070312,0.5729050562871362
odd_plane_fraction_finetune_sweep,128,0.1,10.0,0.75,48,16,64,best_val_zeta,5,0.46758933994505136,0.029602431276408346,0.23274798096000002,0.012094247847110953,0.893767237663269,0.002227412399463689,78.1890655517578,0.49262489999304326
odd_plane_fraction_finetune_sweep,128,0.1,10.0,1.0,64,0,64,best_val_zeta,5,0.4444205833805932,0.007325413867138369,0.21146164238000004,0.009139191095726317,0.845878803730011,0.0011961500442999842,94.15608825683594,0.31074662417440624
