config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_zeta,2,0.2960406356,0.2842137776,-0.01182685792,-0.02870235678,0.005048640927,0.01687549885,-8.90489102,0,2,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_s,2,0.08784824687,0.1057934392,0.01794519229,-0.05604031844,0.09193070302,0.07398551073,3.081891103,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_c_plus,2,0.2944393636,0.3673276789,0.07288831534,-0.1779785979,0.3237552286,0.2508669132,3.691733779,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",validation_zeta,2,0.296041,0.284214,-0.011827,-0.02870083989,0.00504683989,0.01687383989,-8.905873494,0,2,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",validation_c_plus,2,0.2944395,0.367328,0.0728885,-0.1779764532,0.3237534532,0.2508649532,3.691771976,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",regularization_whole_batch_total_raw,2,0.002038,0.0169715,0.0149335,-0.004958063515,0.03482506351,0.01989156351,9.53912488,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_accuracy,2,0.5627073656,0.5796284008,0.01692103517,-0.02102051846,0.05486258879,0.03794155363,5.666666667,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_balanced_accuracy,2,0.5632191962,0.5793126254,0.01609342916,-0.004886434758,0.03707329307,0.02097986392,9.746793717,2,0,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",embedding_val_zeta,2,0.2960406356,0.291150673,-0.004889962574,-0.04122837941,0.03144845426,0.03633841683,-1.709839642,0,2,0,0;1
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",embedding_val_s,2,0.08784824687,0.05891494305,-0.02893330382,-0.5871767923,0.5293101847,0.5582434885,-0.6585522081,1,1,0,0;1
