dimension,seed,lambda_start_frac,lambda_block_cca,antisymmetric_planes,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_val_s,embedding_val_c_plus,embedding_val_loss,validation_zeta,validation_loss,validation_c_plus,regularization_whole_batch_total_raw,regularization_whole_batch_total_scaled,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_flat_feature_dim,frozen_decoder_decoder_type,frozen_decoder_accuracy,frozen_decoder_balanced_accuracy,frozen_decoder_macro_f1,frozen_decoder_best_val_acc,frozen_decoder_best_val_ce,frozen_decoder_test_accuracy,frozen_decoder_test_balanced_accuracy,frozen_decoder_test_macro_f1,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_flat_feature_dim,finetuned_decoder_decoder_type,finetuned_decoder_accuracy,finetuned_decoder_balanced_accuracy,finetuned_decoder_macro_f1,finetuned_decoder_best_val_acc,finetuned_decoder_best_val_ce,finetuned_decoder_test_accuracy,finetuned_decoder_test_balanced_accuracy,finetuned_decoder_test_macro_f1
128,0,1.0,0.5,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_232009_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s0,7,best_val_zeta,1.000000,0.5,0.28820793330669403,0.12476572208106518,0.4293045550584793,-0.11578020639717579,0.288208,-0.115781,0.429305,0.018908,0.009454,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_232009_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca0p5_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5872594558725945,0.5851267791322919,0.5835490286240526,0.5872594714164734,1.3485594987869263,,,,hidden,512,409600,temporal_conv,0.5925680159256802,0.5894621203366807,0.5860208883191159,0.5925680159256802,2.418117940425873,,,
128,1,1.0,0.5,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_234033_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s1,5,best_val_zeta,1.000000,0.5,0.2802196219563484,0.08682115624348323,0.30535080283880234,-0.07972001004964113,0.280220,-0.079721,0.305351,0.015035,0.007517,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_234033_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca0p5_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5719973457199734,0.5734984715989938,0.5733675709540369,0.571997344493866,1.6517242193222046,,,,hidden,512,409600,temporal_conv,0.5666887856668879,0.5668972925826712,0.5682972085234335,0.5666887856668879,1.983725940187772,,,
128,2,1.0,0.5,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_235951_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s2,10,best_val_zeta,1.000000,0.5,0.2885371608038743,0.14223596639931202,0.4816144270201524,-0.13074472981194654,0.288537,-0.130746,0.481614,0.023792,0.011896,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260731_235951_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s2/outputs/condition_prediction_finetune_lsf1p0_lcca0p5_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.581950895819509,0.5796358879123508,0.5771414854147865,0.5819509029388428,1.2435358762741089,,,,hidden,512,409600,temporal_conv,0.5919044459190445,0.5920242602682593,0.5931040398753276,0.5919044459190445,1.2600829030076663,,,
128,3,1.0,0.5,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_001901_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s3,8,best_val_zeta,1.000000,0.5,0.29194993029038113,0.13325123488903046,0.4507669036587079,-0.12384428891042869,0.291950,-0.123846,0.450767,0.019677,0.009839,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_001901_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s3/outputs/condition_prediction_finetune_lsf1p0_lcca0p5_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5773059057730591,0.5777196598982506,0.5760354061526486,0.5773059129714966,1.2229591608047485,,,,hidden,512,409600,temporal_conv,0.5879230258792303,0.5884872184946389,0.5890374369816431,0.5879230258792303,2.747742841641108,,,
128,4,1.0,0.5,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_005827_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s4,7,best_val_zeta,1.000000,0.5,0.29689441869656247,0.1338453283533454,0.4434439651668072,-0.12267763447016478,0.296894,-0.122679,0.443444,0.023346,0.011673,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca0p5_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_005827_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca0.5_sig10.0_s4/outputs/condition_prediction_finetune_lsf1p0_lcca0p5_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5852687458526875,0.5867886392426133,0.5856989942848909,0.5852687358856201,1.5419455766677856,,,,hidden,512,409600,temporal_conv,0.5885865958858659,0.5904193212153211,0.5863932469994101,0.5885865958858659,2.592118968566259,,,
128,0,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_013121_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,5,best_val_zeta,1.000000,1.0,0.2909568026661873,0.039775296580046415,0.135988250374794,-0.03786789005001386,0.290957,-0.037868,0.135988,0.001686,0.001686,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_013121_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5653616456536165,0.5613782229483053,0.5563255157243214,0.5653616786003113,2.499483585357666,,,,hidden,512,409600,temporal_conv,0.5620437956204379,0.5618817442983288,0.5618473022516276,0.5620437956204379,2.5910363644361496,,,
128,1,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_020650_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,11,best_val_zeta,1.000000,1.0,0.2913445432980855,0.0780545895298322,0.26494141295552254,-0.07214144337922335,0.291345,-0.072142,0.264941,0.005465,0.005465,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_020650_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5646980756469807,0.5651028687973858,0.5675320313040679,0.5646981000900269,1.5528134107589722,,,,hidden,512,409600,temporal_conv,0.5633709356337093,0.5627655957812616,0.5637263722057547,0.5633709356337093,1.4773898273706436,,,
128,2,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_023952_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,10,best_val_zeta,1.000000,1.0,0.28634778782725334,0.05916268021489183,0.20302987222870192,-0.05516952214141687,0.286348,-0.055170,0.203030,0.004086,0.004086,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_023952_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5965494359654944,0.5969796029568785,0.5979200779490565,0.5965494513511658,1.8145166635513306,,,,hidden,512,409600,temporal_conv,0.5919044459190445,0.592074738125306,0.591399249025788,0.5919044459190445,1.8550702979167302,,,
128,3,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_031431_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,10,best_val_zeta,1.000000,1.0,0.2909497668345769,0.06604989307622115,0.22535709664225578,-0.06082675761232773,0.290950,-0.060827,0.225357,0.005339,0.005339,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_031431_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5746516257465163,0.5750380051436643,0.5730928111336596,0.5746516585350037,1.1654491424560547,,,,hidden,512,409600,temporal_conv,0.5773059057730591,0.5775364162024519,0.5787033152051961,0.5773059057730591,2.6982900897661843,,,
128,4,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_035035_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,26,best_val_zeta,1.000000,1.0,0.2942809412876765,0.37202272812525433,1.262600580851237,-0.3143917458752791,0.294281,-0.314418,1.262601,0.061151,0.061151,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep/logs/lsf1p0_lcca1p0_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_035035_d128_h256_dep2_bs128_ep50_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5507631055076311,0.5515637243155002,0.546013459293616,0.5507631301879883,1.539116621017456,,,,hidden,512,409600,temporal_conv,0.5680159256801592,0.5657873309583648,0.564957319757463,0.5680159256801592,2.2721266746520996,,,
