config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_zeta,4,0.2946928745,0.2861906764,-0.008502198117,-0.0215371097,0.004532713463,0.01303491158,-2.075793826,1,3,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_mean_plane_zeta,4,0.2863658778,0.2804094332,-0.005956444623,-0.02149557577,0.009582686525,0.01553913115,-1.219892219,1,3,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_s,4,0.1255216281,0.3750240766,0.2495024485,0.2253525914,0.2736523056,0.02414985707,32.87920683,4,0,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_c_plus,4,0.4239091144,1.299957944,0.8760488294,0.8567397871,0.8953578717,0.01930904232,144.3871899,4,0,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",validation_zeta,4,0.294693,0.28619075,-0.00850225,-0.02153631796,0.004531817961,0.01303406796,-2.075940848,1,3,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",validation_c_plus,4,0.42390925,1.29995825,0.876049,0.8567399684,0.8953580316,0.01930903163,144.387298,4,0,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",regularization_whole_batch_total_raw,4,0.00194,0.094724,0.092784,0.07798536136,0.1075826386,0.01479863864,19.95319334,4,0,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_accuracy,4,0.5831902869,0.5559203398,-0.02726994713,-0.05399178129,-0.0005481129786,0.02672183416,-3.247724015,0,4,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_balanced_accuracy,4,0.5832736385,0.5555455881,-0.02772805037,-0.05350078489,-0.001955315852,0.02577273452,-3.42389091,0,4,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_test_accuracy,4,0.5222787372,0.5246093653,0.002330628034,-0.03941843834,0.04407969441,0.04174906638,0.1776590285,3,1,0,0;1;2;3
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_test_balanced_accuracy,4,0.5222681693,0.5245689749,0.002300805603,-0.03940978271,0.04401139392,0.04171058832,0.1755475189,3,1,0,0;1;2;3
