dimension,seed,lambda_start_frac,lambda_block_cca,antisymmetric_planes,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_metric,checkpoint_score,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_val_mean_plane_zeta,embedding_val_s,embedding_val_c_plus,embedding_val_loss,validation_zeta,validation_loss,validation_c_plus,regularization_whole_batch_total_raw,regularization_whole_batch_total_scaled,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_flat_feature_dim,frozen_decoder_decoder_type,frozen_decoder_accuracy,frozen_decoder_balanced_accuracy,frozen_decoder_macro_f1,frozen_decoder_best_val_acc,frozen_decoder_best_val_ce,frozen_decoder_test_accuracy,frozen_decoder_test_balanced_accuracy,frozen_decoder_test_macro_f1
128,0,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_183821_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,45,best_val_mean_plane_zeta,mean_plane_zeta,0.281456070286887,1.000000,1.0,0.2883077434131077,0.281456070286887,0.27939813264778685,0.9634124338626862,-0.24356088574443543,0.288308,-0.243568,0.963413,0.034794,0.034794,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_183821_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5446960667461264,0.544545497338177,0.5481618848872569,0.5446960926055908,1.2719225883483887,0.5916666666666667,0.5916666666666667,0.5919282468493143
128,1,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_185836_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,30,best_val_mean_plane_zeta,mean_plane_zeta,0.28602248217378345,1.000000,1.0,0.288468283201967,0.28602248217378345,0.3256953539592879,1.1244790639196123,-0.2821715846657753,0.288468,-0.282184,1.124479,0.044876,0.044876,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_185836_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5520334928229665,0.5521199278016029,0.5530586886343469,0.5520334839820862,1.3763253688812256,0.481651376146789,0.481651376146789,0.4854664469769236
128,2,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_191902_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,42,best_val_mean_plane_zeta,mean_plane_zeta,0.29058838529246195,1.000000,1.0,0.30328008958271574,0.29058838529246195,0.34841524277414593,1.1457222487245287,-0.3071409378732954,0.303280,-0.307155,1.145722,0.044841,0.044841,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_191902_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.570321811680572,0.5715527346954599,0.5724827234706786,0.570321798324585,1.1819546222686768,0.469678953626635,0.46949334236064094,0.4665936945647614
128,3,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_193648_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,31,best_val_mean_plane_zeta,mean_plane_zeta,0.27008500695228577,1.000000,1.0,0.27777787085090366,0.27008500695228577,0.23315095901489258,0.8246493722711291,-0.1980247843478407,0.277778,-0.198038,0.824649,0.038217,0.038217,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca1p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_193648_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5721096543504172,0.5747306065413837,0.5677593602859587,0.5721096396446228,1.182106375694275,0.48568019093078757,0.4858623832308043,0.4699975957845277
128,0,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_195620_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,50,best_val_mean_plane_zeta,mean_plane_zeta,0.28600093509469715,1.000000,10.0,0.2968553900718689,0.28600093509469715,0.108130615736757,0.36336052417755127,-0.0814878379127809,0.296855,-0.081490,0.363361,0.001984,0.019838,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_195620_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5768772348033373,0.5770817420116141,0.5732780181513178,0.576877236366272,1.654908299446106,0.6154761904761905,0.6154761904761905,0.6086589086029829
128,1,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_201554_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,50,best_val_mean_plane_zeta,mean_plane_zeta,0.286443367600441,1.000000,10.0,0.2906195138181959,0.286443367600441,0.13615215037550246,0.46495228580066134,-0.10884314269891807,0.290620,-0.108846,0.464952,0.001433,0.014327,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_201554_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.562200956937799,0.5621332812220897,0.565020300834231,0.5622009634971619,1.8494852781295776,0.4873853211009174,0.48738532110091737,0.48808144317634916
128,2,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_203549_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,47,best_val_mean_plane_zeta,mean_plane_zeta,0.28694769740104675,0.944898,9.44898,0.30122276501996176,0.28694769740104675,0.13204609815563476,0.4368164837360382,-0.10270734876394272,0.301223,-0.102710,0.436817,0.002190,0.020691,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_203549_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.600119189511323,0.6016860516393623,0.6018924257776239,0.6001191735267639,1.2038660049438477,0.5065398335315101,0.5064093883999097,0.499286551995177
128,3,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_205418_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2860715112515858,1.000000,10.0,0.29007382903780254,0.2860715112515858,0.1257576479443482,0.4305071639163153,-0.0943179191755397,0.290074,-0.094321,0.430507,0.002153,0.021529,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf0p1_lcca10p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_205418_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5935637663885578,0.5921934790904484,0.5931010319382101,0.5935637354850769,1.4074636697769165,0.4797136038186158,0.47980177717019823,0.4829946394981863
128,0,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_211501_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2808621802500316,1.000000,2.0,0.3036667342696871,0.2808621802500316,0.11169715970754623,0.3664628661104611,-0.10190074544932161,0.303667,-0.101902,0.366463,0.004385,0.008770,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca2p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca2p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_211501_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5828367103694875,0.5832815926159481,0.5777385617127205,0.5828366875648499,1.566599726676941,0.625,0.625,0.6131802717694947
128,1,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_213503_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,50,best_val_mean_plane_zeta,mean_plane_zeta,0.28574069270065855,1.000000,2.0,0.2984069947685514,0.28574069270065855,0.15185706477080071,0.5060518532991409,-0.13895670643874578,0.298407,-0.138958,0.506052,0.005358,0.010717,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca2p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v2/logs/lsf1p0_lcca2p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260801_213503_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5651913875598086,0.5642627186706287,0.564203437848225,0.565191388130188,1.7097225189208984,0.48509174311926606,0.48509174311926606,0.4839074196813686
