lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.1,10.0,128,-1,embedding_val_zeta,4,0.2946928745,0.2862108047,0.3031749443,0.008482069806
0.1,10.0,128,-1,embedding_val_mean_plane_zeta,4,0.2863658778,0.2856757237,0.287056032,0.0006901541384
0.1,10.0,128,-1,checkpoint_score,4,0.2863658778,0.2856757237,0.287056032,0.0006901541384
0.1,10.0,128,-1,validation_zeta,4,0.294693,0.2862111371,0.3031748629,0.008481862934
0.1,10.0,128,-1,validation_loss,4,-0.09684175,-0.1156821006,-0.07800139943,0.01884035057
0.1,10.0,128,-1,regularization_whole_batch_total_raw,4,0.00194,0.001383561602,0.002496438398,0.0005564383976
0.1,10.0,128,-1,checkpoint_regularization_lambda,4,9.862245,9.423847109,10.30064289,0.4383978908
0.1,10.0,128,-1,frozen_decoder_accuracy,4,0.5831902869,0.5560211372,0.6103594366,0.02716914974
0.1,10.0,128,-1,frozen_decoder_balanced_accuracy,4,0.5832736385,0.5556541907,0.6108930863,0.02761944782
0.1,10.0,128,-1,frozen_decoder_macro_f1,4,0.5833229442,0.556127084,0.6105188044,0.02719586019
0.1,10.0,128,-1,frozen_decoder_best_val_acc,4,0.5831902772,0.5560211504,0.610359404,0.02716912679
0.1,10.0,128,-1,frozen_decoder_best_val_ce,4,1.528930813,1.079759502,1.978102124,0.4491713108
0.1,10.0,128,-1,frozen_decoder_test_accuracy,4,0.5222787372,0.4217969766,0.6227604978,0.1004817606
0.1,10.0,128,-1,frozen_decoder_test_balanced_accuracy,4,0.5222681693,0.421800587,0.6227357516,0.1004675823
0.1,10.0,128,-1,frozen_decoder_test_macro_f1,4,0.5197553858,0.4248254404,0.6146853312,0.09492994541
1.0,0.5,128,-1,embedding_val_zeta,4,0.2861906764,0.2663414336,0.3060399191,0.01984924274
1.0,0.5,128,-1,embedding_val_mean_plane_zeta,4,0.2804094332,0.2642445503,0.2965743161,0.01616488293
1.0,0.5,128,-1,checkpoint_score,4,0.2804094332,0.2642445503,0.2965743161,0.01616488293
1.0,0.5,128,-1,validation_zeta,4,0.28619075,0.266342044,0.306039456,0.01984870599
1.0,0.5,128,-1,validation_loss,4,-0.329993,-0.3690379769,-0.2909480231,0.03904497693
1.0,0.5,128,-1,regularization_whole_batch_total_raw,4,0.094724,0.07941099508,0.1100370049,0.01531300492
1.0,0.5,128,-1,checkpoint_regularization_lambda,4,0.5,0.5,0.5,0
1.0,0.5,128,-1,frozen_decoder_accuracy,4,0.5559203398,0.5412806208,0.5705600588,0.014639719
1.0,0.5,128,-1,frozen_decoder_balanced_accuracy,4,0.5555455881,0.539963684,0.5711274923,0.01558190416
1.0,0.5,128,-1,frozen_decoder_macro_f1,4,0.5567425703,0.5404921023,0.5729930382,0.01625046795
1.0,0.5,128,-1,frozen_decoder_best_val_acc,4,0.5559203327,0.54128063,0.5705600353,0.01463970262
1.0,0.5,128,-1,frozen_decoder_best_val_ce,4,1.222485602,0.9810592082,1.463911996,0.2414263937
1.0,0.5,128,-1,frozen_decoder_test_accuracy,4,0.5246093653,0.4611375394,0.5880811912,0.0634718259
1.0,0.5,128,-1,frozen_decoder_test_balanced_accuracy,4,0.5245689749,0.4610973161,0.5880406337,0.06347165878
1.0,0.5,128,-1,frozen_decoder_test_macro_f1,4,0.5239448078,0.4617096849,0.5861799307,0.06223512287
1.0,1.0,128,-1,embedding_val_zeta,4,0.2894584968,0.2727752168,0.3061417767,0.01668327995
1.0,1.0,128,-1,embedding_val_mean_plane_zeta,4,0.2820379862,0.2680389035,0.2960370689,0.01399908271
1.0,1.0,128,-1,checkpoint_score,4,0.2820379862,0.2680389035,0.2960370689,0.01399908271
1.0,1.0,128,-1,validation_zeta,4,0.2894585,0.2727753598,0.3061416402,0.01668314025
1.0,1.0,128,-1,validation_loss,4,-0.25773625,-0.3335188308,-0.1819536692,0.07578258076
1.0,1.0,128,-1,regularization_whole_batch_total_raw,4,0.040682,0.03269244938,0.04867155062,0.007989550623
1.0,1.0,128,-1,checkpoint_regularization_lambda,4,1,1,1,0
1.0,1.0,128,-1,frozen_decoder_accuracy,4,0.5597902564,0.5382316163,0.5813488965,0.02155864007
1.0,1.0,128,-1,frozen_decoder_balanced_accuracy,4,0.5607371916,0.5373290815,0.5841453017,0.02340811008
1.0,1.0,128,-1,frozen_decoder_macro_f1,4,0.5603656643,0.5419044127,0.5788269159,0.01846125162
1.0,1.0,128,-1,frozen_decoder_best_val_acc,4,0.5597902536,0.5382316388,0.5813488685,0.02155861487
1.0,1.0,128,-1,frozen_decoder_best_val_ce,4,1.253077239,1.105970003,1.400184475,0.1471072358
1.0,1.0,128,-1,frozen_decoder_test_accuracy,4,0.5071692968,0.4168833209,0.5974552728,0.09028597593
1.0,1.0,128,-1,frozen_decoder_test_balanced_accuracy,4,0.5071684421,0.416853704,0.5974831802,0.0903147381
1.0,1.0,128,-1,frozen_decoder_test_macro_f1,4,0.503496496,0.4087808385,0.5982121536,0.09471565759
1.0,10.0,128,-1,embedding_val_zeta,4,0.2711364574,0.2587759475,0.2834969672,0.01236050984
1.0,10.0,128,-1,embedding_val_mean_plane_zeta,4,0.2688249584,0.2654525518,0.2721973649,0.003372406555
