baseline_lambda_start_frac,baseline_lambda_block_cca,baseline_dimension,baseline_antisymmetric_planes,lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
1.0,1.0,128,-1,0.1,10.0,128,-1,embedding_val_zeta,5,0;1;2;3;4,0.2899696018,0.2968219838,0.006852381996,-0.0007780995619,0.01448286355,0.007630481558,2.493323954,0.06724483374
1.0,1.0,128,-1,0.1,10.0,128,-1,embedding_val_mean_plane_zeta,5,0;1;2;3;4,0.2818859903,0.2924974833,0.01061149303,0.003439784354,0.01778320171,0.00717170868,4.108118331,0.01475480536
1.0,1.0,128,-1,0.1,10.0,128,-1,checkpoint_score,5,0;1;2;3;4,0.2818859903,0.2924974833,0.01061149303,0.003439784354,0.01778320171,0.00717170868,4.108118331,0.01475480536
1.0,1.0,128,-1,0.1,10.0,128,-1,validation_zeta,5,0;1;2;3;4,0.2899696,0.2968222,0.0068526,-0.0007780535817,0.01448325358,0.007630653582,2.493347067,0.06724317116
1.0,1.0,128,-1,0.1,10.0,128,-1,validation_loss,5,0;1;2;3;4,-0.2652964,-0.165231,0.1000654,0.04764405823,0.1524867418,0.05242134177,5.299866059,0.006087724697
1.0,1.0,128,-1,0.1,10.0,128,-1,regularization_whole_batch_total_raw,5,0;1;2;3;4,0.0461462,0.002394,-0.0437522,-0.05331724481,-0.03418715519,0.009565044811,-12.69994903,0.0002214125545
1.0,1.0,128,-1,0.1,10.0,128,-1,checkpoint_regularization_lambda,5,0;1;2;3;4,1,8.297298,7.297298,5.942380678,8.652215322,1.354917322,14.95334585,0.0001165088836
1.0,1.0,128,-1,0.1,10.0,128,-1,frozen_decoder_accuracy,5,0;1;2;3;4,0.5691671276,0.576689326,0.007522198334,-0.005865389437,0.0209097861,0.01338758777,1.560024935,0.1937688309
1.0,1.0,128,-1,0.1,10.0,128,-1,frozen_decoder_balanced_accuracy,5,0;1;2;3;4,0.570240001,0.577322655,0.007082653995,-0.005875848126,0.02004115612,0.01295850212,1.517505637,0.2037427353
1.0,1.0,128,-1,0.1,10.0,128,-1,frozen_decoder_macro_f1,5,0;1;2;3;4,0.5693585856,0.5760101921,0.006651606551,-0.007876986844,0.02118019994,0.01452859339,1.271136162,0.2725704923
1.0,1.0,128,-1,0.1,10.0,128,-1,frozen_decoder_best_val_acc,5,0;1;2;3;4,0.5691671252,0.5766893268,0.007522201538,-0.005865400746,0.02090980382,0.01338760228,1.560023909,0.1937690656
