rank,attempt,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,d,temporal_filters,filters_per_kernel,kernels,conv_layers,embed_depth,embed_lr,lambda_block_cca,mlp_hidden_dim,mlp_depth,mlp_dropout,mlp_lr,best_embed_val_zeta,frozen_val_zeta,run_dir
1,25,0.6888888888888889,0.685392780594019,0.6768018018018018,0.5111111111111111,0.5070640410314323,0.4942779215719017,128,20,5,"15,31,63,127",2,2,0.001,1.0,512,3,0.4,0.001,0.1137673407793045,0.0763874277472496,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/25_acc_d128_tf20_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
2,29,0.6333333333333333,0.6422979110672609,0.6199731109288124,0.4666666666666667,0.4611977696216827,0.4273367576046505,128,20,5,"15,31,63,127",2,2,0.001,1.0,512,2,0.4,0.001,0.1137673407793045,0.0763874277472496,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/29_acc_d128_tf20_k15-31-63-127_cl2_ed2_lr0.001_mh512_md2_mlr0.001
3,30,0.6333333333333333,0.6285084884156091,0.6228190860543802,0.4222222222222222,0.4170078110295501,0.3941608030772117,128,20,5,"15,31,63,127",2,2,0.001,1.0,512,3,0.0,0.001,0.1137673407793045,0.0763874426484108,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/30_acc_d128_tf20_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
4,26,0.6111111111111112,0.617289830912122,0.6018481518481518,0.45555555555555555,0.45200451722190854,0.4518398268398268,128,20,5,"15,31,63,127",2,2,0.001,1.0,128,3,0.4,0.001,0.1137673407793045,0.0763874351978302,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/26_acc_d128_tf20_k15-31-63-127_cl2_ed2_lr0.001_mh128_md3_mlr0.001
5,27,0.6111111111111112,0.617289830912122,0.601981658692185,0.43333333333333335,0.4244071146245059,0.38800688360450564,128,20,5,"15,31,63,127",2,2,0.001,1.0,256,3,0.4,0.001,0.11376731842756271,0.0763874351978302,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/27_acc_d128_tf20_k15-31-63-127_cl2_ed2_lr0.001_mh256_md3_mlr0.001
6,16,0.5888888888888889,0.6060711734086347,0.5769459706959706,0.4888888888888889,0.48198404856013555,0.46122686256898404,128,16,4,"15,31,63,127",2,2,0.001,1.0,512,3,0.4,0.001,0.13859409093856812,0.06634833663702011,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/16_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
7,21,0.5777777777777777,0.5906784778688803,0.5679877707861056,0.45555555555555555,0.45032820440429133,0.4215093288777499,128,16,4,"15,31,63,127",2,2,0.001,1.0,512,3,0.4,0.0003,0.13859409093856812,0.06634831428527832,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/21_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.0003
8,14,0.5777777777777777,0.5842143537576974,0.5694302721088436,0.4666666666666667,0.4621447393186524,0.4417919245505452,128,16,4,"15,31,63,127",2,2,0.001,1.0,512,2,0.4,0.001,0.13859409093856812,0.06634832173585892,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/14_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md2_mlr0.001
9,12,0.5666666666666667,0.5677861225461845,0.5598707439132972,0.5,0.4967356013551666,0.48743835883855746,128,16,4,"15,31,63,127",2,2,0.001,1.0,256,2,0.4,0.001,0.13859409093856812,0.06634832918643951,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/12_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh256_md2_mlr0.001
10,20,0.5555555555555556,0.5679051985166537,0.5454392191659272,0.4888888888888889,0.48297807265198567,0.46012145748987854,128,16,4,"15,31,63,127",2,2,0.001,1.0,512,3,0.2,0.001,0.13859409093856812,0.06634832173585892,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/20_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
11,6,0.5555555555555556,0.5539414146225292,0.5466617933723197,0.5,0.49574157726331636,0.49325316374496697,128,16,4,"15,31,63,127",2,2,0.001,1.0,256,2,0.2,0.001,0.13859409093856812,0.06634832173585892,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/06_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh256_md2_mlr0.001
12,23,0.5444444444444444,0.5489699928554418,0.5291897129476362,0.6,0.5933323922454358,0.5689020939445387,256,16,4,"15,31,63,127",2,2,0.001,1.0,512,3,0.4,0.001,0.1766841560602188,0.10025549679994583,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/23_acc_d256_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
13,22,0.5444444444444444,0.5451872044364304,0.5406672353807038,0.36666666666666664,0.3688005834744965,0.36435528158631875,64,16,4,"15,31,63,127",2,2,0.001,1.0,512,3,0.4,0.001,0.1080114021897316,0.07859160006046295,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/22_acc_d64_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md3_mlr0.001
14,8,0.5444444444444444,0.5443260300071445,0.5386972028309414,0.4777777777777778,0.47310253152644455,0.4439280018227386,128,16,4,"15,31,63,127",2,2,0.001,1.0,512,2,0.2,0.001,0.13859409093856812,0.06634831428527832,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/08_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh512_md2_mlr0.001
15,17,0.5444444444444444,0.5372410097642296,0.5293557761624414,0.4111111111111111,0.4067617165443252,0.3899792771973223,128,16,4,"15,31,63,127",2,2,0.001,1.0,128,3,0.4,0.001,0.13859409093856812,0.06634832173585892,/home/omo26/Non-Rev-Owen/physionetmi/condition_accuracy_sweep_6subj/runs/17_acc_d128_tf16_k15-31-63-127_cl2_ed2_lr0.001_mh128_md3_mlr0.001
