config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=256,embedding_val_zeta,4,0.2711364574,0.2663107208,-0.004825736529,-0.01593909361,0.006287620557,0.01111335709,-1.381908929,1,3,0,0;1;2;3
dimension=128,dimension=256,embedding_val_mean_plane_zeta,4,0.2688249584,0.2617498554,-0.007075103,-0.009259707886,-0.004890498113,0.002184604887,-10.30673123,0,4,0,0;1;2;3
dimension=128,dimension=256,embedding_val_s,4,0.01544377131,0.0158609224,0.0004171510892,-0.002758006933,0.003592309112,0.003175158022,0.4181086211,3,1,0,0;1;2;3
dimension=128,dimension=256,embedding_val_c_plus,4,0.05359391276,0.05616049109,0.002566578332,-0.007367594401,0.01250075107,0.009934172734,0.822212171,3,1,0,0;1;2;3
dimension=128,dimension=256,validation_zeta,4,0.2711365,0.26631075,-0.00482575,-0.01593784103,0.00628634103,0.01111209103,-1.382070235,1,3,0,0;1;2;3
dimension=128,dimension=256,validation_c_plus,4,0.053594,0.05616075,0.00256675,-0.007367619075,0.01250111908,0.009934369075,0.8222509142,3,1,0,0;1;2;3
dimension=128,dimension=256,regularization_whole_batch_total_raw,4,0.0002715,0.000305,3.35e-05,1.024054809e-05,5.675945191e-05,2.325945191e-05,4.583596882,4,0,0,0;1;2;3
dimension=128,dimension=256,frozen_decoder_accuracy,4,0.5839485874,0.5823214937,-0.001627093658,-0.03808643306,0.03483224574,0.0364593394,-0.1420250143,2,2,0,0;1;2;3
dimension=128,dimension=256,frozen_decoder_balanced_accuracy,4,0.5844005026,0.5819991888,-0.002401313823,-0.040755975,0.03595334736,0.03835466118,-0.1992470294,2,2,0,0;1;2;3
dimension=128,dimension=256,frozen_decoder_test_accuracy,4,0.5384948284,0.5258535293,-0.01264129915,-0.07142995056,0.04614735227,0.05878865142,-0.6843200993,1,3,0,0;1;2;3
dimension=128,dimension=256,frozen_decoder_test_balanced_accuracy,4,0.5385026235,0.5258787574,-0.01262386611,-0.07127848514,0.04603075292,0.05865461903,-0.6849379764,1,3,0,0;1;2;3
dimension=128,dimension=512,embedding_val_zeta,4,0.2711364574,0.2446753457,-0.02646111165,-0.03749008712,-0.01543213618,0.01102897547,-7.63543878,0,4,0,0;1;2;3
dimension=128,dimension=512,embedding_val_mean_plane_zeta,4,0.2688249584,0.2500706533,-0.01875430505,-0.02201690073,-0.01549170937,0.00326259568,-18.29358421,0,4,0,0;1;2;3
dimension=128,dimension=512,embedding_val_s,4,0.01544377131,0.01467962881,-0.0007641425057,-0.00436749178,0.002839206769,0.003603349275,-0.6748839229,3,1,0,0;1;2;3
dimension=128,dimension=512,embedding_val_c_plus,4,0.05359391276,0.0551923852,0.001598472441,-0.01010658554,0.01330353042,0.01170505798,0.4346029487,3,1,0,0;1;2;3
dimension=128,dimension=512,validation_zeta,4,0.2711365,0.2446755,-0.026461,-0.037489563,-0.015432437,0.011028563,-7.63569213,0,4,0,0;1;2;3
