dimension,seed,lambda_start_frac,lambda_block_cca,antisymmetric_planes,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_metric,checkpoint_score,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_val_mean_plane_zeta,embedding_val_s,embedding_val_c_plus,embedding_val_loss,validation_zeta,validation_loss,validation_c_plus,regularization_whole_batch_total_raw,regularization_whole_batch_total_scaled,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_flat_feature_dim,frozen_decoder_decoder_type,frozen_decoder_accuracy,frozen_decoder_balanced_accuracy,frozen_decoder_macro_f1,frozen_decoder_best_val_acc,frozen_decoder_best_val_ce,frozen_decoder_test_accuracy,frozen_decoder_test_balanced_accuracy,frozen_decoder_test_macro_f1
64,0,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_151812_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,50,best_val_mean_plane_zeta,mean_plane_zeta,0.27492513188294004,1.000000,10.0,0.2912356363875525,0.27492513188294004,0.021596439581896578,0.07177982346287795,-0.016147849881755456,0.291236,-0.016148,0.071780,0.000273,0.002726,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_151812_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/condition_prediction_finetune_d64_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.564958283671037,0.565741619302839,0.5634201655900045,0.5649582743644714,1.7180896997451782,0.5952380952380952,0.5952380952380952,0.589444697493321
64,1,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_154349_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,50,best_val_mean_plane_zeta,mean_plane_zeta,0.272538138287408,1.000000,10.0,0.29155399969645907,0.272538138287408,0.02654520987666079,0.08814952655562333,-0.019578418860744153,0.291554,-0.019579,0.088150,0.000291,0.002906,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_154349_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/condition_prediction_finetune_d64_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5980861244019139,0.5979746772475658,0.5989369074631034,0.5980861186981201,1.502822756767273,0.5011467889908257,0.5011467889908257,0.5032982019671903
64,2,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_160753_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2729274311235973,1.000000,10.0,0.27238684466906954,0.2729274311235973,0.01338966962482248,0.04652419154133115,-0.008760781160422735,0.272387,-0.008761,0.046524,0.000227,0.002275,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_160753_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/condition_prediction_finetune_d64_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5935637663885578,0.5970073584352231,0.5888316318873568,0.5935637354850769,1.1829512119293213,0.5219976218787158,0.5218178740690589,0.5095779828830245
64,3,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_163305_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,50,best_val_mean_plane_zeta,mean_plane_zeta,0.27101626992225647,1.000000,10.0,0.27045597987515585,0.27101626992225647,0.013532542357487338,0.04756817780435085,-0.0072944568070982185,0.270456,-0.007295,0.047568,0.000318,0.003181,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d64_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_163305_d64_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/condition_prediction_finetune_d64_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5834326579261025,0.5815592167058088,0.5876262517843718,0.583432674407959,1.0337575674057007,0.48448687350835323,0.48442128047391203,0.4883410584497541
128,0,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_165736_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2696818155901773,1.000000,10.0,0.2823245014463152,0.2696818155901773,0.017499287479690144,0.05974374472030571,-0.01180076043653701,0.282324,-0.011801,0.059744,0.000265,0.002653,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_165736_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/condition_prediction_finetune_d128_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5780691299165673,0.5790482724241008,0.5781062010988879,0.5780691504478455,1.2894312143325806,0.6321428571428571,0.6321428571428571,0.6284663055303874
128,1,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_172337_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2702949068375996,1.000000,10.0,0.26918111528669086,0.2702949068375996,0.017493958052779948,0.05984009749123028,-0.010458418467481221,0.269181,-0.010459,0.059840,0.000284,0.002841,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_172337_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/condition_prediction_finetune_d128_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5771531100478469,0.5762103536136957,0.5778313287244178,0.5771530866622925,1.8810279369354248,0.5022935779816514,0.5022935779816513,0.5024150592147346
128,2,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_203856_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,50,best_val_mean_plane_zeta,mean_plane_zeta,0.26964566111564636,1.000000,10.0,0.26868864468165804,0.26964566111564636,0.01338228244068367,0.04692875726946762,-0.008061082335188985,0.268689,-0.008061,0.046929,0.000273,0.002735,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_203856_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/condition_prediction_finetune_d128_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.6013110846245531,0.6042012967474032,0.5954609402274111,0.6013110876083374,1.1280876398086548,0.5410225921521997,0.5408203565786505,0.5315277627294313
128,3,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_210516_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,50,best_val_mean_plane_zeta,mean_plane_zeta,0.26567744995866505,1.000000,10.0,0.2643515680517469,0.26567744995866505,0.01339955727702805,0.04786305156137262,-0.00717483411010887,0.264352,-0.007175,0.047863,0.000264,0.002636,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d128_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_210516_d128_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/condition_prediction_finetune_d128_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5792610250297974,0.5781420876664153,0.5744628768992976,0.5792610049247742,1.454304575920105,0.4785202863961814,0.47875370243791293,0.47327822637752237
256,0,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_212905_d256_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,50,best_val_mean_plane_zeta,mean_plane_zeta,0.26371997594833374,1.000000,10.0,0.2700275353022984,0.26371997594833374,0.015199053766472,0.05374170706740448,-0.008786688625280346,0.270028,-0.008787,0.053742,0.000317,0.003168,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d256_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d256_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_212905_d256_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/condition_prediction_finetune_d256_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5584028605482717,0.5581613327548224,0.5593630165799508,0.5584028363227844,2.2694571018218994,0.5976190476190476,0.5976190476190477,0.5956907981498846
256,1,1.0,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_220001_d256_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2613228421126093,1.000000,10.0,0.26010282231228693,0.2613228421126093,0.017797561894570078,0.0624267120978662,-0.009714720005701696,0.260103,-0.009715,0.062427,0.000301,0.003013,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d256_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/dim_train_finetune_sweep/logs/d256_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260802_220001_d256_h256_dep2_bs128_ep50_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/condition_prediction_finetune_d256_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.590311004784689,0.588026435035458,0.5853038483951747,0.5903109908103943,2.025054931640625,0.4896788990825688,0.4896788990825688,0.4792987887633964
