dimension,lambda_start_frac,lambda_block_cca,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
128,1.0,10.0,-1,embedding_val_zeta,4,0.2711364574,0.2587759475,0.2834969672,0.01236050984
128,1.0,10.0,-1,embedding_val_mean_plane_zeta,4,0.2688249584,0.2654525518,0.2721973649,0.003372406555
128,1.0,10.0,-1,checkpoint_score,4,0.2688249584,0.2654525518,0.2721973649,0.003372406555
128,1.0,10.0,-1,validation_zeta,4,0.2711365,0.2587766173,0.2834963827,0.01235988266
128,1.0,10.0,-1,validation_loss,4,-0.009374,-0.01276534963,-0.005982650368,0.003391349632
128,1.0,10.0,-1,regularization_whole_batch_total_raw,4,0.0002715,0.000256772229,0.000286227771,1.472777103e-05
128,1.0,10.0,-1,checkpoint_regularization_lambda,4,10,10,10,0
128,1.0,10.0,-1,frozen_decoder_accuracy,4,0.5839485874,0.5654790607,0.6024181142,0.01846952675
128,1.0,10.0,-1,frozen_decoder_balanced_accuracy,4,0.5844005026,0.56331126,0.6054897452,0.02108924259
128,1.0,10.0,-1,frozen_decoder_macro_f1,4,0.5814653367,0.5663864181,0.5965442554,0.01507891866
128,1.0,10.0,-1,frozen_decoder_best_val_acc,4,0.5839485824,0.5654790472,0.6024181176,0.01846953517
128,1.0,10.0,-1,frozen_decoder_best_val_ce,4,1.438212842,0.9228777825,1.953547901,0.5153350592
128,1.0,10.0,-1,frozen_decoder_test_accuracy,4,0.5384948284,0.4310280763,0.6459615806,0.1074667522
128,1.0,10.0,-1,frozen_decoder_test_balanced_accuracy,4,0.5385026235,0.4311495148,0.6458557322,0.1073531087
128,1.0,10.0,-1,frozen_decoder_test_macro_f1,4,0.5339218385,0.4267267956,0.6411168813,0.1071950428
256,1.0,10.0,-1,embedding_val_zeta,4,0.2663107208,0.259389511,0.2732319307,0.006921209864
256,1.0,10.0,-1,embedding_val_mean_plane_zeta,4,0.2617498554,0.2578909055,0.2656088053,0.003858949912
256,1.0,10.0,-1,checkpoint_score,4,0.2617498554,0.2578909055,0.2656088053,0.003858949912
256,1.0,10.0,-1,validation_zeta,4,0.26631075,0.2593895145,0.2732319855,0.006921235457
256,1.0,10.0,-1,validation_loss,4,-0.00895025,-0.009790192155,-0.008110307845,0.0008399421546
256,1.0,10.0,-1,regularization_whole_batch_total_raw,4,0.000305,0.0002885659179,0.0003214340821,1.643408205e-05
256,1.0,10.0,-1,checkpoint_regularization_lambda,4,10,10,10,0
256,1.0,10.0,-1,frozen_decoder_accuracy,4,0.5823214937,0.5527958919,0.6118470956,0.02952560184
256,1.0,10.0,-1,frozen_decoder_balanced_accuracy,4,0.5819991888,0.5526379171,0.6113604605,0.02936127171
256,1.0,10.0,-1,frozen_decoder_macro_f1,4,0.5818983898,0.5540023018,0.6097944778,0.02789608802
256,1.0,10.0,-1,frozen_decoder_best_val_acc,4,0.5823214799,0.5527958744,0.6118470854,0.02952560549
256,1.0,10.0,-1,frozen_decoder_best_val_ce,4,1.877292663,1.183712912,2.570872414,0.6935797508
256,1.0,10.0,-1,frozen_decoder_test_accuracy,4,0.5258535293,0.4474358398,0.6042712187,0.07841768947
256,1.0,10.0,-1,frozen_decoder_test_balanced_accuracy,4,0.5258787574,0.4474601817,0.6042973332,0.07841857576
256,1.0,10.0,-1,frozen_decoder_test_macro_f1,4,0.5230232641,0.442316429,0.6037300992,0.08070683512
512,1.0,10.0,-1,embedding_val_zeta,4,0.2446753457,0.2376325629,0.2517181285,0.007042782802
512,1.0,10.0,-1,embedding_val_mean_plane_zeta,4,0.2500706533,0.2457294568,0.2544118499,0.004341196558
