baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,baseline_antisymmetric_planes,dimension,lambda_start_frac,lambda_block_cca,antisymmetric_planes,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
64,1.0,2.0,-1,128,1.0,2.0,-1,embedding_val_zeta,5,0;1;2;3;4,0.2981554453,0.2992879714,0.001132526142,-0.007097678667,0.009362730951,0.008230204809,0.3820557006,0.7218505633
64,1.0,2.0,-1,128,1.0,2.0,-1,embedding_val_mean_plane_zeta,5,0;1;2;3;4,0.2869107127,0.291154867,0.004244154266,0.001104543307,0.007383765225,0.003139610959,3.753223406,0.01989137916
64,1.0,2.0,-1,128,1.0,2.0,-1,checkpoint_score,5,0;1;2;3;4,0.2869107127,0.291154867,0.004244154266,0.001104543307,0.007383765225,0.003139610959,3.753223406,0.01989137916
64,1.0,2.0,-1,128,1.0,2.0,-1,validation_zeta,5,0;1;2;3;4,0.2981554,0.2992878,0.0011324,-0.007097971503,0.009362771503,0.008230371503,0.3820054096,0.7218850492
64,1.0,2.0,-1,128,1.0,2.0,-1,validation_loss,5,0;1;2;3;4,-0.2735812,-0.2261056,0.0474756,-0.07004430391,0.1649955039,0.1175199039,1.121626149,0.324801731
64,1.0,2.0,-1,128,1.0,2.0,-1,regularization_whole_batch_total_raw,5,0;1;2;3;4,0.0062606,0.0149276,0.008667,-0.0005171936105,0.01785119361,0.009184193611,2.620093908,0.05879358348
64,1.0,2.0,-1,128,1.0,2.0,-1,checkpoint_regularization_lambda,5,0;1;2;3;4,2,2,0,0,0,0,0,1
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_accuracy,5,0;1;2;3;4,0.5755012803,0.5614155323,-0.01408574801,-0.04186826636,0.01369677033,0.02778251835,-1.407658789,0.2319905292
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_balanced_accuracy,5,0;1;2;3;4,0.5759866885,0.561283724,-0.01470296445,-0.04162901146,0.01222308257,0.02692604701,-1.516077486,0.2040867055
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_macro_f1,5,0;1;2;3;4,0.574546899,0.5619975691,-0.01254932991,-0.03588986939,0.01079120958,0.02334053948,-1.492790071,0.2097795961
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_best_val_acc,5,0;1;2;3;4,0.5755012751,0.5614155293,-0.01408574581,-0.04186825536,0.01369676374,0.02778250955,-1.407659014,0.2319904673
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_best_val_ce,5,0;1;2;3;4,1.356937003,1.451157475,0.09422047138,-0.0524374031,0.2408783459,0.1466578745,1.783729428,0.1490352082
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_test_accuracy,5,0;1;2;3;4,0.5075671386,0.4975083341,-0.01005880452,-0.02696680888,0.00684919984,0.01690800436,-1.651745409,0.1739306695
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_test_balanced_accuracy,5,0;1;2;3;4,0.5075111832,0.4975013905,-0.01000979269,-0.02701737757,0.006997792185,0.01700758488,-1.634073275,0.1775820616
64,1.0,2.0,-1,128,1.0,2.0,-1,frozen_decoder_test_macro_f1,5,0;1;2;3;4,0.505731699,0.498698228,-0.007033470986,-0.02179556929,0.007728627322,0.01476209831,-1.322850294,0.256442642
64,1.0,2.0,-1,256,1.0,2.0,-1,embedding_val_zeta,5,0;1;2;3;4,0.2981554453,0.3044601785,0.006304733242,0.001113765763,0.01149570072,0.005190967479,3.372154771,0.02798783454
64,1.0,2.0,-1,256,1.0,2.0,-1,embedding_val_mean_plane_zeta,5,0;1;2;3;4,0.2869107127,0.2968447179,0.009934005141,0.003209793988,0.01665821629,0.006724211153,4.101777788,0.01483146067
64,1.0,2.0,-1,256,1.0,2.0,-1,checkpoint_score,5,0;1;2;3;4,0.2869107127,0.2968447179,0.009934005141,0.003209793988,0.01665821629,0.006724211153,4.101777788,0.01483146067
64,1.0,2.0,-1,256,1.0,2.0,-1,validation_zeta,5,0;1;2;3;4,0.2981554,0.3044602,0.0063048,0.001113686638,0.01149591336,0.005191113362,3.37209571,0.0279893647
64,1.0,2.0,-1,256,1.0,2.0,-1,validation_loss,5,0;1;2;3;4,-0.2735812,-0.1700892,0.103492,0.01282520312,0.1941587969,0.09066679688,3.169185046,0.03388425214
64,1.0,2.0,-1,256,1.0,2.0,-1,regularization_whole_batch_total_raw,5,0;1;2;3;4,0.0062606,0.0208548,0.0145942,0.003713777971,0.02547462203,0.01088042203,3.724119804,0.02040111327
64,1.0,2.0,-1,256,1.0,2.0,-1,checkpoint_regularization_lambda,5,0;1;2;3;4,2,2,0,0,0,0,0,1
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_accuracy,5,0;1;2;3;4,0.5755012803,0.5639240723,-0.011577208,-0.03443812868,0.01128371268,0.02286092068,-1.406044968,0.2324335795
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_balanced_accuracy,5,0;1;2;3;4,0.5759866885,0.5646977122,-0.01128897627,-0.03411352424,0.01153557171,0.02282454798,-1.373224255,0.2416284373
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_macro_f1,5,0;1;2;3;4,0.574546899,0.561510507,-0.01303639198,-0.03425341205,0.008180628089,0.02121702007,-1.705933566,0.1632162917
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_best_val_acc,5,0;1;2;3;4,0.5755012751,0.5639240623,-0.01157721281,-0.03443814685,0.01128372123,0.02286093404,-1.406044731,0.2324336448
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_best_val_ce,5,0;1;2;3;4,1.356937003,1.263602877,-0.09333412647,-0.3622051889,0.1755369359,0.2688710624,-0.9637968337,0.3897265494
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_test_accuracy,5,0;1;2;3;4,0.5075671386,0.5099302535,0.002363114891,-0.02403772589,0.02876395567,0.02640084078,0.2485170387,0.8159721907
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_test_balanced_accuracy,5,0;1;2;3;4,0.5075111832,0.5099336422,0.002422459035,-0.02384997811,0.02869489618,0.02627243714,0.2560030686,0.810574911
64,1.0,2.0,-1,256,1.0,2.0,-1,frozen_decoder_test_macro_f1,5,0;1;2;3;4,0.505731699,0.50518981,-0.0005418890693,-0.03436291469,0.03327913655,0.03382102562,-0.04448490921,0.9666500659
64,1.0,2.0,-1,512,1.0,2.0,-1,embedding_val_zeta,5,0;1;2;3;4,0.2981554453,0.2952490044,-0.002906440837,-0.01951119813,0.01369831646,0.0166047573,-0.4859796076,0.6524034948
64,1.0,2.0,-1,512,1.0,2.0,-1,embedding_val_mean_plane_zeta,5,0;1;2;3;4,0.2869107127,0.2876568009,0.0007460881557,-0.01055515247,0.01204732878,0.01130124062,0.1832960537,0.8634817803
64,1.0,2.0,-1,512,1.0,2.0,-1,checkpoint_score,5,0;1;2;3;4,0.2869107127,0.2876568009,0.0007460881557,-0.01055515247,0.01204732878,0.01130124062,0.1832960537,0.8634817803
64,1.0,2.0,-1,512,1.0,2.0,-1,validation_zeta,5,0;1;2;3;4,0.2981554,0.2952488,-0.0029066,-0.01951137624,0.01369817624,0.01660477624,-0.4860056665,0.6523865619
64,1.0,2.0,-1,512,1.0,2.0,-1,validation_loss,5,0;1;2;3;4,-0.2735812,-0.1272192,0.146362,0.04474939571,0.2479746043,0.1016126043,3.999169801,0.01614123281
64,1.0,2.0,-1,512,1.0,2.0,-1,regularization_whole_batch_total_raw,5,0;1;2;3;4,0.0062606,0.0315092,0.0252486,-0.01521120332,0.06570840332,0.04045980332,1.732617218,0.1581976031
64,1.0,2.0,-1,512,1.0,2.0,-1,checkpoint_regularization_lambda,5,0;1;2;3;4,2,2,0,0,0,0,0,1
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_accuracy,5,0;1;2;3;4,0.5755012803,0.5562912387,-0.01921004157,-0.03381509149,-0.004604991662,0.01460504991,-3.65186194,0.02173572297
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_balanced_accuracy,5,0;1;2;3;4,0.5759866885,0.5565519087,-0.01943477976,-0.03325712984,-0.005612429675,0.01382235008,-3.903793407,0.01748528807
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_macro_f1,5,0;1;2;3;4,0.574546899,0.5573356722,-0.01721122676,-0.03316681664,-0.001255636889,0.01595558987,-2.994939496,0.04014186929
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_best_val_acc,5,0;1;2;3;4,0.5755012751,0.5562912345,-0.01921004057,-0.03381510413,-0.004604977008,0.01460506356,-3.651858336,0.02173579209
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_best_val_ce,5,0;1;2;3;4,1.356937003,1.21411972,-0.1428172827,-0.4181035533,0.132468988,0.2752862706,-1.440407269,0.2231797463
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_test_accuracy,5,0;1;2;3;4,0.5075671386,0.5187449037,0.01117776508,-0.008463185683,0.03081871584,0.01964095076,1.580089045,0.1892377067
64,1.0,2.0,-1,512,1.0,2.0,-1,frozen_decoder_test_balanced_accuracy,5,0;1;2;3;4,0.5075111832,0.5187211755,0.01120999228,-0.008402962944,0.0308229475,0.01961295522,1.586906605,0.1877230589
