dimension,lambda_start_frac,lambda_block_cca,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
128,1.0,2.0,-1,embedding_val_zeta,5,0.2992879714,0.2908582891,0.3077176538,0.008429682328
128,1.0,2.0,-1,embedding_val_mean_plane_zeta,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
128,1.0,2.0,-1,checkpoint_score,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
128,1.0,2.0,-1,validation_zeta,5,0.2992878,0.2908580248,0.3077175752,0.008429775188
128,1.0,2.0,-1,validation_loss,5,-0.2261056,-0.3249602977,-0.1272509023,0.09885469772
128,1.0,2.0,-1,regularization_whole_batch_total_raw,5,0.0149276,0.004417280578,0.02543791942,0.01051031942
128,1.0,2.0,-1,checkpoint_regularization_lambda,5,2,2,2,0
128,1.0,2.0,-1,frozen_decoder_accuracy,5,0.5614155323,0.5341778928,0.5886531717,0.02723763943
128,1.0,2.0,-1,frozen_decoder_balanced_accuracy,5,0.561283724,0.5351550321,0.5874124159,0.02612869189
128,1.0,2.0,-1,frozen_decoder_macro_f1,5,0.5619975691,0.5361347234,0.5878604147,0.02586284561
128,1.0,2.0,-1,frozen_decoder_best_val_acc,5,0.5614155293,0.5341778964,0.5886531621,0.02723763283
128,1.0,2.0,-1,frozen_decoder_best_val_ce,5,1.451157475,1.060155162,1.842159787,0.3910023124
128,1.0,2.0,-1,frozen_decoder_test_accuracy,5,0.4975083341,0.4601996245,0.5348170436,0.03730870954
128,1.0,2.0,-1,frozen_decoder_test_balanced_accuracy,5,0.4975013905,0.4602196545,0.5347831266,0.03728173605
128,1.0,2.0,-1,frozen_decoder_test_macro_f1,5,0.498698228,0.4612015376,0.5361949185,0.03749669048
256,1.0,2.0,-1,embedding_val_zeta,5,0.3044601785,0.2964126995,0.3125076576,0.008047479037
256,1.0,2.0,-1,embedding_val_mean_plane_zeta,5,0.2968447179,0.2859715182,0.3077179175,0.01087319965
256,1.0,2.0,-1,checkpoint_score,5,0.2968447179,0.2859715182,0.3077179175,0.01087319965
256,1.0,2.0,-1,validation_zeta,5,0.3044602,0.2964126833,0.3125077167,0.008047516745
256,1.0,2.0,-1,validation_loss,5,-0.1700892,-0.2441516198,-0.09602678015,0.07406241985
256,1.0,2.0,-1,regularization_whole_batch_total_raw,5,0.0208548,0.01305050945,0.02865909055,0.007804290547
256,1.0,2.0,-1,checkpoint_regularization_lambda,5,2,2,2,0
256,1.0,2.0,-1,frozen_decoder_accuracy,5,0.5639240723,0.5511944234,0.5766537212,0.01272964889
256,1.0,2.0,-1,frozen_decoder_balanced_accuracy,5,0.5646977122,0.5509633877,0.5784320367,0.01373432448
256,1.0,2.0,-1,frozen_decoder_macro_f1,5,0.561510507,0.5463405821,0.5766804319,0.01516992487
256,1.0,2.0,-1,frozen_decoder_best_val_acc,5,0.5639240623,0.5511943958,0.5766537287,0.01272966645
256,1.0,2.0,-1,frozen_decoder_best_val_ce,5,1.263602877,1.108314197,1.418891557,0.1552886798
256,1.0,2.0,-1,frozen_decoder_test_accuracy,5,0.5099302535,0.4525335211,0.5673269859,0.05739673238
256,1.0,2.0,-1,frozen_decoder_test_balanced_accuracy,5,0.5099336422,0.4526108569,0.5672564276,0.05732278536
