config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
dimension=128,dimension=16,best_val_zeta,5,0.2812171638,0.3172810813,0.03606391748,0.01740419031,0.05472364464,0.01865972716,5.366074556,5,0,0,0;1;2;3;4
dimension=128,dimension=16,best_val_s,5,0.1452070829,0.09552766116,-0.04967942173,-0.1950890291,0.09573018568,0.1454096074,-0.9485768495,1,4,0,0;1;2;3;4
dimension=128,dimension=16,best_val_c_plus,5,0.5121932381,0.3029939741,-0.209199264,-0.7358145725,0.3174160444,0.5266153084,-1.102949845,1,4,0,0;1;2;3;4
dimension=128,dimension=256,best_val_zeta,5,0.2812171638,0.2845168784,0.003299714625,-0.03376590743,0.04036533668,0.03706562206,0.247169102,3,2,0,0;1;2;3;4
dimension=128,dimension=256,best_val_s,5,0.1452070829,0.2134716235,0.06826454066,-0.2496810903,0.3862101716,0.3179456309,0.5961168556,3,2,0,0;1;2;3;4
dimension=128,dimension=256,best_val_c_plus,5,0.5121932381,0.7281220591,0.215928821,-0.8668113109,1.298668953,1.082740132,0.5537012073,4,1,0,0;1;2;3;4
dimension=128,dimension=32,best_val_zeta,5,0.2812171638,0.2976064672,0.01638930341,-0.0003008263319,0.03307943314,0.01669012974,2.726401887,5,0,0,0;1;2;3;4
dimension=128,dimension=32,best_val_s,5,0.1452070829,0.3006361304,0.1554290475,-0.06640837319,0.3772664682,0.2218374207,1.945299476,4,1,0,0;1;2;3;4
dimension=128,dimension=32,best_val_c_plus,5,0.5121932381,1.00457003,0.4923767918,-0.2348570619,1.219610646,0.7272338538,1.879804036,4,1,0,0;1;2;3;4
dimension=128,dimension=512,best_val_zeta,5,0.2812171638,0.2591338145,-0.02208334928,-0.03048888495,-0.0136778136,0.008405535676,-7.294384245,0,5,0,0;1;2;3;4
dimension=128,dimension=512,best_val_s,5,0.1452070829,0.0655110859,-0.07969599698,-0.3445401356,0.1851481416,0.2648441386,-0.8354784135,2,3,0,0;1;2;3;4
dimension=128,dimension=512,best_val_c_plus,5,0.5121932381,0.2460808189,-0.2661124192,-1.210238965,0.6780141266,0.9441265458,-0.7825714964,2,3,0,0;1;2;3;4
dimension=128,dimension=64,best_val_zeta,5,0.2812171638,0.3010467807,0.01982961694,0.002556465759,0.03710276813,0.01727315118,3.187365311,5,0,0,0;1;2;3;4
dimension=128,dimension=64,best_val_s,5,0.1452070829,0.3223500013,0.1771429185,-0.2155245091,0.569810346,0.3926674276,1.252529633,4,1,0,0;1;2;3;4
dimension=128,dimension=64,best_val_c_plus,5,0.5121932381,1.065059159,0.5528659211,-0.7981523949,1.903884237,1.351018316,1.136181399,4,1,0,0;1;2;3;4
dimension=16,dimension=256,best_val_zeta,5,0.3172810813,0.2845168784,-0.03276420285,-0.07611626145,0.01058785574,0.04335205859,-2.09835504,1,4,0,0;1;2;3;4
dimension=16,dimension=256,best_val_s,5,0.09552766116,0.2134716235,0.1179439624,-0.1372068733,0.373094798,0.2551508357,1.283417067,4,1,0,0;1;2;3;4
dimension=16,dimension=256,best_val_c_plus,5,0.3029939741,0.7281220591,0.425128085,-0.4045838918,1.254840062,0.8297119769,1.422595821,4,1,0,0;1;2;3;4
dimension=16,dimension=32,best_val_zeta,5,0.3172810813,0.2976064672,-0.01967461407,-0.03770408861,-0.00164513953,0.01802947454,-3.029788018,0,5,0,0;1;2;3;4
dimension=16,dimension=32,best_val_s,5,0.09552766116,0.3006361304,0.2051084692,-0.01799849043,0.4282154289,0.2231069597,2.552463654,4,1,0,0;1;2;3;4
dimension=16,dimension=32,best_val_c_plus,5,0.3029939741,1.00457003,0.7015760558,-0.01279060581,1.415942717,0.7143666616,2.726733358,4,1,0,0;1;2;3;4
dimension=16,dimension=512,best_val_zeta,5,0.3172810813,0.2591338145,-0.05814726676,-0.07116224045,-0.04513229306,0.01301497369,-12.40438114,0,5,0,0;1;2;3;4
dimension=16,dimension=512,best_val_s,5,0.09552766116,0.0655110859,-0.03001657526,-0.156148983,0.09611583244,0.1261324077,-0.6607292683,2,3,0,0;1;2;3;4
dimension=16,dimension=512,best_val_c_plus,5,0.3029939741,0.2460808189,-0.05691315519,-0.4835202439,0.3696939335,0.4266070887,-0.3704023101,4,1,0,0;1;2;3;4
dimension=16,dimension=64,best_val_zeta,5,0.3172810813,0.3010467807,-0.01623430053,-0.03020437242,-0.002264228649,0.01397007189,-3.226443258,0,5,0,0;1;2;3;4
dimension=16,dimension=64,best_val_s,5,0.09552766116,0.3223500013,0.2268223402,-0.07220465142,0.5258493318,0.2990269916,2.10602987,4,1,0,0;1;2;3;4
dimension=16,dimension=64,best_val_c_plus,5,0.3029939741,1.065059159,0.7620651851,-0.2245218939,1.748652264,0.9865870791,2.144597469,4,1,0,0;1;2;3;4
dimension=256,dimension=32,best_val_zeta,5,0.2845168784,0.2976064672,0.01308958878,-0.0158424789,0.04202165646,0.02893206768,1.256132991,2,3,0,0;1;2;3;4
dimension=256,dimension=32,best_val_s,5,0.2134716235,0.3006361304,0.08716450684,-0.04485160622,0.2191806199,0.1320161131,1.83316614,4,1,0,0;1;2;3;4
dimension=256,dimension=32,best_val_c_plus,5,0.7281220591,1.00457003,0.2764479708,-0.1880104686,0.7409064101,0.4644584394,1.652553922,4,1,0,0;1;2;3;4
dimension=256,dimension=512,best_val_zeta,5,0.2845168784,0.2591338145,-0.0253830639,-0.0617274988,0.01096137099,0.0363444349,-1.939077708,2,3,0,0;1;2;3;4
dimension=256,dimension=512,best_val_s,5,0.2134716235,0.0655110859,-0.1479605376,-0.3766850114,0.08076393614,0.2287244738,-1.796066261,2,3,0,0;1;2;3;4
dimension=256,dimension=512,best_val_c_plus,5,0.7281220591,0.2460808189,-0.4820412402,-1.258890182,0.2948077019,0.7768489421,-1.722807317,2,3,0,0;1;2;3;4
dimension=256,dimension=64,best_val_zeta,5,0.2845168784,0.3010467807,0.01652990232,-0.014455553,0.04751535763,0.03098545532,1.481158367,3,2,0,0;1;2;3;4
dimension=256,dimension=64,best_val_s,5,0.2134716235,0.3223500013,0.1088783778,-0.226608672,0.4443654276,0.3354870498,0.901062617,3,2,0,0;1;2;3;4
dimension=256,dimension=64,best_val_c_plus,5,0.7281220591,1.065059159,0.3369371001,-0.7544002153,1.428274415,1.091337315,0.8571936001,3,2,0,0;1;2;3;4
dimension=32,dimension=512,best_val_zeta,5,0.2976064672,0.2591338145,-0.03847265268,-0.04955504468,-0.02739026069,0.01108239199,-9.638461471,0,5,0,0;1;2;3;4
dimension=32,dimension=512,best_val_s,5,0.3006361304,0.0655110859,-0.2351250445,-0.4955037702,0.02525368125,0.2603787257,-2.507162507,1,4,0,0;1;2;3;4
dimension=32,dimension=512,best_val_c_plus,5,1.00457003,0.2460808189,-0.758489211,-1.658063141,0.141084719,0.89957393,-2.341001209,1,4,0,0;1;2;3;4
dimension=32,dimension=64,best_val_zeta,5,0.2976064672,0.3010467807,0.003440313538,-0.007888647137,0.01476927421,0.01132896068,0.8431348609,2,3,0,0;1;2;3;4
dimension=32,dimension=64,best_val_s,5,0.3006361304,0.3223500013,0.02171387095,-0.3477954836,0.3912232255,0.3695093546,0.1631551948,3,2,0,0;1;2;3;4
dimension=32,dimension=64,best_val_c_plus,5,1.00457003,1.065059159,0.06048912928,-1.183200395,1.304178654,1.243689524,0.1350375183,3,2,0,0;1;2;3;4
dimension=512,dimension=64,best_val_zeta,5,0.2591338145,0.3010467807,0.04191296622,0.0282193611,0.05560657134,0.01369360512,8.498057955,5,0,0,0;1;2;3;4
dimension=512,dimension=64,best_val_s,5,0.0655110859,0.3223500013,0.2568389154,0.04037836134,0.4732994695,0.2164605541,3.294360733,5,0,0,0;1;2;3;4
dimension=512,dimension=64,best_val_c_plus,5,0.2460808189,1.065059159,0.8189783403,0.08581370016,1.55214298,0.7331646401,3.101415807,5,0,0,0;1;2;3;4
