condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,n_planes,dimension,seed,hidden_dim,base_hidden_dim,expected_hidden_decoder_feature_dim,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_metric,checkpoint_score,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_val_mean_plane_zeta,embedding_val_s,embedding_val_c_plus,embedding_val_loss,validation_zeta,validation_loss,validation_c_plus,regularization_whole_batch_total_raw,regularization_whole_batch_total_scaled,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_flat_feature_dim,frozen_decoder_decoder_type,frozen_decoder_accuracy,frozen_decoder_balanced_accuracy,frozen_decoder_macro_f1,frozen_decoder_best_val_acc,frozen_decoder_best_val_ce,frozen_decoder_test_accuracy,frozen_decoder_test_balanced_accuracy,frozen_decoder_test_macro_f1
dual_symmetric,dual_symmetric,0.0,0,64,32,32,64,128,0,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_223439_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,55,best_val_mean_plane_zeta,mean_plane_zeta,0.27680892177990507,1.000000,2.0,0.3030974098614284,0.27680892177990507,0.09031834320298263,0.2968496488673346,-0.07414571994117328,0.303097,-0.074147,0.296850,0.006685,0.013370,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_223439_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/condition_prediction_finetune_dual_symmetric_d128_h256_ap0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5286054827175208,0.5288934709954657,0.5315883891975833,0.5286054611206055,1.7122184038162231,0.544047619047619,0.5440476190476191,0.543328936722191
dual_symmetric,dual_symmetric,0.0,0,64,32,32,64,128,1,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_230555_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,71,best_val_mean_plane_zeta,mean_plane_zeta,0.2866995685866901,1.000000,2.0,0.2998266283954893,0.2866995685866901,0.37909682733672007,1.2595354403768266,-0.30846759038312094,0.299827,-0.308502,1.259536,0.028706,0.057413,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_230555_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/condition_prediction_finetune_dual_symmetric_d128_h256_ap0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5161483253588517,0.5152492707262442,0.5155759934835135,0.5161483287811279,1.3319220542907715,0.4288990825688073,0.4288990825688074,0.42729980889008423
dual_symmetric,dual_symmetric,0.0,0,64,32,32,64,128,2,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_233551_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2,59,best_val_mean_plane_zeta,mean_plane_zeta,0.30715941744191305,1.000000,2.0,0.3067694093499865,0.30715941744191305,0.23829897439905576,0.7731973656586238,-0.2026218521807875,0.306769,-0.202631,0.773197,0.015279,0.030559,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260805_233551_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2/outputs/condition_prediction_finetune_dual_symmetric_d128_h256_ap0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.567342073897497,0.5684539267942894,0.5686008688244015,0.5673420429229736,1.5868828296661377,0.4934601664684899,0.4933197923719251,0.4909041795625424
dual_symmetric,dual_symmetric,0.0,0,64,32,32,64,128,3,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_003017_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3,61,best_val_mean_plane_zeta,mean_plane_zeta,0.28435098060539793,1.000000,2.0,0.29353144445589613,0.28435098060539793,0.20168733490364893,0.672649255820683,-0.1526803651026317,0.293531,-0.152689,0.672649,0.025816,0.051631,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_003017_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3/outputs/condition_prediction_finetune_dual_symmetric_d128_h256_ap0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5202622169249106,0.5195932063441235,0.5204880612052949,0.5202622413635254,1.262414813041687,0.4498806682577566,0.4500113921166553,0.4464703036389597
dual_symmetric,dual_symmetric,0.0,0,64,32,32,64,128,4,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_010102_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4,61,best_val_mean_plane_zeta,mean_plane_zeta,0.29689767956733704,1.000000,2.0,0.2942658545715468,0.29689767956733704,0.19301040630255425,0.6487920582294464,-0.16049687431326934,0.294266,-0.160505,0.648792,0.015649,0.031297,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/dual_symmetric_d128_h256_ap0_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_010102_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4/outputs/condition_prediction_finetune_dual_symmetric_d128_h256_ap0_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5947556615017878,0.5965788084056194,0.5963259716482897,0.5947556495666504,1.6293033361434937,0.4369047619047619,0.4369047619047619,0.4417444758253009
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,0,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_015008_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,61,best_val_mean_plane_zeta,mean_plane_zeta,0.2955102409635271,1.000000,2.0,0.30491488320486887,0.2955102409635271,0.29042982097182957,0.9512272562299456,-0.2427548063652856,0.304915,-0.242767,0.951227,0.022192,0.044383,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_015008_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/condition_prediction_finetune_even_odd_50_50_d128_h256_ap32_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.533373063170441,0.5346788498632722,0.5344386816773664,0.5333730578422546,1.5813817977905273,0.5452380952380952,0.5452380952380953,0.5475759909807371
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,1,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_023641_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,59,best_val_mean_plane_zeta,mean_plane_zeta,0.2951215420450483,1.000000,2.0,0.3013653073992048,0.2951215420450483,0.3396202836717878,1.1255873484270913,-0.30096164452178137,0.301365,-0.300970,1.125587,0.017689,0.035379,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_023641_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/condition_prediction_finetune_even_odd_50_50_d128_h256_ap32_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5460526315789473,0.5460215368456044,0.5476575453321728,0.5460526347160339,1.8237812519073486,0.46674311926605505,0.46674311926605505,0.46900003995938244
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,2,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_033747_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2,61,best_val_mean_plane_zeta,mean_plane_zeta,0.2954373466117041,1.000000,2.0,0.30570225204740253,0.2954373466117041,0.3529853341834886,1.1530049656118666,-0.30098614735262735,0.305702,-0.301002,1.153005,0.022920,0.045839,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_033747_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2/outputs/condition_prediction_finetune_even_odd_50_50_d128_h256_ap32_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5625744934445769,0.562473204199214,0.5648550733052249,0.5625745058059692,1.111693263053894,0.5053507728894173,0.5051794177386595,0.5052348587649585
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,3,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_044159_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3,55,best_val_mean_plane_zeta,mean_plane_zeta,0.2818847362484251,1.000000,2.0,0.290282387818609,0.2818847362484251,0.15406761158789908,0.5258951676743371,-0.14023971823709352,0.290282,-0.140242,0.525895,0.005888,0.011776,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_044159_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3/outputs/condition_prediction_finetune_even_odd_50_50_d128_h256_ap32_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5846245530393326,0.5806795503751161,0.5814485921781126,0.5846245288848877,1.6063861846923828,0.4880668257756563,0.48820346320346314,0.48715328625455356
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,4,256,256,512,1.0,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_053209_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4,53,best_val_mean_plane_zeta,mean_plane_zeta,0.28782046905585695,1.000000,2.0,0.29417502667222706,0.28782046905585695,0.1596451380423137,0.5426311471632549,-0.14554452896118164,0.294175,-0.145547,0.542631,0.005949,0.011897,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260806_053209_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s4/outputs/condition_prediction_finetune_even_odd_50_50_d128_h256_ap32_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5804529201430274,0.5825654787503394,0.5815879527881395,0.5804529190063477,1.1325448751449585,0.48214285714285715,0.48214285714285715,0.4845269642679027
