condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,embedding_val_zeta,5,0.2994981493,0.2924492513,0.3065470473,0.007048897993
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,embedding_val_mean_plane_zeta,5,0.2903833136,0.2757167209,0.3050499063,0.0146665927
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,checkpoint_score,5,0.2903833136,0.2757167209,0.3050499063,0.0146665927
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,validation_zeta,5,0.299498,0.2924492353,0.3065467647,0.007048764664
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,validation_loss,5,-0.1796948,-0.2860642925,-0.07332530755,0.1063694925
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,regularization_whole_batch_total_raw,5,0.018427,0.007395094632,0.02945890537,0.01103190537
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,checkpoint_regularization_lambda,5,2,2,2,0
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_accuracy,5,0.5454227521,0.5029192959,0.5879262082,0.04250345616
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_balanced_accuracy,5,0.5457537367,0.5018645986,0.5896428747,0.04388913801
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_macro_f1,5,0.5465158569,0.5033854739,0.5896462398,0.04313038295
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_best_val_acc,5,0.5454227448,0.5029193033,0.5879261862,0.04250344147
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_best_val_ce,5,1.504548287,1.260996826,1.748099749,0.2435514612
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_test_accuracy,5,0.4706384596,0.411023202,0.5302537173,0.05961525767
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_test_balanced_accuracy,5,0.4706365296,0.4110594214,0.5302136378,0.05957710824
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,frozen_decoder_test_macro_f1,5,0.4699495409,0.4110868338,0.5288122481,0.05886270717
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,embedding_val_zeta,5,0.2992879714,0.2908582891,0.3077176538,0.008429682328
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,embedding_val_mean_plane_zeta,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,checkpoint_score,5,0.291154867,0.2835488019,0.2987609321,0.007606065125
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,validation_zeta,5,0.2992878,0.2908580248,0.3077175752,0.008429775188
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,validation_loss,5,-0.2261056,-0.3249602977,-0.1272509023,0.09885469772
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,regularization_whole_batch_total_raw,5,0.0149276,0.004417280578,0.02543791942,0.01051031942
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,checkpoint_regularization_lambda,5,2,2,2,0
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_accuracy,5,0.5614155323,0.5341778928,0.5886531717,0.02723763943
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_balanced_accuracy,5,0.561283724,0.5351550321,0.5874124159,0.02612869189
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_macro_f1,5,0.5619975691,0.5361347234,0.5878604147,0.02586284561
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_best_val_acc,5,0.5614155293,0.5341778964,0.5886531621,0.02723763283
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_best_val_ce,5,1.451157475,1.060155162,1.842159787,0.3910023124
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_accuracy,5,0.4975083341,0.4601996245,0.5348170436,0.03730870954
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_balanced_accuracy,5,0.4975013905,0.4602196545,0.5347831266,0.03728173605
even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_macro_f1,5,0.498698228,0.4612015376,0.5361949185,0.03749669048
