lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,2.0,128,-1,embedding_val_zeta,5,0.2998800136,0.2921005793,0.3076594479,0.007779434279
1.0,2.0,128,-1,embedding_val_mean_plane_zeta,5,0.2926730044,0.2845496862,0.3007963226,0.008123318202
1.0,2.0,128,-1,checkpoint_score,5,0.2926730044,0.2845496862,0.3007963226,0.008123318202
1.0,2.0,128,-1,validation_zeta,5,0.29988,0.2921007435,0.3076592565,0.007779256481
1.0,2.0,128,-1,validation_loss,5,-0.1743986,-0.2144317423,-0.1343654577,0.0400331423
1.0,2.0,128,-1,regularization_whole_batch_total_raw,5,0.0098602,0.004919019656,0.01480138034,0.004941180344
1.0,2.0,128,-1,checkpoint_regularization_lambda,5,2,2,2,0
1.0,2.0,128,-1,frozen_decoder_accuracy,5,0.5874752298,0.566872132,0.6080783276,0.02060309783
1.0,2.0,128,-1,frozen_decoder_balanced_accuracy,5,0.5858454265,0.5616500951,0.6100407579,0.0241953314
1.0,2.0,128,-1,frozen_decoder_macro_f1,5,0.586773734,0.5640904087,0.6094570593,0.0226833253
1.0,2.0,128,-1,frozen_decoder_best_val_acc,5,0.5874752402,0.5668721483,0.6080783321,0.02060309189
1.0,2.0,128,-1,frozen_decoder_best_val_ce,5,1.296032548,0.9659331355,1.62613196,0.3300994124
1.0,2.0,128,-1,frozen_decoder_test_accuracy,5,0.5114035088,0.4223142092,0.6004928084,0.08908929958
1.0,2.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5131481481,0.4253601832,0.6009361131,0.08778796494
1.0,2.0,128,-1,frozen_decoder_test_macro_f1,5,0.5074554485,0.4043190439,0.6105918531,0.1031364046
