baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_dimension,baseline_lambda_start_frac,baseline_lambda_block_cca,odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,embedding_val_zeta,4,0;1;2;3,0.300035899,0.2682562156,-0.03177968333,-0.03928232567,-0.02427704098,0.007502642344,-13.48020219,0.0008827625687
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,embedding_val_mean_plane_zeta,4,0;1;2;3,0.2808137254,0.2569746011,-0.02383912435,-0.0335138814,-0.01416436729,0.009674757056,-7.84171972,0.004318953527
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,checkpoint_score,4,0;1;2;3,0.2808137254,0.2569746011,-0.02383912435,-0.0335138814,-0.01416436729,0.009674757056,-7.84171972,0.004318953527
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,validation_zeta,4,0;1;2;3,0.300036,0.26825625,-0.03177975,-0.03928201279,-0.02427748721,0.007502262787,-13.48091247,0.0008826248582
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,validation_loss,4,0;1;2;3,-0.12198025,-0.01544825,0.106532,0.07801006235,0.1350539377,0.02852193765,11.88672291,0.001280348814
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,regularization_whole_batch_total_raw,4,0;1;2;3,0.00510125,0.00071975,-0.0043815,-0.005721696935,-0.003041303065,0.001340196935,-10.40435784,0.001894817205
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,checkpoint_regularization_lambda,4,0;1;2;3,2,2,0,0,0,0,0,1
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_accuracy,4,0;1;2;3,0.5796172748,0.5430914281,-0.03652584673,-0.05609457439,-0.01695711907,0.01956872766,-5.940168825,0.009537828986
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_balanced_accuracy,4,0;1;2;3,0.5792501551,0.5424491909,-0.0368009642,-0.05730032742,-0.01630160098,0.02049936322,-5.713206371,0.01063877437
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_macro_f1,4,0;1;2;3,0.5786809797,0.544942395,-0.03373858472,-0.04996064512,-0.01751652433,0.0162220604,-6.618840744,0.007023285848
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_best_val_acc,4,0;1;2;3,0.5796172619,0.5430914164,-0.03652584553,-0.0560945838,-0.01695710726,0.01956873827,-5.940165408,0.00953784441
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_best_val_ce,4,0;1;2;3,1.394737452,1.199890256,-0.1948471963,-0.5176068964,0.1279125037,0.3227597,-1.921214885,0.1504579909
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_test_accuracy,4,0;1;2;3,0.5315360154,0.5098504765,-0.02168553891,-0.04851418677,0.005143108942,0.02682864786,-2.57236457,0.08232377168
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_test_balanced_accuracy,4,0;1;2;3,0.5315062893,0.5098340315,-0.02167225773,-0.04843923497,0.005094719515,0.02676697724,-2.576712189,0.08201349476
0.5,32,32,128,1.0,2.0,0.0,0,64,128,1.0,2.0,frozen_decoder_test_macro_f1,4,0;1;2;3,0.5268451249,0.5103813825,-0.01646374247,-0.04241579981,0.009488314868,0.02595205734,-2.018914174,0.136799581
