config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_val_zeta,4,0.2682562156,0.300035899,0.03177968333,0.02427704098,0.03928232567,0.007502642344,13.48020219,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_val_mean_plane_zeta,4,0.2569746011,0.2808137254,0.02383912435,0.01416436729,0.0335138814,0.009674757056,7.84171972,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_val_s,4,0.01811185251,0.1337467201,0.1156348675,0.08408920493,0.1471805301,0.03154566261,11.66568481,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,embedding_val_c_plus,4,0.06400142198,0.4435651353,0.3795637133,0.2733673155,0.4857601111,0.1061963978,11.37459614,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,validation_zeta,4,0.26825625,0.300036,0.03177975,0.02427748721,0.03928201279,0.007502262787,13.48091247,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,validation_c_plus,4,0.06400125,0.44356525,0.379564,0.2733680089,0.4857599911,0.1061959911,11.3746483,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,regularization_whole_batch_total_raw,4,0.00071975,0.00510125,0.0043815,0.003041303065,0.005721696935,0.001340196935,10.40435784,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_accuracy,4,0.5430914281,0.5796172748,0.03652584673,0.01695711907,0.05609457439,0.01956872766,5.940168825,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_balanced_accuracy,4,0.5424491909,0.5792501551,0.0368009642,0.01630160098,0.05730032742,0.02049936322,5.713206371,4,0,0,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_test_accuracy,4,0.5098504765,0.5315360154,0.02168553891,-0.005143108942,0.04851418677,0.02682864786,2.57236457,3,0,1,0;1;2;3
odd_plane_fraction=0,odd_plane_fraction=0.5,frozen_decoder_test_balanced_accuracy,4,0.5098340315,0.5315062893,0.02167225773,-0.005094719515,0.04843923497,0.02676697724,2.576712189,4,0,0,0;1;2;3
