odd_plane_fraction,antisymmetric_planes,symmetric_planes,dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.0,0,64,128,1.0,2.0,embedding_val_zeta,4,0.2682562156,0.2544685492,0.2820438821,0.01378766644
0.0,0,64,128,1.0,2.0,embedding_val_mean_plane_zeta,4,0.2569746011,0.2493284628,0.2646207394,0.007646138302
0.0,0,64,128,1.0,2.0,checkpoint_score,4,0.2569746011,0.2493284628,0.2646207394,0.007646138302
0.0,0,64,128,1.0,2.0,validation_zeta,4,0.26825625,0.254468995,0.282043505,0.01378725499
0.0,0,64,128,1.0,2.0,validation_loss,4,-0.01544825,-0.0196428618,-0.0112536382,0.004194611795
0.0,0,64,128,1.0,2.0,regularization_whole_batch_total_raw,4,0.00071975,0.0003326838097,0.00110681619,0.0003870661903
0.0,0,64,128,1.0,2.0,checkpoint_regularization_lambda,4,2,2,2,0
0.0,0,64,128,1.0,2.0,frozen_decoder_accuracy,4,0.5430914281,0.5262076831,0.559975173,0.01688374497
0.0,0,64,128,1.0,2.0,frozen_decoder_balanced_accuracy,4,0.5424491909,0.5239566576,0.5609417241,0.01849253326
0.0,0,64,128,1.0,2.0,frozen_decoder_macro_f1,4,0.544942395,0.526715932,0.5631688579,0.01822646298
0.0,0,64,128,1.0,2.0,frozen_decoder_best_val_acc,4,0.5430914164,0.5262076425,0.5599751903,0.0168837739
0.0,0,64,128,1.0,2.0,frozen_decoder_best_val_ce,4,1.199890256,0.9784835655,1.421296946,0.2214066905
0.0,0,64,128,1.0,2.0,frozen_decoder_test_accuracy,4,0.5098504765,0.400512199,0.6191887541,0.1093382775
0.0,0,64,128,1.0,2.0,frozen_decoder_test_balanced_accuracy,4,0.5098340315,0.4004825085,0.6191855545,0.109351523
0.0,0,64,128,1.0,2.0,frozen_decoder_test_macro_f1,4,0.5103813825,0.4021269985,0.6186357665,0.108254384
0.5,32,32,128,1.0,2.0,embedding_val_zeta,4,0.300035899,0.2910049264,0.3090668716,0.009030972583
0.5,32,32,128,1.0,2.0,embedding_val_mean_plane_zeta,4,0.2808137254,0.2751581015,0.2864693493,0.005655623867
0.5,32,32,128,1.0,2.0,checkpoint_score,4,0.2808137254,0.2751581015,0.2864693493,0.005655623867
0.5,32,32,128,1.0,2.0,validation_zeta,4,0.300036,0.2910045756,0.3090674244,0.009031424423
0.5,32,32,128,1.0,2.0,validation_loss,4,-0.12198025,-0.1475668034,-0.09639369658,0.02558655342
0.5,32,32,128,1.0,2.0,regularization_whole_batch_total_raw,4,0.00510125,0.004095458186,0.006107041814,0.001005791814
0.5,32,32,128,1.0,2.0,checkpoint_regularization_lambda,4,2,2,2,0
0.5,32,32,128,1.0,2.0,frozen_decoder_accuracy,4,0.5796172748,0.5641323352,0.5951022143,0.01548493954
0.5,32,32,128,1.0,2.0,frozen_decoder_balanced_accuracy,4,0.5792501551,0.5633142578,0.5951860524,0.0159358973
0.5,32,32,128,1.0,2.0,frozen_decoder_macro_f1,4,0.5786809797,0.5620014445,0.5953605149,0.01667953522
0.5,32,32,128,1.0,2.0,frozen_decoder_best_val_acc,4,0.5796172619,0.5641323372,0.5951021866,0.01548492472
0.5,32,32,128,1.0,2.0,frozen_decoder_best_val_ce,4,1.394737452,0.9325398883,1.856935016,0.462197564
0.5,32,32,128,1.0,2.0,frozen_decoder_test_accuracy,4,0.5315360154,0.4303677043,0.6327043266,0.1011683111
0.5,32,32,128,1.0,2.0,frozen_decoder_test_balanced_accuracy,4,0.5315062893,0.4303255996,0.6326869789,0.1011806896
0.5,32,32,128,1.0,2.0,frozen_decoder_test_macro_f1,4,0.5268451249,0.4335997127,0.6200905371,0.09324541219
