epoch,train_loss,val_loss
1,-3417901.455049955,-18138987.6
2,-71387026.46153846,-161831361.6
3,-279965454.7692308,-442159411.2
4,-639278562.4615384,-902137024.0
5,-1209990542.7692308,-1584289536.0
6,-1976463163.0769231,-2419571814.4
7,-2825644721.230769,-3201306828.8
8,-3535144566.1538463,-3753677209.6
9,-3969299771.076923,-4024677632.0
10,-4160654414.769231,-4094293862.4
11,-5793784044.307693,-7917118156.8
12,-11459147736.615385,-16020801945.6
13,-23680436539.076923,-33289983590.4
14,-48676607527.38461,-67012025548.8
15,-95753213479.38461,-125605520998.4
16,-175092004391.3846,-219122768281.6
17,-297602793472.0,-356705337344.0
18,-471628682161.2308,-537615315763.2
19,-701547332844.3077,-766047171379.2
20,-978827996238.7693,-1029797196595.2
21,-1291286156209.2307,-1309305339904.0
22,-1616056246902.1538,-1585310020403.2
23,-1937907112093.5386,-1834907389132.8
24,-2223817873565.5386,-2052786513510.4
25,-2458108821504.0,-2219572225638.4
26,-2640896065536.0,-2329427102924.8
27,-2768443660445.5386,-2420515065036.8
28,-2849821728137.846,-2466450138726.4
29,-2892996260155.077,-2480514531328.0
30,-2910867604716.3076,-2486070149120.0
31,-3306905947844.923,-3330152543027.2
32,-4449050296320.0,-4457715675955.2
33,-6182237896704.0,-6304090711654.4
34,-8831790259593.846,-8953122625945.6
35,-12809248904113.23,-12571121811456.0
36,-18695297191620.92,-18518261104640.0
37,-27458563170934.152,-27272070509363.2
38,-39911860207616.0,-38944433504256.0
39,-56825847944113.234,-54598561274265.6
40,-79375492569245.53,-74819204389273.6
41,-108852472588130.47,-100517205036236.8
42,-144972168016187.06,-131156714874470.4
43,-189094095386151.38,-166875414449356.8
44,-241944206124898.47,-207815552742195.2
45,-302888637008344.6,-259430946334310.4
46,-371455179096064.0,-311416653348864.0
47,-447834564813430.1,-369880019972915.2
48,-532303601447227.06,-430587027180748.8
49,-621048445796352.0,-498691719613644.8
50,-715765705443800.6,-566529848927846.4
