baseline_condition,baseline_temporal_frontend,baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_first_symmetric_planes,baseline_second_symmetric_planes,baseline_dimension,baseline_hidden_dim,baseline_lambda_start_frac,baseline_lambda_block_cca,condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,embedding_val_zeta,5,0;1;2;3;4,0.3979615933,0.4672007832,0.06923918989,0.04727022537,0.09120815441,0.02196896452,8.750472045,0.0009400016859
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,mean_val_zeta,5,0;1;2;3;4,0.2875782728,0.3245419502,0.03696367741,0.004628820616,0.0692985342,0.03233485679,3.173900595,0.03373153689
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,embedding_whole_val_regularization_raw,5,0;1;2;3;4,0.0253146,0.013998,-0.0113166,-0.02332474981,0.0006915498144,0.01200814981,-2.616549524,0.05901267064
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,checkpoint_regularization_lambda,5,0;1;2;3;4,5.179864,7.451008,2.271144,-1.403694389,5.945982389,3.674838389,1.715914001,0.1613197626
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_x,5,0;1;2;3;4,79.06608429,73.69447632,-5.371607971,-7.258831311,-3.484384631,1.88722334,-7.90260185,0.001386997802
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_y,5,0;1;2;3;4,83.95604401,78.89742737,-5.058616638,-5.604099492,-4.513133784,0.5454828537,-25.74777797,1.351566753e-05
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_rmse_mean,5,0;1;2;3;4,81.55280762,76.34406433,-5.208743286,-6.225509724,-4.191976848,1.016766438,-14.22331546,0.0001418959631
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_x,5,0;1;2;3;4,0.9019764781,0.914819777,0.01284329891,0.008509479983,0.01717711784,0.004333818929,8.228012057,0.001189518097
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_y,5,0;1;2;3;4,0.8671021342,0.8826262236,0.01552408934,0.01399637326,0.01705180541,0.001527716074,28.21321487,9.391009962e-06
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,frozen_decoder_r2_mean,5,0;1;2;3;4,0.8845393062,0.8987229943,0.01418368816,0.01174545475,0.01662192157,0.002438233411,16.15113278,8.596485981e-05
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_x,5,0;1;2;3;4,73.7611084,68.5473465,-5.213761902,-6.430339987,-3.997183817,1.216578085,-11.89872142,0.0002857405915
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_y,5,0;1;2;3;4,78.3807663,73.06969452,-5.311071777,-6.283599003,-4.338544552,0.9725272253,-15.16245392,0.0001103019949
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_rmse_mean,5,0;1;2;3;4,76.10845795,70.84730682,-5.261151123,-6.189445501,-4.332856746,0.9282943775,-15.73563046,9.528208609e-05
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_x,5,0;1;2;3;4,0.9146601915,0.9262846112,0.01162441969,0.008985793351,0.01426304603,0.002638626338,12.23157773,0.0002565150794
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_y,5,0;1;2;3;4,0.8841573,0.89933182,0.01517452002,0.01229734824,0.01805169179,0.002877171773,14.6432765,0.0001265362231
even_even,dual_symmetric,0.0,0,64,32,32,128,256,0.1,10.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,0.1,10.0,finetuned_decoder_r2_mean,5,0;1;2;3;4,0.8994087696,0.9128082156,0.01339944601,0.01099377735,0.01580511467,0.00240566866,15.46465102,0.0001020423359
