condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,n_planes,dimension,seed,hidden_dim,base_hidden_dim,expected_hidden_decoder_feature_dim,lambda_start_frac,lambda_block_cca,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,mean_val_zeta,embedding_whole_val_regularization_raw,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_rmse_x,frozen_decoder_rmse_y,frozen_decoder_rmse_mean,frozen_decoder_r2_x,frozen_decoder_r2_y,frozen_decoder_r2_mean,finetuned_decoder_feature_layer,finetuned_decoder_feature_dim,finetuned_decoder_rmse_x,finetuned_decoder_rmse_y,finetuned_decoder_rmse_mean,finetuned_decoder_r2_x,finetuned_decoder_r2_y,finetuned_decoder_r2_mean
even_even,dual_symmetric,0.0,0,64,32,32,64,128,0,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_164417_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,40,best_val_mean_plane_zeta,0.335570,3.3556999999999997,0.3891955084270901,0.27586978673934937,0.034684,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_164417_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,80.84556579589844,84.25672912597656,82.5696029663086,0.9007740020751953,0.8676445484161377,0.8842092752456665,hidden,512,73.90760803222656,79.34263610839844,76.6742935180664,0.9170738458633423,0.8826330304145813,0.8998534679412842
even_even,dual_symmetric,0.0,0,64,32,32,64,128,1,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_164749_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,59,best_val_mean_plane_zeta,0.450336,4.50336,0.40303003125720555,0.28943589329719543,0.025701,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_164749_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,80.38792419433594,83.14521026611328,81.77901458740234,0.8982629776000977,0.8683397769927979,0.8833013772964478,hidden,512,75.03307342529297,79.01748657226562,77.0522689819336,0.9113654494285583,0.8810877799987793,0.8962266445159912
even_even,dual_symmetric,0.0,0,64,32,32,64,128,2,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_165334_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,121,best_val_mean_plane_zeta,0.824832,8.24832,0.40390026569366455,0.2976733446121216,0.014587,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_165334_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.30768585205078,83.10755157470703,80.26083374023438,0.9055530428886414,0.8673829436302185,0.8864679932594299,hidden,512,71.55860900878906,76.31880187988281,73.97803497314453,0.9190780520439148,0.8881640434265137,0.9036210775375366
even_even,dual_symmetric,0.0,0,64,32,32,64,128,3,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_165929_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,80,best_val_mean_plane_zeta,0.577181,5.77181,0.40339849723709953,0.3034243583679199,0.024596,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_165929_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,77.80036926269531,85.10321044921875,81.53443908691406,0.9035941362380981,0.866599977016449,0.8850970268249512,hidden,512,73.22676849365234,78.91030883789062,76.12258911132812,0.9145956635475159,0.8853084444999695,0.8999520540237427
even_even,dual_symmetric,0.0,0,64,32,32,64,128,4,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_170338_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,51,best_val_mean_plane_zeta,0.402013,4.02013,0.39028366406758624,0.2714879810810089,0.027005,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_even_d128_h256_ap0_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_170338_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,78.98887634277344,84.16751861572266,81.62014770507812,0.9016982316970825,0.8655434250831604,0.8836208581924438,hidden,512,75.07948303222656,78.3145980834961,76.71510314941406,0.9111879467964172,0.8835932016372681,0.897390604019165
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,0,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_170932_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,115,best_val_mean_plane_zeta,0.788591,7.885910000000001,0.48144664367039997,0.35072875022888184,0.013571,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s0_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s0_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_170932_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.17872619628906,78.8679428100586,76.07735443115234,0.9187014102935791,0.884033203125,0.9013673067092896,hidden,512,67.6749038696289,73.67708587646484,70.740478515625,0.9304705858230591,0.8987960815429688,0.9146333336830139
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,1,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_171303_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,130,best_val_mean_plane_zeta,0.879195,8.79195,0.4534906976752811,0.2972289025783539,0.010533,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s1_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s1_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_171303_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,74.85215759277344,77.732666015625,76.30665588378906,0.9117923974990845,0.8849233388900757,0.8983578681945801,hidden,512,69.91448211669922,72.77495574951172,71.35982513427734,0.9230458736419678,0.8991341590881348,0.9110900163650513
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,2,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_171631_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,78,best_val_mean_plane_zeta,0.565101,5.651009999999999,0.45650579863124424,0.31659239530563354,0.018938,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s2_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s2_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_171631_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.6064682006836,78.08680725097656,75.8803482055664,0.9143801331520081,0.8829224109649658,0.8986512422561646,hidden,512,67.18880462646484,72.21347045898438,69.74700927734375,0.9286594390869141,0.8998721837997437,0.9142658114433289
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,3,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_172002_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,106,best_val_mean_plane_zeta,0.734228,7.34228,0.48170556955867344,0.3503691852092743,0.015080,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s3_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s3_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_172002_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.472900390625,79.96305847167969,76.78746795654297,0.9140205383300781,0.8822277784347534,0.8981241583824158,hidden,512,69.0720443725586,73.68173217773438,71.4147720336914,0.9240120053291321,0.9000037312507629,0.9120078682899475
even_odd_50_50,mixed_parity,0.5,32,32,32,0,64,128,4,256,256,512,0.1,10.0,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_172632_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,110,best_val_mean_plane_zeta,0.758389,7.58389,0.4628552065955268,0.30779051780700684,0.011868,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s4_main.log,/home/omo26/Non-Rev-Owen/mcmaze/even_even_vs_50_50_parity_sweep/logs/even_odd_50_50_d128_h256_ap32_s4_finetune.log,/home/omo26/Non-Rev-Owen/mcmaze/runs/20260805_172632_d128_h256_dep2_bs64_ep150_lr5e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/velocity_prediction_finetune_100ms_hidden/metrics.csv,hidden,512,73.36212921142578,79.83666229248047,76.66849517822266,0.9152044057846069,0.8790243864059448,0.8971143960952759,hidden,512,68.8864974975586,73.00122833251953,70.97444915771484,0.9252351522445679,0.8988529443740845,0.9120440483093262
