config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",mean_val_zeta,5,0.3245419502,0.4934979796,0.1689560294,0.1315710699,0.2063409889,0.03738495947,12.54775042,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_val_zeta,5,0.4672007832,0.4506115456,-0.01658923758,-0.03580073193,0.002622256759,0.01921149434,-2.397476566,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",embedding_whole_val_regularization_raw,5,0.013998,0.2517406,0.2377426,0.2113173163,0.2641678837,0.02642528371,24.97908009,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_r2_mean,5,0.8987229943,0.8921122074,-0.006610786915,-0.009983452001,-0.003238121829,0.003372665086,-5.44213152,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",frozen_decoder_rmse_mean,5,76.34406433,78.75356445,2.409500122,1.220148914,3.59885133,1.189351208,5.624784987,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",finetuned_decoder_r2_mean,5,0.9128082156,0.9085499406,-0.004258275032,-0.007014397169,-0.001502152895,0.002756122137,-4.289674507,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=0.5",finetuned_decoder_rmse_mean,5,70.84730682,72.534552,1.687245178,0.5921433794,2.782346977,1.095101799,4.277724337,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",mean_val_zeta,5,0.3245419502,0.4947603047,0.1702183544,0.1368187628,0.2036179461,0.03339959168,14.14993098,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",embedding_val_zeta,5,0.4672007832,0.448143665,-0.01905711823,-0.03649568741,-0.001618549047,0.01743856918,-3.034138987,0,5,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",embedding_whole_val_regularization_raw,5,0.013998,0.117497,0.103499,0.09607341228,0.1109245877,0.007425587719,38.698525,5,0,0,0;1;2;3;4
"lambda_start_frac=0.1,lambda_block_cca=10","lambda_start_frac=1,lambda_block_cca=1",frozen_decoder_r2_mean,5,0.8987229943,0.8950591326,-0.003663861752,-0.005473394303,-0.0018543292,0.001809532552,-5.62162367,0,5,0,0;1;2;3;4
