source_condition,model,embedder_init,feature_layer,metric,n,mean,ci95_low,ci95_high,ci95_half_width
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,accuracy,5,0.5642747974,0.5327568547,0.5957927402,0.03151794275
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,balanced_accuracy,5,0.5641770972,0.5314158471,0.5969383474,0.03276125017
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,macro_f1,5,0.5631465441,0.5310701788,0.5952229093,0.03207636526
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,best_val_acc,5,0.5642747974,0.5327568547,0.5957927402,0.03151794275
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,best_val_ce,5,2.10809195,1.517413542,2.698770358,0.5906784081
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,test_accuracy,5,0.5115058156,0.4668459657,0.5561656656,0.04465984996
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,test_balanced_accuracy,5,0.5115339737,0.4668944805,0.5561734669,0.0446394932
even_odd_50_50,finetuned_temporal_conv,pretrained,hidden,test_macro_f1,5,0.509647894,0.46413626,0.5551595279,0.04551163395
even_odd_50_50,finetuned_temporal_conv,random,hidden,accuracy,5,0.5843294307,0.5636360166,0.6050228448,0.02069341407
even_odd_50_50,finetuned_temporal_conv,random,hidden,balanced_accuracy,5,0.5843191049,0.5627009859,0.6059372238,0.02161811897
even_odd_50_50,finetuned_temporal_conv,random,hidden,macro_f1,5,0.5854175485,0.5641364141,0.606698683,0.02128113447
even_odd_50_50,finetuned_temporal_conv,random,hidden,best_val_acc,5,0.5843294307,0.5636360166,0.6050228448,0.02069341407
even_odd_50_50,finetuned_temporal_conv,random,hidden,best_val_ce,5,2.741468722,2.280170107,3.202767338,0.4612986158
even_odd_50_50,finetuned_temporal_conv,random,hidden,test_accuracy,5,0.5271495541,0.4555420262,0.598757082,0.07160752792
even_odd_50_50,finetuned_temporal_conv,random,hidden,test_balanced_accuracy,5,0.5271336624,0.4555257624,0.5987415625,0.07160790006
even_odd_50_50,finetuned_temporal_conv,random,hidden,test_macro_f1,5,0.5261353341,0.4576445346,0.5946261337,0.06849079955
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,accuracy,5,0.5614155323,0.5341778928,0.5886531717,0.02723763943
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,balanced_accuracy,5,0.561283724,0.5351550321,0.5874124159,0.02612869189
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,macro_f1,5,0.5619975691,0.5361347234,0.5878604147,0.02586284561
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,best_val_acc,5,0.5614155293,0.5341778964,0.5886531621,0.02723763283
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,best_val_ce,5,1.451157475,1.060155162,1.842159787,0.3910023124
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,test_accuracy,5,0.4975083341,0.4601996245,0.5348170436,0.03730870954
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,test_balanced_accuracy,5,0.4975013905,0.4602196545,0.5347831266,0.03728173605
even_odd_50_50,frozen_temporal_conv,pretrained,hidden,test_macro_f1,5,0.498698228,0.4612015376,0.5361949185,0.03749669048
