baseline_condition,baseline_temporal_frontend,baseline_odd_plane_fraction,baseline_antisymmetric_planes,baseline_symmetric_planes,baseline_first_symmetric_planes,baseline_second_symmetric_planes,baseline_dimension,baseline_hidden_dim,baseline_lambda_start_frac,baseline_lambda_block_cca,condition,temporal_frontend,odd_plane_fraction,antisymmetric_planes,symmetric_planes,first_symmetric_planes,second_symmetric_planes,dimension,hidden_dim,lambda_start_frac,lambda_block_cca,metric,n,paired_seeds,baseline_mean,experimental_mean,mean_delta,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,t_stat,p_value
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,embedding_val_zeta,5,0;1;2;3;4,0.2994981493,0.2992879714,-0.0002101778984,-0.002781450301,0.002361094504,0.002571272403,-0.2269488821,0.8315904154
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,embedding_val_mean_plane_zeta,5,0;1;2;3;4,0.2903833136,0.291154867,0.0007715533887,-0.01497822835,0.01652133512,0.01574978174,0.1360130359,0.8983814763
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,checkpoint_score,5,0;1;2;3;4,0.2903833136,0.291154867,0.0007715533887,-0.01497822835,0.01652133512,0.01574978174,0.1360130359,0.8983814763
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,validation_zeta,5,0;1;2;3;4,0.299498,0.2992878,-0.0002102,-0.002781405447,0.002361005447,0.002571205447,-0.2269786578,0.8315687867
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,validation_loss,5,0;1;2;3;4,-0.1796948,-0.2261056,-0.0464108,-0.1498778997,0.05705629965,0.1034670997,-1.245391423,0.2809592365
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,regularization_whole_batch_total_raw,5,0;1;2;3;4,0.018427,0.0149276,-0.0034994,-0.02160186894,0.01460306894,0.01810246894,-0.5367164022,0.6199244857
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,checkpoint_regularization_lambda,5,0;1;2;3;4,2,2,0,0,0,0,0,1
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_accuracy,5,0;1;2;3;4,0.5454227521,0.5614155323,0.0159927802,-0.02331113611,0.0552966965,0.0393039163,1.12973669,0.3217445523
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_balanced_accuracy,5,0;1;2;3;4,0.5457537367,0.561283724,0.01552998735,-0.02242811117,0.05348808587,0.03795809852,1.13594092,0.319423785
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_macro_f1,5,0;1;2;3;4,0.5465158569,0.5619975691,0.01548171218,-0.02272019296,0.05368361733,0.03820190515,1.125182732,0.3234578539
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_best_val_acc,5,0;1;2;3;4,0.5454227448,0.5614155293,0.0159927845,-0.02331109489,0.05529666389,0.03930387939,1.129738055,0.32174404
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_best_val_ce,5,0;1;2;3;4,1.504548287,1.451157475,-0.05339081287,-0.6209281092,0.5141464835,0.5675372964,-0.2611928097,0.806840648
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_accuracy,5,0;1;2;3;4,0.4706384596,0.4975083341,0.02686987441,0.003069309874,0.05067043895,0.02380056454,3.134494191,0.0350330951
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_balanced_accuracy,5,0;1;2;3;4,0.4706365296,0.4975013905,0.02686486092,0.003055691857,0.05067402997,0.02380916906,3.132776764,0.03509115087
dual_symmetric,dual_symmetric,0.0,0,64,32,32,128,256,1.0,2.0,even_odd_50_50,mixed_parity,0.5,32,32,32,0,128,256,1.0,2.0,frozen_decoder_test_macro_f1,5,0;1;2;3;4,0.4699495409,0.498698228,0.02874868712,0.006232706343,0.05126466789,0.02251598077,3.54499999,0.02390571456
