dimension,seed,lambda_start_frac,lambda_block_cca,antisymmetric_planes,run_dir,saved_checkpoint_epoch,checkpoint_selection,checkpoint_metric,checkpoint_score,checkpoint_lambda_scale,checkpoint_regularization_lambda,embedding_val_zeta,embedding_val_mean_plane_zeta,embedding_val_s,embedding_val_c_plus,embedding_val_loss,validation_zeta,validation_loss,validation_c_plus,regularization_whole_batch_total_raw,regularization_whole_batch_total_scaled,train_log,finetune_log,finetune_metrics,frozen_decoder_feature_layer,frozen_decoder_feature_dim,frozen_decoder_flat_feature_dim,frozen_decoder_decoder_type,frozen_decoder_accuracy,frozen_decoder_balanced_accuracy,frozen_decoder_macro_f1,frozen_decoder_best_val_acc,frozen_decoder_best_val_ce,frozen_decoder_test_accuracy,frozen_decoder_test_balanced_accuracy,frozen_decoder_test_macro_f1
128,0,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260803_212546_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0,52,best_val_mean_plane_zeta,mean_plane_zeta,0.28285027188914164,1.000000,1.0,0.28896663018635343,0.28285027188914164,0.302625304886273,1.0410317480564117,-0.25997937257800785,0.288967,-0.259989,1.041032,0.042791,0.042791,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260803_212546_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5572109654350417,0.5568515005765234,0.5585288059562085,0.5572109818458557,1.492612600326538,0.6047619047619047,0.6047619047619047,0.6049823976502
128,1,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_003126_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,30,best_val_mean_plane_zeta,mean_plane_zeta,0.28602248217378345,1.000000,1.0,0.288468283201967,0.28602248217378345,0.3256953539592879,1.1244790639196123,-0.2821715846657753,0.288468,-0.282184,1.124479,0.044876,0.044876,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_003126_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5520334928229665,0.5521199278016029,0.5530586886343469,0.5520334839820862,1.3763253688812256,0.481651376146789,0.481651376146789,0.4854664469769236
128,2,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_133015_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2,42,best_val_mean_plane_zeta,mean_plane_zeta,0.29058838529246195,1.000000,1.0,0.30328008958271574,0.29058838529246195,0.34841524277414593,1.1457222487245287,-0.3071409378732954,0.303280,-0.307155,1.145722,0.044841,0.044841,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_133015_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.570321811680572,0.5715527346954599,0.5724827234706786,0.570321798324585,1.1819546222686768,0.469678953626635,0.46949334236064094,0.4665936945647614
128,3,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_141016_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3,31,best_val_mean_plane_zeta,mean_plane_zeta,0.27008500695228577,1.000000,1.0,0.27777787085090366,0.27008500695228577,0.23315095901489258,0.8246493722711291,-0.1980247843478407,0.277778,-0.198038,0.824649,0.038217,0.038217,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_141016_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5721096543504172,0.5747306065413837,0.5677593602859587,0.5721096396446228,1.182106375694275,0.48568019093078757,0.4858623832308043,0.4699975957845277
128,4,1.0,1.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_144911_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4,30,best_val_mean_plane_zeta,mean_plane_zeta,0.2798838051302092,1.000000,1.0,0.2913551351853779,0.2798838051302092,0.33286143626485554,1.132148774606841,-0.27909995721919195,0.291355,-0.279116,1.132149,0.060006,0.060006,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca1p0_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_144911_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca1.0_sig10.0_s4/outputs/condition_prediction_finetune_lsf1p0_lcca1p0_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5941597139451729,0.5959452356142796,0.5949633495698663,0.594159722328186,1.590579628944397,0.46785714285714286,0.4678571428571429,0.4688092833165487
128,0,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_152804_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0,75,best_val_mean_plane_zeta,mean_plane_zeta,0.29301947142396656,1.000000,10.0,0.29546075207846506,0.29301947142396656,0.2061181664466858,0.6949423402547836,-0.17695716928158486,0.295461,-0.176961,0.694942,0.001465,0.014646,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_152804_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5470798569725864,0.5465394301146679,0.5459809430423564,0.547079861164093,1.3065556287765503,0.5952380952380952,0.5952380952380952,0.5880532022393725
128,1,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_160812_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1,61,best_val_mean_plane_zeta,mean_plane_zeta,0.2981708986418588,0.829730,8.2973,0.2984228368316378,0.2981708986418588,0.27457976234810694,0.9161753399031503,-0.22798715318952287,0.298423,-0.227998,0.916176,0.002932,0.024325,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_160812_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5705741626794258,0.5697556915423267,0.5680304036803107,0.570574164390564,1.4930243492126465,0.48623853211009177,0.4862385321100917,0.4834884999917073
128,2,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_165536_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2,59,best_val_mean_plane_zeta,mean_plane_zeta,0.2915096240384238,0.805405,8.05405,0.29987509548664093,0.2915096240384238,0.2298908212355205,0.7645251452922821,-0.18963968487722532,0.299875,-0.189645,0.764525,0.002873,0.023141,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_165536_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5786650774731824,0.5797131110090082,0.5795756253295421,0.5786650776863098,1.1035723686218262,0.5148632580261593,0.51475400586775,0.5149717603501776
128,3,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_173605_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3,60,best_val_mean_plane_zeta,mean_plane_zeta,0.2851396288190569,0.817568,8.17568,0.29037073254585266,0.2851396288190569,0.13924927424107278,0.47822227648326326,-0.11644126368420464,0.290371,-0.116445,0.478222,0.001627,0.013299,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_173605_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5852205005959475,0.5861017095746229,0.5848802186056269,0.5852205157279968,1.2939554452896118,0.47494033412887826,0.475079744816587,0.4718487862362911
128,4,0.1,10.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_181231_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4,50,best_val_mean_plane_zeta,mean_plane_zeta,0.2946477936846869,0.695946,6.95946,0.29998050204345156,0.2946477936846869,0.14159327479345457,0.4691567186798368,-0.11510311625897884,0.299981,-0.115106,0.469157,0.003073,0.021388,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s4_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf0p1_lcca10p0_s4_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_181231_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca10.0_sig10.0_s4/outputs/condition_prediction_finetune_lsf0p1_lcca10p0_s4_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.601907032181168,0.6045033329656856,0.601583770011876,0.6019070148468018,1.4246385097503662,0.5238095238095238,0.5238095238095238,0.5243322039012803
128,0,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_185205_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0,61,best_val_mean_plane_zeta,mean_plane_zeta,0.2955102409635271,1.000000,2.0,0.30491488320486887,0.2955102409635271,0.29042982097182957,0.9512272562299456,-0.2427548063652856,0.304915,-0.242767,0.951227,0.022192,0.044383,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s0_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s0_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_185205_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s0/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s0_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.533373063170441,0.5346788498632722,0.5344386816773664,0.5333730578422546,1.5813817977905273,0.5452380952380952,0.5452380952380953,0.5475759909807371
128,1,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_193000_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,59,best_val_mean_plane_zeta,mean_plane_zeta,0.2951215420450483,1.000000,2.0,0.3013653073992048,0.2951215420450483,0.3396202836717878,1.1255873484270913,-0.30096164452178137,0.301365,-0.300970,1.125587,0.017689,0.035379,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s1_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s1_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_193000_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s1_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5460526315789473,0.5460215368456044,0.5476575453321728,0.5460526347160339,1.8237812519073486,0.46674311926605505,0.46674311926605505,0.46900003995938244
128,2,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_201450_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2,61,best_val_mean_plane_zeta,mean_plane_zeta,0.2954373466117041,1.000000,2.0,0.30570225204740253,0.2954373466117041,0.3529853341834886,1.1530049656118666,-0.30098614735262735,0.305702,-0.301002,1.153005,0.022920,0.045839,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s2_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s2_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_201450_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s2/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s2_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5625744934445769,0.562473204199214,0.5648550733052249,0.5625745058059692,1.111693263053894,0.5053507728894173,0.5051794177386595,0.5052348587649585
128,3,1.0,2.0,-1,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_210716_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3,55,best_val_mean_plane_zeta,mean_plane_zeta,0.2818847362484251,1.000000,2.0,0.290282387818609,0.2818847362484251,0.15406761158789908,0.5258951676743371,-0.14023971823709352,0.290282,-0.140242,0.525895,0.005888,0.011776,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s3_main_synth.log,/home/omo26/Non-Rev-Owen/physionetmi/cca_warmup_finetune_sweep_v3/logs/lsf1p0_lcca2p0_s3_condition_finetune.log,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260804_210716_d128_h256_dep2_bs128_ep75_lr3e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s3/outputs/condition_prediction_finetune_lsf1p0_lcca2p0_s3_hidden/metrics.csv,hidden,512,409600,temporal_conv,0.5846245530393326,0.5806795503751161,0.5814485921781126,0.5846245288848877,1.6063861846923828,0.4880668257756563,0.48820346320346314,0.48715328625455356
