lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
0.1,10.0,128,-1,embedding_val_zeta,5,0.2968219838,0.2918039076,0.3018400599,0.005018076152
0.1,10.0,128,-1,embedding_val_mean_plane_zeta,5,0.2924974833,0.2865362728,0.2984586938,0.005961210508
0.1,10.0,128,-1,checkpoint_score,5,0.2924974833,0.2865362728,0.2984586938,0.005961210508
0.1,10.0,128,-1,validation_zeta,5,0.2968222,0.2918041638,0.3018402362,0.005018036187
0.1,10.0,128,-1,validation_loss,5,-0.165231,-0.2259518037,-0.1045101963,0.06072080369
0.1,10.0,128,-1,regularization_whole_batch_total_raw,5,0.002394,0.001425968614,0.003362031386,0.0009680313863
0.1,10.0,128,-1,checkpoint_regularization_lambda,5,8.297298,6.942380678,9.652215322,1.354917322
0.1,10.0,128,-1,frozen_decoder_accuracy,5,0.576689326,0.5516494457,0.6017292062,0.02503988024
0.1,10.0,128,-1,frozen_decoder_balanced_accuracy,5,0.577322655,0.5507902303,0.6038550798,0.02653242477
0.1,10.0,128,-1,frozen_decoder_macro_f1,5,0.5760101921,0.5503312238,0.6016891605,0.02567896834
0.1,10.0,128,-1,frozen_decoder_best_val_acc,5,0.5766893268,0.5516494533,0.6017292002,0.02503987344
0.1,10.0,128,-1,frozen_decoder_best_val_ce,5,1.32434926,1.139666555,1.509031965,0.1846827051
0.1,10.0,128,-1,frozen_decoder_test_accuracy,5,0.5190179487,0.4605572691,0.5774786282,0.05846067954
0.1,10.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5190239804,0.4606007307,0.57744723,0.05842324962
0.1,10.0,128,-1,frozen_decoder_test_macro_f1,5,0.5165388905,0.4600908795,0.5729869016,0.05644801102
1.0,0.5,128,-1,embedding_val_zeta,5,0.2861195728,0.2724245909,0.2998145547,0.01369498191
1.0,0.5,128,-1,embedding_val_mean_plane_zeta,5,0.2813079917,0.2701878174,0.292428166,0.01112017433
1.0,0.5,128,-1,checkpoint_score,5,0.2813079917,0.2701878174,0.292428166,0.01112017433
1.0,0.5,128,-1,validation_zeta,5,0.2861196,0.272424993,0.299814207,0.01369460705
1.0,0.5,128,-1,validation_loss,5,-0.367305,-0.4442347266,-0.2903752734,0.07692972662
1.0,0.5,128,-1,regularization_whole_batch_total_raw,5,0.0990108,0.09212384214,0.1058977579,0.006886957863
1.0,0.5,128,-1,checkpoint_regularization_lambda,5,0.5,0.5,0.5,0
1.0,0.5,128,-1,frozen_decoder_accuracy,5,0.5601121465,0.5451429562,0.5750813368,0.01496919029
